position_x,position_y,position_z,baseline_vpm_velocity_x,baseline_vpm_velocity_y,baseline_vpm_velocity_z,candidate_vpm_velocity_x,candidate_vpm_velocity_y,candidate_vpm_velocity_z,baseline_velocity_x,baseline_velocity_y,baseline_velocity_z,candidate_velocity_x,candidate_velocity_y,candidate_velocity_z,reference_velocity_x,reference_velocity_y,reference_velocity_z
-4.5,0.0,0.0,0.9957689,-9.41262e-05,-9.688849e-05,0.9957365,1.277835e-06,1.2791891e-06,,,,,,,0.9967345084472421,-1.3775984485470897e-08,-1.3628601409011092e-08
-4.380435,0.0,0.0,0.99541664,-9.890982e-05,-0.00010251806,0.99538064,1.3894858e-06,1.391833e-06,,,,,,,0.9962993365427674,-1.3294342370763642e-08,-1.325284041538789e-08
-4.2608695,0.0,0.0,0.99503005,-0.000103504375,-0.000105844956,0.99499506,1.5104176e-06,1.5104522e-06,,,,,,,0.995825276080466,-1.2884348871489214e-08,-1.2954976489589138e-08
-4.1413045,0.0,0.0,0.99459434,-0.00010792246,-0.00010715797,0.994552,1.6488575e-06,1.6480183e-06,,,,,,,0.9953098127637245,-1.2563402370757869e-08,-1.2753019505472044e-08
-4.021739,0.0,0.0,0.9940956,-0.00011055516,-0.00011187348,0.99404293,1.803269e-06,1.8060882e-06,,,,,,,0.994741508304205,-1.231170829988734e-08,-1.2568869879746352e-08
-3.902174,0.0,0.0,0.9935441,-0.000117094714,-0.000113559676,0.9934795,1.9836443e-06,1.9762615e-06,,,,,,,0.9940500844186522,-1.2363610525802484e-08,-1.2726747353424114e-08
-3.7826087,0.0,0.0,0.9929165,-0.00012321549,-0.00011763802,0.9928467,2.179653e-06,2.171138e-06,,,,,,,0.9933371993048905,-1.2446506504390346e-08,-1.2908853274322786e-08
-3.6630435,0.0,0.0,0.99220735,-0.00012941737,-0.00012256466,0.9921294,2.4048095e-06,2.40251e-06,,,,,,,0.992569042722619,-1.2622288772370439e-08,-1.3166859226795076e-08
-3.5434783,0.0,0.0,0.99139106,-0.00013444785,-0.00013357062,0.99131155,2.6633356e-06,2.6595985e-06,,,,,,,0.9922785972430818,-8.305692603272114e-07,-8.313443659602701e-07
-3.423913,0.0,0.0,0.99046457,-0.00014136803,-0.00013996082,0.99037874,2.9461287e-06,2.9435582e-06,,,,,,,0.9912264220907303,9.799704734991337e-06,9.79892196798256e-06
-3.304348,0.0,0.0,0.9893966,-0.0001501723,-0.00014743737,0.98930454,3.2903251e-06,3.2810412e-06,,,,,,,0.9901527082915411,3.623551045412215e-05,3.6234733215508835e-05
-3.1847825,0.0,0.0,0.9881635,-0.00015823508,-0.00015515066,0.98805654,3.6833549e-06,3.6726717e-06,,,,,,,0.9899810902037182,0.0002478669459694731,0.00024786604353443573
-3.0652175,0.0,0.0,0.9867592,-0.0001624007,-0.00016525213,0.98662096,4.142601e-06,4.1244657e-06,,,,,,,0.9879996522743949,0.0001765619508286711,0.00017656120078996006
-2.945652,0.0,0.0,0.9850944,-0.00016992088,-0.00017580295,0.9849372,4.6735813e-06,4.631374e-06,,,,,,,0.9858427002643662,-1.6682378163747997e-08,-1.721400679989451e-08
-2.826087,0.0,0.0,0.98312616,-0.0001765233,-0.00018592936,0.98296195,5.2989476e-06,5.2459905e-06,,,,,,,0.9836897172421938,-1.843494897559798e-08,-1.8763103357941112e-08
-2.7065217,0.0,0.0,0.98080397,-0.00018567871,-0.00019744401,0.9806121,6.0406946e-06,5.975751e-06,,,,,,,0.9821617500082255,3.7814696440456412e-06,3.7811439882928515e-06
-2.5869565,0.0,0.0,0.97802263,-0.00019735417,-0.00020963546,0.977823,6.9326143e-06,6.823539e-06,,,,,,,0.9791095657555537,-6.203025066372753e-05,-6.20301057243496e-05
-2.4673913,0.0,0.0,0.97466373,-0.00019737642,-0.00021652036,0.9744768,7.919025e-06,7.8424855e-06,,,,,,,0.9765769950323459,-0.000284955027877134,-0.0002849547217472093
-2.347826,0.0,0.0,0.9706459,-0.00019352627,-0.0002131687,0.97044384,9.184801e-06,9.099607e-06,,,,,,,0.9716327390828602,-2.8059883474881452e-08,-2.646854453946672e-08
-2.228261,0.0,0.0,0.96566385,-0.00018686913,-0.0002116126,0.9654757,1.0723276e-05,1.0615653e-05,,,,,,,0.966834108244069,-2.430696770995001e-05,-2.430437143485934e-05
-2.1086957,0.0,0.0,0.9595322,-0.00017081527,-0.00019674869,0.9593983,1.2592754e-05,1.2505159e-05,,,,,,,0.9606345784022553,-0.00019517088332100482,-0.000195166899081333
-1.9891305,0.0,0.0,0.9518405,-0.00014760152,-0.00020363335,0.95176524,1.4883713e-05,1.4792985e-05,,,,,,,0.9521426188795813,-4.221809867946061e-08,-3.6068607089530225e-08
-1.869565,0.0,0.0,0.94208205,-0.000110885376,-0.0002162175,0.9420929,1.777129e-05,1.7630518e-05,,,,,,,0.9421330919154469,-5.0687762076078455e-08,-4.2755437706229666e-08
-1.75,0.0,0.0,0.9295745,-7.790953e-05,-0.0002495607,0.92965996,2.1354634e-05,2.127358e-05,,,,,,,0.9298351659064338,-6.245337846899103e-08,-5.313427781377007e-08
-1.6304348,0.0,0.0,0.91322577,-1.1796452e-05,-0.00019880249,0.9134873,2.5905052e-05,2.585309e-05,,,,,,,0.9139549534277818,-7.84522481266244e-08,-6.868642226971896e-08
-1.5108695,0.0,0.0,0.89164215,7.627632e-05,-4.519566e-05,0.89228886,3.165017e-05,3.1581087e-05,,,,,,,0.893951907511773,-0.0003583205962485876,-0.00035831120958952444
-1.3913043,0.0,0.0,0.8639656,0.00017354082,0.00011130117,0.8638063,3.8879727e-05,3.884842e-05,0.864251242490177,0.000183130226441052,0.0002753303546297417,0.864714787623889,-5.973099137938102e-05,-6.674797832272413e-05,0.8644324542607364,-1.2835876139893486e-07,-1.2198534042509156e-07
-1.2717392,0.0,0.0,0.82567805,0.0003664982,0.00031460437,0.8248236,4.7990055e-05,4.787537e-05,0.8271869902981339,0.00024876878937617945,0.0003225019448428039,0.8275305692072444,-5.816034057607816e-05,-5.9891030973633787e-05,0.8265936827153412,-1.6290309323881147e-07,-1.6283590562239268e-07
-1.152174,0.0,0.0,0.7723398,0.0006687244,0.0006217603,0.7710335,5.9919596e-05,5.8952897e-05,0.7754239341736426,0.0002880626237415918,0.0003572435064122599,0.7757020155013937,-5.724300654396622e-05,-5.4722421399497215e-05,0.7747567959884439,-1.880721367298634e-07,-1.99566080235844e-07
-1.0326087,0.0,0.0,0.6976332,0.0011589789,0.0011468084,0.69602066,7.290884e-05,7.216945e-05,0.7037775157917789,0.0002856149847983647,0.0003599644171793174,0.7040140215829348,-5.8456255424744395e-05,-4.8570148452639454e-05,0.7031611646735992,-2.592197314667038e-07,-2.938276215984023e-07
-0.9130435,0.0,0.0,0.59347165,0.002024148,0.0019930378,0.5919125,8.839239e-05,8.691455e-05,0.6044412369716011,0.00018328041225137667,0.0002563430390272972,0.6046403834527118,-5.8666366921829045e-05,-4.566432027213244e-05,0.6039410528738713,-4.3804436764493214e-07,-4.751576176049467e-07
-0.79347825,0.0,0.0,0.45119432,0.0031418523,0.0031124193,0.45015335,0.00010303734,0.00010078281,0.46922751205622165,4.2618135735811714e-05,0.00010796372520994156,0.46934633861479036,-5.399941013357293e-05,-4.856772292047675e-05,0.4686658937421886,-5.966844816735492e-07,-6.676143205486262e-07
-0.673913,0.0,0.0,0.26595235,0.004735844,0.0047771223,0.2657819,0.00011183305,0.00010998954,0.2937110428214925,-8.166296275440227e-05,7.481804802333264e-05,0.293742822395952,-0.00014729973395054925,-4.9354106458198094e-05,0.2918697803541289,-5.619267201497258e-07,-4.857757020513046e-07
