time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,pressure_jump_coefficient_type,panel_force_x,panel_force_y,panel_force_z,panel_force_units,force_density,unsteady_force_x,unsteady_force_y,unsteady_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,relative_velocity_units,bound_x,bound_y,bound_z,span_coordinate_normalized
0.0025,1,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:0,mirror,0,-0.25000000000000006,0.25000000000000006,-0.5000000000000001,1.0240249425260835e-18,0,0.5000000000000003,0.9999999999999997,-0.4969118729220297,-75.03369281122646,circulation_proxy,7.807204824219547,-0.05596610693633119,74.62146192358033,N,1.0,7.79121516839869,-0.05559634027790246,74.12843980478371,1.984344847950469,0.036693221785839426,-0.06432860111027935,m/s,1.8486304738420685,-0.25009283059193116,0.12368034936282395,-0.24999999999999994
0.0025,1,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:1,mirror,1,-0.75,0.75,-1.0000000000000002,-0.5,0,0.5000000000000003,0.9999999999999997,-0.5295434505668645,-79.96106103559653,circulation_proxy,8.301972388691947,-0.05963961669036567,79.51947401058362,N,1.0,8.302854468180746,-0.05924728201104787,78.99636120291022,1.9757130571209098,0.04064296233948544,0.0033619547853478704,m/s,1.8486304738420685,-0.7500926899669377,0.1233053493979802,-0.7499999999999999
0.0025,1,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:0,orig,0,0.25000000000000006,0.25000000000000006,-1.0576426431769392e-18,0.5,0,0.5000000000000003,0.9999999999999997,0.3112058503510375,46.99208340300666,circulation_proxy,4.899958627961327,-0.03505145205592147,46.73526064503242,N,1.0,4.879480394564592,-0.03481886285157205,46.425141764047154,1.9930150275543237,0.033796862127216956,-0.13158039904744073,m/s,1.8486304738420685,0.24990702878307544,0.12405534932766771,0.25000000000000017
0.0025,1,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:1,orig,1,0.7500000000000001,0.7500000000000001,0.5,1.0,0,0.5000000000000003,0.9999999999999997,0.10198713135567115,15.400056834706346,circulation_proxy,1.609406266062458,-0.01148724163160448,15.31631930366228,N,1.0,1.599083717052693,-0.011410697887886085,15.214260997840356,2.0013963167550877,0.033310943237384774,-0.20240353449927256,m/s,1.8486304738420685,0.749906888158082,0.12443034929251146,0.7500000000000002
0.005,2,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:0,mirror,0,-0.24999999999999994,0.24999999999999994,-0.5,2.4974249450587912e-18,0,0.5000000000000002,0.9999999999999998,-0.4965328649781051,-0.43968167338941644,circulation_proxy,0.010066049729640092,-0.0006541650071267871,0.4361096776686294,N,1.0,-0.005942567691700585,8.480960041548383e-05,-0.056539691205515344,1.9843597789923857,0.036740409936039775,-0.06442656441579697,m/s,1.8486304738420685,-0.25018552050665166,0.12349274497236802,-0.24999999999999997
0.005,2,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:1,mirror,1,-0.7499999999999999,0.7499999999999999,-0.9999999999999999,-0.4999999999999999,0,0.5000000000000002,0.9999999999999998,-0.5292560171751132,-0.48614100841241803,circulation_proxy,-0.00535913816486861,-0.0007199322196600176,0.4799544531405138,N,1.0,-0.004506745609735947,6.431820623090952e-05,-0.04287877199483166,1.9757312013716295,0.04064441009815813,0.003282067551230783,m/s,1.8486304738420685,-0.7501849580067571,0.12274274525361799,-0.75
0.005,2,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:0,orig,0,0.25,0.25,-1.6659067135330387e-18,0.5,0,0.5000000000000002,0.9999999999999998,0.31086526229390044,0.2597770537233433,circulation_proxy,0.015132413170202015,-0.00038845806495045045,0.2589718490712435,N,1.0,-0.005340171932977705,7.621248444815054e-05,-0.05080828485918612,1.9930209001000065,0.033890036151565446,-0.13166287253641443,m/s,1.8486304738420685,0.2498139169934538,0.12424274469111805,0.25000000000000006
0.005,2,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:1,orig,1,0.75,0.75,0.49999999999999994,0.9999999999999999,0,0.5000000000000002,0.9999999999999998,0.10177635060801327,0.07015923845933014,circulation_proxy,0.006999868804504535,-0.00010560501327986765,0.07040328938406339,N,1.0,-0.003304888145862906,4.716584776307138e-05,-0.03144387492578715,2.001393806706191,0.033454961282372554,-0.20244810875743235,m/s,1.8486304738420685,0.7498133544935592,0.12499274440986809,0.7500000000000001
0.0075,3,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:0,mirror,0,-0.24999999999999994,0.24999999999999994,-0.5,2.4757338243845566e-18,0,0.5000000000000003,0.9999999999999997,-0.49615374839150816,-0.4392862604019658,circulation_proxy,0.010083233853804165,-0.0009803725810334212,0.4357204118462752,N,1.0,-0.005944271129438622,0.00012725080699750295,-0.05655581878297408,1.984374715708636,0.03678758877394114,-0.06452440088428389,m/s,1.8486304738420685,-0.2502780696920235,0.1233050711172463,-0.2499999999999999
0.0075,3,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:1,mirror,1,-0.7500000000000001,0.7500000000000001,-1.0,-0.49999999999999994,0,0.5000000000000003,0.9999999999999997,-0.5289684932515378,-0.4858399047152372,circulation_proxy,-0.0053309242926734175,-0.0010792391592781363,0.47966103913841734,N,1.0,-0.0045081650826024645,9.650765120690157e-05,-0.04289221704452689,1.9757493520513936,0.040645844373335384,0.0032022672871596936,m/s,1.8486304738420685,-0.7502768040675575,0.1221800720664648,-0.75
