time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,force_density,force_units,moment_units,reference_speed,reference_speed_units,power,rotational_power,translational_power
0.005,1,28.17503029052663,2.932857578324078,0.04226257713272753,23.46286062659262,-0.3381006170618202,225.40024232421302,23.379516786911314,-0.3336617400882482,222.44099322793718,-55.93150036762212,-199.47998320302023,5.478208814432885,225.40024232421302,23.46286062659262,2.0,3.9999999999999996,-3.495718772976383,-12.467498950188768,0.3423880509020554,-3.495718772976383,-4.848375279104137,0.3538167449802042,1.4911084027001533,-1.4911084027001529,0.0,18,1.0,N,N*m,2.0,m/s,-16.779450110286632,-16.779450110286632,0.0
0.01,2,0.3253769544118516,0.0058005773207339085,0.0009761337916386865,0.04640461856587126,-0.007809070333109491,2.6030156352948124,-0.03695303990143715,0.0010547524858107158,-0.35158310718378705,-0.7099384909458427,-1.2037807377842198,-0.03005077172587405,2.6030156352948124,0.04640461856587126,2.0,3.9999999999999996,-0.04437115568411518,-0.07523629611151375,-0.0018781732328671283,-0.044371155684115184,0.014171861468074812,-0.0016099479554520478,1.488746572040164,-1.4887465720401638,0.0,36,1.0,N,N*m,2.0,m/s,-0.2129815472837528,-0.2129815472837528,0.0
0.015,3,0.32494622086373054,0.005817743554770267,0.001462267864208195,0.04654194843816213,-0.011698142913665558,2.599569766909844,-0.03682760065178906,0.0015767551440294043,-0.3503876668706255,-0.7097525629654328,-1.201044331057215,-0.031706527404118307,2.599569766909844,0.04654194843816213,2.0,3.9999999999999996,-0.044359535185339555,-0.07506527069107595,-0.0019816579627573946,-0.04435953518533955,0.014223273842230953,-0.0015798568001960053,1.4863894131561217,-1.4863894131561217,0.0,54,1.0,N,N*m,2.0,m/s,-0.21292576888962983,-0.21292576888962983,0.0
0.02,4,0.32451945526095277,0.005834957270593805,0.0019471400973029604,0.046679658164750434,-0.015577120778423681,2.5961556420876217,-0.03669989034784397,0.002095044222878224,-0.3491698470478691,-0.7095679889387765,-1.1983187160897661,-0.03335498006979033,2.5961556420876217,0.046679658164750434,2.0,3.9999999999999996,-0.04434799930867354,-0.0748949197556104,-0.0020846862543618962,-0.04434799930867352,0.014275103906180444,-0.0015496596920569947,1.4840370866279744,-1.484037086627974,0.0,72,1.0,N,N*m,2.0,m/s,-0.21287039668163288,-0.21287039668163288,0.0
0.025,5,0.3240966402500693,0.005852217260146269,0.0024307703789910383,0.046817738081170145,-0.019446163031928303,2.592773122000554,-0.036569955553625313,0.002609524674634968,-0.3479300994485119,-0.7093847662825232,-1.1956036409878186,-0.03499618467070011,2.592773122000554,0.046817738081170145,2.0,3.9999999999999996,-0.04433654789265771,-0.07472522756173867,-0.0021872615419187575,-0.04433654789265772,0.01432736268623215,-0.0015193545917566987,1.4816897499594832,-1.481689749959483,0.0,90,1.0,N,N*m,2.0,m/s,-0.212815429884757,-0.212815429884757,0.0
0.03,6,0.32367775670145166,0.005869522201608587,0.002913178466556405,0.04695617761286869,-0.023305427732451235,2.589422053611613,-0.03643784365077727,0.003120104197970553,-0.3466688838558106,-0.7092028918392816,-1.1928988481169345,-0.03663019440245267,2.589422053611613,0.04695617761286869,2.0,3.9999999999999996,-0.04432518073995511,-0.07455617800730842,-0.0022893871501532925,-0.044325180739955124,0.014380061083583036,-0.001488939386128935,1.4793475575229462,-1.479347557522946,0.0,108,1.0,N,N*m,2.0,m/s,-0.2127608675517845,-0.2127608675517845,0.0
0.035,7,0.3232627837474929,0.005886870661133212,0.0033943839738765883,0.04709496528906569,-0.027155071791012703,2.5861022699799427,-0.036303602796508724,0.0036266932927304122,-0.34538666769259824,-0.7090223618878005,-1.1902040745683955,-0.03825706067383537,2.5861022699799427,0.04709496528906569,2.0,3.9999999999999996,-0.04431389761798754,-0.07438775466052473,-0.002391066292114711,-0.044313897617987555,0.014433209855629424,-0.0014584118893938688,1.4770106605067075,-1.4770106605067075,0.0,126,1.0,N,N*m,2.0,m/s,-0.21270670856634016,-0.21270670856634016,0.0
0.04,8,0.32285169882189435,0.00590426109467686,0.00387440635915332,0.047234088757414874,-0.030995250873226556,2.5828135905751544,-0.03616728188122996,0.004129205311047086,-0.34408392560744955,-0.7088431721528818,-1.1875190526279233,-0.039876833076508925,2.5828135905751544,0.047234088757414874,2.0,3.9999999999999996,-0.04430269825955512,-0.07421994078924522,-0.0024923020672818082,-0.044302698259555136,0.014486819597407313,-0.001427769844604747,1.4746792068654768,-1.4746792068654766,0.0,144,1.0,N,N*m,2.0,m/s,-0.2126529516458645,-0.2126529516458645,0.0
0.045,9,0.3224444777008009,0.005921691850016532,0.004353264913017533,0.04737353480013225,-0.03482611930414026,2.579555821606407,-0.036028930485249924,0.004627556504671409,-0.34276113905170646,-0.7086653178166007,-1.1848435102502317,-0.04148955935890143,2.579555821606407,0.04737353480013225,2.0,3.9999999999999996,-0.04429158236353755,-0.0740527193906395,-0.00259309745993134,-0.04429158236353757,0.0145409007231697,-0.0013970109252550726,1.4723533412735206,-1.4723533412735204,0.0,162,1.0,N,N*m,2.0,m/s,-0.2125995953449802,-0.2125995953449802,0.0
0.05,10,0.3220410945448799,0.005939161168856389,0.004830978747014192,0.047513289350851105,-0.03864782997611353,2.5763287563590387,-0.035888598835298616,0.005121666068536957,-0.34141879585465473,-0.708488793529205,-1.1821771715369245,-0.04309528540449525,2.5763287563590387,0.047513289350851105,2.0,3.9999999999999996,-0.04428054959557532,-0.0738860732210578,-0.0026934553377809534,-0.044280549595575334,0.014595463448009077,-0.0013661327370566262,1.4700332050807372,-1.470033205080737,0.0,180,1.0,N,N*m,2.0,m/s,-0.2125466380587615,-0.2125466380587615,0.0
