time,step,surface,force_density,force_units,moment_units,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.005,1,wing_0,1.0,N,N*m,116.68188187940208,12.140149646000477,14.585235234925262,1.5175187057500599,4,-8.458152115295734,0.0,-8.458152115295734,12.140149646000477,-0.17502295408633842,116.68188187940208,-28.193840384319117,-72.75129143041516,2.800427803120948,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,7.839631805212079e-05,-0.052264172836577166
0.005,1,wing_1,1.0,N,N*m,108.71836044481097,11.322710980592145,13.589795055601373,1.4153388725740184,4,-8.321297994990898,0.0,-8.321297994990898,11.322710980592145,-0.16307766297548182,108.71836044481097,-27.737659983302997,-240.03769688200606,2.50781737617509,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.00014660359757293076,0.09773565841345445
0.01,2,wing_0,1.0,N,N*m,1.3599749845240814,0.01951494771712745,0.1699968730655102,0.0024393684646409316,4,-0.10758534615483197,0.0,-0.10758534615483197,0.01951494771712745,-0.0040799371933911725,1.3599749845240814,-0.3586178205161066,-0.2745227171748993,-0.01680958853150492,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.00015679245971253478,-0.05226399644496077
0.01,2,wing_1,1.0,N,N*m,1.2430406507707317,0.02688967084874381,0.1553800813463415,0.0033612088560929765,4,-0.10539620112892084,0.0,-0.10539620112892084,0.02688967084874381,-0.003729133139718318,1.2430406507707317,-0.35132067042973614,-2.2260613330724004,-0.0171316048030302,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0002932068652877207,0.09773532855554545
0.015,3,wing_0,1.0,N,N*m,1.3590262027531679,0.01961242651551851,0.169878275344146,0.002451553314439814,4,-0.10756903906431368,0.0,-0.10756903906431368,0.01961242651551851,-0.00611565919314454,1.3590262027531679,-0.3585634635477123,-0.27474880223015796,-0.017166716278970567,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.00023518824858997925,-0.052263702459374416
0.015,3,wing_1,1.0,N,N*m,1.2405435641566758,0.026929521922643616,0.1550679455195845,0.0033661902403304524,4,-0.10535672982531614,0.0,-0.10535672982531614,0.026929521922643616,-0.005582483720521017,1.2405435641566758,-0.3511890994177205,-2.2213925092367273,-0.020367786875880683,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.00043980947328728376,0.09773477879318844
0.02,4,wing_0,1.0,N,N*m,1.3581029941786378,0.01971003178471363,0.16976287427232975,0.002463753973089204,4,-0.10755306199224023,0.0,-0.10755306199224023,0.01971003178471363,-0.008148715749895511,1.3581029941786378,-0.35851020664080074,-0.2749859321619317,-0.01752531717479082,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.00031358350829399645,-0.05226329088047958
0.02,4,wing_1,1.0,N,N*m,1.2380526479089837,0.0269696263800368,0.154756580988623,0.0033712032975046005,4,-0.10531733468939267,0.0,-0.10531733468939267,0.0269696263800368,-0.007428405028528172,1.2380526479089837,-0.3510577822979756,-2.2167392314007093,-0.02359019470644199,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0005864110917156718,0.09773400912762038
0.025,5,wing_0,1.0,N,N*m,1.357205291853031,0.019807766911020826,0.1696506614816289,0.0024759708638776036,4,-0.10753741563204224,0.0,-0.10753741563204224,0.019807766911020826,-0.010179230550186276,1.357205291853031,-0.3584580521068075,-0.27523399939383364,-0.017885440702072087,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.000391978062435211,-0.05226276170920231
0.025,5,wing_1,1.0,N,N*m,1.2355678301475228,0.02700997117014932,0.15444597876844038,0.0033762463962686653,4,-0.10527801425271475,0.0,-0.10527801425271475,0.02700997117014932,-0.009266932481742029,1.2355678301475228,-0.35092671417571586,-2.212101285659038,-0.026798912952965576,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0007330113907193515,0.09773301956057301
