time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
0.06,10,-12.0,1.5,0.0,6.996462,0.0005687864,5.3274445e-05,0.00016284396406263113,1.0892690625041723e-05,3.960013054893352e-05
0.06,10,-11.833333,1.5,0.0,6.9963346,0.0005951399,5.6299148e-05,0.00011015916243195534,-4.794762935489416e-05,3.3193917261087336e-05
0.06,10,-11.666667,1.5,0.0,6.996201,0.00062290934,5.9509883e-05,0.00011702417396008968,-4.0687096770852804e-05,1.0027999451267533e-05
0.06,10,-11.5,1.5,0.0,6.9960613,0.0006522616,6.293482e-05,0.00026505510322749615,-6.892508827149868e-05,3.20960480166832e-05
0.06,10,-11.333333,1.5,0.0,6.995915,0.0006832365,6.6573266e-05,0.0001469808630645275,-2.962921280413866e-05,5.0502882004366256e-05
0.06,10,-11.166667,1.5,0.0,6.995761,0.0007160144,7.042661e-05,4.8854853957891464e-05,-9.0937246568501e-06,1.949810939549934e-05
0.06,10,-11.0,1.5,0.0,6.9956,0.0007506261,7.45873e-05,0.00023951823823153973,9.354559006169438e-05,-3.385019226698205e-05
0.06,10,-10.833333,1.5,0.0,6.9954314,0.00078724313,7.899944e-05,0.00021763122640550137,-7.141096284613013e-05,2.666461659828201e-05
0.06,10,-10.666667,1.5,0.0,6.995254,0.0008259705,8.372916e-05,0.00023700972087681293,-5.1847659051418304e-05,-1.583775519975461e-05
0.06,10,-10.5,1.5,0.0,6.995068,0.0008669361,8.876016e-05,0.00016670720651745796,6.437883712351322e-05,2.5139321223832667e-05
0.06,10,-10.333333,1.5,0.0,6.9948726,0.00091032713,9.4102696e-05,0.00010288716293871403,-0.00015640980564057827,-2.1705160179408267e-05
0.06,10,-10.166667,1.5,0.0,6.994667,0.00095626235,9.984011e-05,0.00018985290080308914,-3.814697265625e-06,-1.8072018065140583e-05
0.06,10,-10.0,1.5,0.0,6.9944506,0.0010048936,0.00010597659,0.00019800430163741112,-4.993961192667484e-05,2.6962630727211945e-05
0.06,10,-9.833334,1.5,0.0,6.9942236,0.0010564574,0.00011254847,0.00021201767958700657,-0.00020340050105005503,7.096686567820143e-05
0.06,10,-9.666666,1.5,0.0,6.9939837,0.0011110797,0.00011957437,0.00028635747730731964,-0.00011445197742432356,-3.099452078458853e-05
0.06,10,-9.5,1.5,0.0,6.9937315,0.001168951,0.00012705382,0.0002666190266609192,-8.304452057927847e-05,2.7542457246454433e-05
0.06,10,-9.333333,1.5,0.0,6.9934664,0.0012303528,0.00013504969,0.00027189147658646107,-7.395516149699688e-05,9.27414839679841e-05
0.06,10,-9.166667,1.5,0.0,6.993186,0.0012954349,0.00014360016,0.00043281540274620056,4.570162855088711e-05,1.6171761672012508e-05
0.06,10,-9.0,1.5,0.0,6.9928904,0.0013644662,0.0001527532,0.0003571012057363987,-0.00010959396604448557,-1.5662248188164085e-05
0.06,10,-8.833333,1.5,0.0,6.9925785,0.0014376875,0.00016256236,0.0002663354389369488,-0.00017394113820046186,4.718538548331708e-05
0.06,10,-8.666666,1.5,0.0,6.992249,0.0015153694,0.00017305091,0.00035131070762872696,-5.1175011321902275e-06,1.0883712093345821e-05
