checkpoint,status,path,particle_kernel,dt_factor,dt,steps,horizon,method,wall_time_s,source_particles,selected_particles,anchor,source_strength_max,selected_strength_max,external_forcing_available,replay_class,position_error,strength_error,strength_magnitude_error,strength_angle_mean_deg,strength_error_p95,strength_error_max,excess_growth,velocity_evaluations,gradient_evaluations,fused_evaluations,pairwise_stretching_sweeps,tree_builds,tree_refits,tree_traversals,kernel_launches,synchronisations,host_device_transfers
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,fractional_x_gamma,0.024764080997556448,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.9022973919074458e-05,4.6195274865463676e-05,2.4431693365032633e-05,0.0032198847809003246,0.00019865457607489353,0.00020640980283811512,-1.0570315002004848e-05,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,fractional_gamma_x,0.02329079800983891,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.9074032612501394e-05,4.6238170947967106e-05,2.4424905823098687e-05,0.003220849269375154,0.00019864112767464264,0.0002058395158469344,1.0622813340440556e-05,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,parallel_lagged,0.0239341160049662,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.8962804856252232e-05,4.624171609181095e-05,2.4432581643511874e-05,0.003219540035162267,0.00019846019038503577,0.0002055019003123371,1.060827525016294e-05,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,strang_x_gamma_x,0.03190626599825919,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.4208094850218906e-07,5.07044652645883e-07,1.8503160432402814e-07,3.9459896803545124e-05,2.2508458619388326e-06,2.449339694453844e-06,-9.105182211941406e-08,60,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,strang_gamma_x_gamma,0.040232121013104916,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,2.1896832739595307e-07,5.623450837545157e-07,2.0834243494132184e-07,4.263336106310456e-05,2.294937713491685e-06,2.462684888235694e-06,1.0484757556515501e-07,30,0,0,60,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,coupled_rk2,0.01635889004683122,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.503635238811937e-05,1.1246868452738462e-06,1.2045469899682757e-07,9.18041119849537e-05,4.872843257132717e-06,8.117695425315812e-06,-8.765676213821553e-08,20,0,0,20,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,coupled_rk3,0.025093773030675948,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.3814130280507353e-07,1.752543384724492e-08,3.10274844726582e-09,1.2779725804322154e-06,7.643755999128597e-08,1.002205776780556e-07,-1.4219173626434765e-09,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,coupled_rk4_reference,0.03032847697613761,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.3809161619884947e-09,7.369546682805623e-11,8.044911721955642e-12,1.5550492119394526e-07,2.2498657939895527e-10,3.1638825509639494e-10,-1.7343904090709237e-12,40,0,0,40,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,reuse_stage_gradients,0.02209296595538035,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.908207170133639e-05,1.741832927364541e-05,1.1648260173855742e-05,0.0007677967303048827,3.8273249493138095e-05,3.95072131597951e-05,9.527413608458042e-06,30,30,0,0,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,0.5,0.0038992961057514367,10,0.03899296105751437,averaged_gradient_exponential,0.043799829960335046,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.908207120744101e-05,1.7394033434204962e-05,1.1653485856855038e-05,0.0007672017281925513,3.7991205822625154e-05,3.924536492928035e-05,9.53210002479447e-06,30,30,0,0,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,fractional_x_gamma,0.02114327298477292,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,7.19813759490501e-05,0.00016520087096637054,9.404311164356703e-05,0.011243758772133076,0.0007389341598652809,0.0007655122820599677,-2.2607431638982744e-05,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,fractional_gamma_x,0.020822539052460343,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,7.257326533590185e-05,0.000165385805737109,9.384840563499497e-05,0.011252439026543867,0.0007385417839239141,0.0007621327023813254,2.3068690763378792e-05,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,1.0,0.007798592211502873,10,0.07798592211502874,parallel_lagged,0.0202818859834224,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,7.192154327493405e-05,0.00016537167283834896,9.390668914372118e-05,0.01123924811155183,0.000736893698650751,0.0007596743305705483,2.2775363756466725e-05,30,0,0,30,0,0,0,0,0,0
