case,case_class,mode,method,steps,dt,wall_time_s,finite,position_error,strength_error,strength_magnitude_error,strength_angle_mean_deg,strength_error_p95,strength_error_max,excess_growth,velocity_evaluations,gradient_evaluations,fused_evaluations,pairwise_stretching_sweeps,tree_builds,tree_refits,tree_traversals,kernel_launches,synchronisations,host_device_transfers,affine_map_error,nonaffine_residual,cloud_covariance_condition,gradient_trace_max,inverse_error,deformation_determinant_error,seed,chi_s_imposed
rigid_rotation,deterministic,DIRECT,fractional_x_gamma,4,0.25,0.0007439299952238798,True,0.00016810146093291283,0.00017592427034955157,0.0001727437181829346,0.001585741121823008,0.00020588140215085736,0.00020588140215085736,0.0,12,12,0,0,0,0,0,0,0,0,0.00016810146093286185,9.856412345348775e-16,1.0004072629612577,,,,,
rigid_rotation,deterministic,DIRECT,fractional_x_gamma,8,0.125,0.0012865909957326949,True,2.102143939570945e-05,2.199969808035358e-05,2.1785921957511283e-05,0.00013094121202186548,2.57459000890318e-05,2.57459000890318e-05,0.0,24,24,0,0,0,0,0,0,0,0,2.102143939577131e-05,1.0581486687019902e-15,1.0000513490219318,,,,,
rigid_rotation,deterministic,DIRECT,fractional_x_gamma,16,0.0625,0.002355740056373179,True,2.6279364352610234e-06,2.750230707767367e-06,2.7292643535639033e-06,1.243111645645887e-05,3.218551671281295e-06,3.218551671281295e-06,0.0,48,48,0,0,0,0,0,0,0,0,2.6279364351826004e-06,9.521251334957502e-16,1.000006432608799,,,,,
rigid_rotation,deterministic,DIRECT,fractional_x_gamma,32,0.03125,0.004556233005132526,True,3.284997041888594e-07,3.437868447281375e-07,3.413460087841973e-07,1.3112501001812607e-06,4.023283283869666e-07,4.023283283869666e-07,0.0,96,96,0,0,0,0,0,0,0,0,3.284997041076375e-07,1.0210237937033332e-15,1.0000008045157027,,,,,
rigid_rotation,deterministic,DIRECT,fractional_x_gamma,64,0.015625,0.008959100989159197,True,4.106269725751367e-08,4.297360046026921e-08,4.2674120323142786e-08,4.426974462045302e-07,5.029132796466877e-08,5.029132796466877e-08,0.0,192,192,0,0,0,0,0,0,0,0,4.1062697138494474e-08,9.078021848204684e-16,1.0000001005782433,,,,,
rigid_rotation,deterministic,DIRECT,fractional_gamma_x,4,0.25,0.0006349029717966914,True,0.00016810146093291283,0.00017592427034955157,0.0001727437181829346,0.001585741121823008,0.00020588140215085736,0.00020588140215085736,0.0,12,12,0,0,0,0,0,0,0,0,0.00016810146093286185,9.856412345348775e-16,1.0004072629612577,,,,,
rigid_rotation,deterministic,DIRECT,fractional_gamma_x,8,0.125,0.0011693260166794062,True,2.102143939570945e-05,2.199969808035358e-05,2.1785921957511283e-05,0.00013094121202186548,2.57459000890318e-05,2.57459000890318e-05,0.0,24,24,0,0,0,0,0,0,0,0,2.102143939577131e-05,1.0581486687019902e-15,1.0000513490219318,,,,,
rigid_rotation,deterministic,DIRECT,fractional_gamma_x,16,0.0625,0.0022396069834940135,True,2.6279364352610234e-06,2.750230707767367e-06,2.7292643535639033e-06,1.243111645645887e-05,3.218551671281295e-06,3.218551671281295e-06,0.0,48,48,0,0,0,0,0,0,0,0,2.6279364351826004e-06,9.521251334957502e-16,1.000006432608799,,,,,
rigid_rotation,deterministic,DIRECT,fractional_gamma_x,32,0.03125,0.004573596001137048,True,3.284997041888594e-07,3.437868447281375e-07,3.413460087841973e-07,1.3112501001812607e-06,4.023283283869666e-07,4.023283283869666e-07,0.0,96,96,0,0,0,0,0,0,0,0,3.284997041076375e-07,1.0210237937033332e-15,1.0000008045157027,,,,,
rigid_rotation,deterministic,DIRECT,fractional_gamma_x,64,0.015625,0.009154736995697021,True,4.106269725751367e-08,4.297360046026921e-08,4.2674120323142786e-08,4.426974462045302e-07,5.029132796466877e-08,5.029132796466877e-08,0.0,192,192,0,0,0,0,0,0,0,0,4.1062697138494474e-08,9.078021848204684e-16,1.0000001005782433,,,,,
rigid_rotation,deterministic,DIRECT,parallel_lagged,4,0.25,0.0005947139579802752,True,0.00016810146093291283,0.00017592427034955157,0.0001727437181829346,0.001585741121823008,0.00020588140215085736,0.00020588140215085736,0.0,12,12,0,0,0,0,0,0,0,0,0.00016810146093286185,9.856412345348775e-16,1.0004072629612577,,,,,
rigid_rotation,deterministic,DIRECT,parallel_lagged,8,0.125,0.0011451170430518687,True,2.102143939570945e-05,2.199969808035358e-05,2.1785921957511283e-05,0.00013094121202186548,2.57459000890318e-05,2.57459000890318e-05,0.0,24,24,0,0,0,0,0,0,0,0,2.102143939577131e-05,1.0581486687019902e-15,1.0000513490219318,,,,,
rigid_rotation,deterministic,DIRECT,parallel_lagged,16,0.0625,0.002254427003208548,True,2.6279364352610234e-06,2.750230707767367e-06,2.7292643535639033e-06,1.243111645645887e-05,3.218551671281295e-06,3.218551671281295e-06,0.0,48,48,0,0,0,0,0,0,0,0,2.6279364351826004e-06,9.521251334957502e-16,1.000006432608799,,,,,
rigid_rotation,deterministic,DIRECT,parallel_lagged,32,0.03125,0.0047118450165726244,True,3.284997041888594e-07,3.437868447281375e-07,3.413460087841973e-07,1.3112501001812607e-06,4.023283283869666e-07,4.023283283869666e-07,0.0,96,96,0,0,0,0,0,0,0,0,3.284997041076375e-07,1.0210237937033332e-15,1.0000008045157027,,,,,
rigid_rotation,deterministic,DIRECT,parallel_lagged,64,0.015625,0.008931997988838702,True,4.106269725751367e-08,4.297360046026921e-08,4.2674120323142786e-08,4.426974462045302e-07,5.029132796466877e-08,5.029132796466877e-08,0.0,192,192,0,0,0,0,0,0,0,0,4.1062697138494474e-08,9.078021848204684e-16,1.0000001005782433,,,,,
rigid_rotation,deterministic,DIRECT,strang_x_gamma_x,4,0.25,0.0007971809827722609,True,2.102143939570945e-05,0.00017592427034955157,0.0001727437181829346,0.001585741121823008,0.00020588140215085736,0.00020588140215085736,0.0,24,12,0,0,0,0,0,0,0,0,2.102143939577131e-05,1.0581486687019902e-15,1.0000513490219318,,,,,
rigid_rotation,deterministic,DIRECT,strang_x_gamma_x,8,0.125,0.001546439016237855,True,2.6279364352610234e-06,2.199969808035358e-05,2.1785921957511283e-05,0.00013094121202186548,2.57459000890318e-05,2.57459000890318e-05,0.0,48,24,0,0,0,0,0,0,0,0,2.6279364351826004e-06,9.521251334957502e-16,1.000006432608799,,,,,
rigid_rotation,deterministic,DIRECT,strang_x_gamma_x,16,0.0625,0.003276053990703076,True,3.284997041888594e-07,2.750230707767367e-06,2.7292643535639033e-06,1.243111645645887e-05,3.218551671281295e-06,3.218551671281295e-06,0.0,96,48,0,0,0,0,0,0,0,0,3.284997041076375e-07,1.0210237937033332e-15,1.0000008045157027,,,,,
rigid_rotation,deterministic,DIRECT,strang_x_gamma_x,32,0.03125,0.005982253002002835,True,4.106269725751367e-08,3.437868447281375e-07,3.413460087841973e-07,1.3112501001812607e-06,4.023283283869666e-07,4.023283283869666e-07,0.0,192,96,0,0,0,0,0,0,0,0,4.1062697138494474e-08,9.078021848204684e-16,1.0000001005782433,,,,,
rigid_rotation,deterministic,DIRECT,strang_x_gamma_x,64,0.015625,0.01243654201971367,True,5.13284786221782e-09,4.297360046026921e-08,4.2674120323142786e-08,4.426974462045302e-07,5.029132796466877e-08,5.029132796466877e-08,0.0,384,192,0,0,0,0,0,0,0,0,5.132847595312968e-09,1.0439903727489367e-15,1.0000000125727204,,,,,
rigid_rotation,deterministic,DIRECT,strang_gamma_x_gamma,4,0.25,0.0009446100448258221,True,0.00016810146093291283,2.199969808035358e-05,2.1785921957511283e-05,0.00013094121202186548,2.57459000890318e-05,2.57459000890318e-05,0.0,12,24,0,0,0,0,0,0,0,0,0.00016810146093286185,9.856412345348775e-16,1.0004072629612577,,,,,
rigid_rotation,deterministic,DIRECT,strang_gamma_x_gamma,8,0.125,0.0018250569701194763,True,2.102143939570945e-05,2.750230707767367e-06,2.7292643535639033e-06,1.243111645645887e-05,3.218551671281295e-06,3.218551671281295e-06,0.0,24,48,0,0,0,0,0,0,0,0,2.102143939577131e-05,1.0581486687019902e-15,1.0000513490219318,,,,,
rigid_rotation,deterministic,DIRECT,strang_gamma_x_gamma,16,0.0625,0.003850444976706058,True,2.6279364352610234e-06,3.437868447281375e-07,3.413460087841973e-07,1.3112501001812607e-06,4.023283283869666e-07,4.023283283869666e-07,0.0,48,96,0,0,0,0,0,0,0,0,2.6279364351826004e-06,9.521251334957502e-16,1.000006432608799,,,,,
rigid_rotation,deterministic,DIRECT,strang_gamma_x_gamma,32,0.03125,0.007468640978913754,True,3.284997041888594e-07,4.297360046026921e-08,4.2674120323142786e-08,4.426974462045302e-07,5.029132796466877e-08,5.029132796466877e-08,0.0,96,192,0,0,0,0,0,0,0,0,3.284997041076375e-07,1.0210237937033332e-15,1.0000008045157027,,,,,
rigid_rotation,deterministic,DIRECT,strang_gamma_x_gamma,64,0.015625,0.014979183964896947,True,4.106269725751367e-08,5.3717113437635585e-09,5.334452018209638e-09,4.426974462045302e-07,6.286429110074956e-09,6.286429110074956e-09,0.0,192,384,0,0,0,0,0,0,0,0,4.1062697138494474e-08,9.078021848204684e-16,1.0000001005782433,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk2,4,0.25,0.00039929000195115805,True,0.0035865836753810527,0.0037534897831200628,0.0005244867661426223,0.1832109363113433,0.004392649962239762,0.004392649962239762,0.0006178855015781479,0,0,8,0,0,0,0,0,0,0,0.003586583675381181,7.51836907935008e-16,1.0012365348827694,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk2,8,0.125,0.0007158360094763339,True,0.0008969123888402171,0.0009386513162858369,6.555238125842453e-05,0.046169509045237325,0.001098488848319728,0.001098488848319728,7.724687373922316e-05,0,0,16,0,0,0,0,0,0,0,0.0008969123888400599,6.635553383524083e-16,1.000154505682252,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk2,16,0.0625,0.0013687899918295443,True,0.00022424925914798127,0.0002346849758063431,8.19384122092942e-06,0.011565044263515593,0.0002746481300549024,0.0002746481300549024,9.655946626402932e-06,0,0,32,0,0,0,0,0,0,0,0.00022424925914792755,8.158739082673302e-16,1.0000193120797287,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk2,32,0.03125,0.0026961249532178044,True,5.6063826267676304e-05,5.867282577090405e-05,1.0242263475561034e-06,0.002892673717265933,6.866388369200575e-05,6.866388369200575e-05,1.2069940110712558e-06,0,0,64,0,0,0,0,0,0,0,5.606382626779238e-05,7.899381807324769e-16,1.000002413990936,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk2,64,0.015625,0.0054348650155588984,True,1.4016057686176722e-05,1.4668312267886117e-05,1.2802822955924146e-07,0.0007232568472256013,1.716609476857229e-05,1.716609476857229e-05,1.508742568084165e-07,0,0,128,0,0,0,0,0,0,0,1.4016057685983666e-05,8.609161058119805e-16,1.0000003017485595,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk3,4,0.25,0.0005985869793221354,True,0.00016810146093291283,0.00017592427034955157,0.0001727437181829346,0.001585741121823008,0.00020588140215085736,0.00020588140215085736,0.0,0,0,12,0,0,0,0,0,0,0,0.00016810146093286185,9.856412345348775e-16,1.0004072629612577,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk3,8,0.125,0.0011830870062112808,True,2.102143939570945e-05,2.199969808035358e-05,2.1785921957511283e-05,0.00013094121202186548,2.57459000890318e-05,2.57459000890318e-05,0.0,0,0,24,0,0,0,0,0,0,0,2.102143939577131e-05,1.0581486687019902e-15,1.0000513490219318,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk3,16,0.0625,0.0023593619698658586,True,2.6279364352610234e-06,2.750230707767367e-06,2.7292643535639033e-06,1.243111645645887e-05,3.218551671281295e-06,3.218551671281295e-06,0.0,0,0,48,0,0,0,0,0,0,0,2.6279364351826004e-06,9.521251334957502e-16,1.000006432608799,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk3,32,0.03125,0.004576482984703034,True,3.284997041888594e-07,3.437868447281375e-07,3.413460087841973e-07,1.3112501001812607e-06,4.023283283869666e-07,4.023283283869666e-07,0.0,0,0,96,0,0,0,0,0,0,0,3.284997041076375e-07,1.0210237937033332e-15,1.0000008045157027,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk3,64,0.015625,0.009075456007849425,True,4.106269725751367e-08,4.297360046026921e-08,4.2674120323142786e-08,4.426974462045302e-07,5.029132796466877e-08,5.029132796466877e-08,0.0,0,0,192,0,0,0,0,0,0,0,4.1062697138494474e-08,9.078021848204684e-16,1.0000001005782433,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk4_reference,4,0.25,0.000822851958218962,True,6.305039635586579e-06,6.598452453997685e-06,1.0197244531978815e-06,0.0003214573280175947,7.722064957709328e-06,7.722064957709328e-06,0.0,0,0,16,0,0,0,0,0,0,0,6.305039635546558e-06,9.606792093328897e-16,1.0000024033833772,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk4_reference,8,0.125,0.0017180260038003325,True,3.941682321061941e-07,4.1251133832679634e-07,3.197189044930613e-08,2.027965483457289e-05,4.827555208366331e-07,4.827555208366331e-07,0.0,0,0,32,0,0,0,0,0,0,0,3.941682321306695e-07,7.916453308976009e-16,1.0000000753542537,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk4_reference,16,0.0625,0.0030806600116193295,True,2.4637125985330046e-08,2.5783645054384307e-08,9.999459013592668e-10,1.2140125220693045e-06,3.017419367819834e-08,3.017419367819834e-08,0.0,0,0,64,0,0,0,0,0,0,0,2.4637126137455456e-08,8.133249438327635e-16,1.0000000023567635,,,,,
rigid_rotation,deterministic,DIRECT,coupled_rk4_reference,32,0.03125,0.006182524026371539,True,1.5398455706474404e-09,1.6115042255796058e-09,3.1254660823307414e-11,2.2134872310226507e-07,1.885918162253602e-09,1.885918162253602e-09,0.0,0,0,128,0,0,0,0,0,0,0,1.5398456512226125e-09,6.582437945429644e-16,1.0000000000736646,,,,,
