time,step,kinetic_energy,enstrophy,enstrophy_test,dEdt,neg_nu_enstrophy,helicity,strength_magnitude,strength_x,strength_y,strength_z,impulse_x,impulse_y,impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles,max_gamma,turbulent_viscosity_mean,turbulent_viscosity_max,effective_viscosity_mean,effective_viscosity_max,invariant_projection_correction_ratio,core_radius_mean,overlap_ratio,overlap_ratio_max,vorticity_divergence_error,strength_misalignment_deg,stabilization_viscosity_mean,stabilization_viscosity_max,stabilization_viscosity_active_fraction,refinement_events,refinement_parents_total,refinement_last_split,refinement_max_stretch_ratio,refinement_last_energy_change,refinement_cumulative_energy_change,refinement_cumulative_enstrophy_change,refinement_cumulative_helicity_change,refinement_cumulative_abs_energy_change,refinement_cumulative_abs_enstrophy_change,refinement_cumulative_abs_helicity_change,refinement_cumulative_abs_circulation_error_relative,refinement_cumulative_abs_linear_impulse_error_relative,refinement_cumulative_abs_angular_impulse_error_relative,refinement_last_enstrophy_change,refinement_last_helicity_error,refinement_max_abs_energy_change,refinement_max_abs_enstrophy_change,refinement_max_helicity_error,refinement_max_circulation_error,refinement_max_strength_variation_error,refinement_max_linear_impulse_error,refinement_max_angular_impulse_error,refinement_max_circulation_error_relative,refinement_max_strength_variation_error_relative,refinement_max_linear_impulse_error_relative,refinement_max_angular_impulse_error_relative,relaxation_events,relaxation_last_projection_sweeps,relaxation_max_projection_sweeps,relaxation_last_iterations,relaxation_last_regularization,relaxation_last_trust_region_scale,relaxation_last_residual_ratio,relaxation_best_residual_ratio,relaxation_last_correction_norm,relaxation_max_correction_norm,relaxation_last_energy_change,relaxation_last_enstrophy_change,relaxation_last_helicity_change,relaxation_last_variation_change,relaxation_last_energy_spectral_error,relaxation_last_enstrophy_spectral_error,relaxation_last_helicity_spectral_error,relaxation_max_energy_spectral_error,relaxation_max_enstrophy_spectral_error,relaxation_max_helicity_spectral_error,relaxation_max_abs_energy_change,relaxation_max_abs_enstrophy_change,relaxation_max_abs_helicity_change,relaxation_max_abs_variation_change,relaxation_last_circulation_restored_relative,relaxation_last_linear_impulse_restored_relative,relaxation_last_angular_impulse_restored_relative,relaxation_last_reference_restoration_scale,relaxation_last_circulation_reference_error_relative,relaxation_last_linear_impulse_reference_error_relative,relaxation_last_angular_impulse_reference_error_relative,relaxation_max_circulation_restored_relative,relaxation_max_linear_impulse_restored_relative,relaxation_max_angular_impulse_restored_relative,relaxation_cumulative_energy_change,relaxation_cumulative_enstrophy_change,relaxation_cumulative_helicity_change,relaxation_cumulative_variation_change,relaxation_cumulative_abs_energy_change,relaxation_cumulative_abs_enstrophy_change,relaxation_cumulative_abs_helicity_change,relaxation_cumulative_abs_variation_change,relaxation_max_circulation_error,relaxation_max_linear_impulse_error,relaxation_max_angular_impulse_error,relaxation_cumulative_abs_circulation_error_relative,relaxation_cumulative_abs_linear_impulse_error_relative,relaxation_cumulative_abs_angular_impulse_error_relative,relaxation_grid_divergence_before,relaxation_grid_divergence_after,relaxation_direct_divergence_before,relaxation_direct_divergence_after,relaxation_direct_divergence_ratio,grid_diffusion_events,grid_diffusion_last_particles_before,grid_diffusion_last_particles_after,grid_diffusion_max_moment_correction_relative,grid_diffusion_max_circulation_error_relative,grid_diffusion_max_linear_impulse_error_relative,grid_diffusion_max_angular_impulse_error_relative,core_spreading_moment_projection_events,core_spreading_last_moment_correction_relative,core_spreading_max_moment_correction_relative,core_spreading_max_circulation_error_relative,core_spreading_max_linear_impulse_error_relative,core_spreading_max_angular_impulse_error_relative,regularization_events,regularization_dissipative_candidate_events,regularization_enstrophy_restoration_events,regularization_solenoidal_projection_events,regularization_projection_only_events,regularization_last_projection_correction_relative,regularization_max_projection_correction_relative,regularization_last_projection_residual_ratio,regularization_adaptive_core_events,regularization_last_core_radius,regularization_max_core_radius,regularization_last_particles_before,regularization_last_particles_after,regularization_last_energy_change,regularization_cumulative_energy_change,regularization_max_energy_dissipation,regularization_last_energy_transfer,regularization_cumulative_energy_transfer,regularization_equivalent_viscosity,regularization_last_step,regularization_last_enstrophy_change,regularization_max_abs_enstrophy_change,regularization_max_enstrophy_injection,regularization_max_enstrophy_dissipation,regularization_last_candidate_energy_change,regularization_last_candidate_enstrophy_change,regularization_last_moment_correction_relative,regularization_last_correction_relative,regularization_max_correction_relative,regularization_last_divergence_before,regularization_last_divergence_after,regularization_last_misalignment_before,regularization_last_misalignment_after,regularization_max_circulation_error_relative,regularization_max_linear_impulse_error_relative,regularization_max_angular_impulse_error_relative
2.7,6,1.0771260261535645,22.927936553955078,20.183584213256836,0.0,-0.043260227888822556,-2.3970781057869317e-06,12.386383056640625,4.001776687800884e-11,2.5352164811920375e-11,-0.004552776459604502,3.0943007469177246,-0.0006860100547783077,7.4018066698045e-07,2.27530108531937e-06,-7.168753654696047e-06,0.0004689025226980448,20000,0.0017971122870221734,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.6885099533743378,0.8507615453488608,0.07071906283220368,0.008330979123814825,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,20000,20000,7.73931381762931e-09,2.3544375857946144e-09,1.8986884519206155e-09,8.945883082706218e-10,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,12,0.9779644012451172,18.087303161621094,16.305437088012695,-0.03672652774386936,-0.03412711247801781,2.053598473139573e-05,12.400870323181152,3.637978807091713e-10,3.410605131648481e-12,-0.004553050268441439,3.0942320823669434,-0.0006326364818960428,1.5515841369051486e-05,-7.715862011536956e-06,-8.463393896818161e-06,0.0006113735144026577,20000,0.0012202687794342637,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.6892290747384504,0.8967851532820819,0.0885418145339317,0.061571653142394815,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,20000,20000,1.0130815762677198e-08,3.5155368527913022e-09,2.967558271437865e-09,1.5364177621995271e-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,18,0.9351256489753723,16.304533004760742,14.77051830291748,-0.015866204544349956,-0.03076319210231304,0.00010717760596890002,12.422385215759277,1.9510935089783743e-09,-8.776623872108757e-10,-0.004552226513624191,3.0956716537475586,-0.00034184264950454235,0.00011025540152331814,-8.197463466785848e-05,-9.851233335211873e-05,0.001023314893245697,20000,0.000984062673524022,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.688599837202234,0.8967855058449288,0.10569156907352606,0.07411061368638858,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,20000,20000,1.0130815762677198e-08,3.5155368527913022e-09,2.967558271437865e-09,1.5364177621995271e-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.8,24,0.9165517091751099,15.515887260437012,14.044917106628418,-0.006879236963060164,-0.029275089502334595,9.32140537770465e-05,12.440568923950195,-8.258211892098188e-10,9.605400919099338e-10,-0.0045526232570409775,3.1010444164276123,6.038940045982599e-05,0.00016014388529583812,-0.0003241605591028929,-1.1973024811595678e-05,0.0002164527541026473,20000,0.0011730266269296408,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.6884200621157484,0.8967855682847181,0.12690874740966163,0.05152498063014957,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,20000,20000,1.0130815762677198e-08,3.5155368527913022e-09,2.967558271437865e-09,1.5364177621995271e-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,30,0.9099832773208618,15.137679100036621,13.679488182067871,-0.0024327525386103883,-0.02856164611876011,-4.4772186811314896e-05,12.45719051361084,-3.3523974707350135e-09,1.4370584722200874e-09,-0.0045524584129452705,3.1098761558532715,0.00041249196510761976,0.0003169271512888372,-0.0010413459967821836,-0.00015197935863398015,-0.0004224296426400542,20000,0.0011436602799221873,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.691206656135945,0.896785465480937,0.16031149568666297,0.04521544687191302,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30,20000,20000,1.0130815762677198e-08,3.5155368527913022e-09,2.967558271437865e-09,1.5364177621995271e-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.2,36,0.9077160358428955,14.92938232421875,13.468791961669922,-0.0008397190659134478,-0.02816857397556305,-9.532076364848763e-05,12.466859817504883,-8.043571142479777e-09,4.856701707467437e-10,-0.004552433267235756,3.1212897300720215,0.0006177978357300162,0.000880355597473681,-0.001978515414521098,-0.0010077529586851597,0.0012335372157394886,20000,0.0013942370424047112,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.6884200383888843,0.896785443405142,0.169123314677115,0.0427687796652,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36,20000,20000,1.192056539069592e-08,3.5155368527913022e-09,2.967558271437865e-09,1.5364177621995271e-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.9,42,0.9093005657196045,14.783049583435059,13.322057723999023,0.000586862917299624,-0.02789260633289814,-0.0003222192754037678,12.455744743347168,-6.8248482421040535e-09,-7.723429007455707e-09,-0.004552080295979977,3.135469436645508,0.0005795036558993161,0.0011940019903704524,-0.0032982027623802423,-0.0009413426741957664,0.004016486462205648,20000,0.0014702838379889727,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.6893879311693989,0.8860765180000375,0.21550841902810083,0.04319035374137806,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42,20000,20000,1.192056539069592e-08,3.5155368527913022e-09,2.967558271437865e-09,1.5364177621995271e-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.6,48,0.9120995998382568,14.68978500366211,13.23094654083252,0.0010366793032045706,-0.02771647460758686,0.0008544811862520874,12.441987991333008,-2.6086127036251128e-08,-2.3196662368718535e-09,-0.004552315920591354,3.1520795822143555,0.00018830079352483153,0.0012166214874014258,-0.004011327866464853,-0.0002840999513864517,0.005439179949462414,20000,0.0014441930688917637,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.6902178401663637,0.8507617149921524,0.2535385370296362,0.03858482778389638,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48,20000,20000,1.192056539069592e-08,3.5155368527913022e-09,2.967558271437865e-09,1.5364177621995271e-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.3,54,0.9171798229217529,14.624005317687988,13.169604301452637,0.0018815641049985538,-0.027592496946454048,0.0002470027538947761,12.439377784729004,-5.011315806768835e-09,-6.644768291153014e-09,-0.0045522358268499374,3.170483112335205,-0.0002631729585118592,0.0008927389280870557,-0.0043926662765443325,0.0016128768911585212,0.00548591511324048,20000,0.0013537881895899773,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.6883991373883827,0.8860769795426636,0.2696303154105359,0.036211432164513786,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54,20000,20000,1.4775904498578242e-08,3.5155368527913022e-09,2.967558271437865e-09,1.5364177621995271e-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,60,0.925563395023346,14.626009941101074,13.160892486572266,0.003105026704293711,-0.027596157044172287,-0.0006277341744862497,12.442634582519531,-1.5090336091816425e-08,-6.267782737268135e-09,-0.004551960155367851,3.1907544136047363,-0.0008896005456335843,0.0002905952569562942,-0.007559893187135458,0.004710563458502293,0.0035383643116801977,20000,0.0015184918884187937,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.11249999701976776,0.6906673041431642,0.8967857814674525,0.2644809658697488,0.03887884027232666,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,20000,20000,2.5794361894355657e-08,3.5155368527913022e-09,2.967558271437865e-09,1.5364177621995271e-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
