flow_time,time_step,x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
1.032,8,-10.0,0.0,0.0,1.29252555e-08,-0.0015891348,-5.7279767e-16,0.0,0.0,0.0,3.7725894e-09,-0.00023758876,-1.1513869e-12,-3.7726062e-09,1.460343e-07,-9.0290886e-14,3.7725894e-09,-0.00015892106,-2.3025499e-12,-0.00031625645,-3.7726062e-09,2.920686e-07,-2.2408161e-16,-4.015158e-17,-9.0290886e-14
1.032,8,-9.962546,0.0,0.0,1.306753e-08,-0.0016010449,-5.814592e-16,0.0,0.0,0.0,3.827824e-09,-0.00024026263,-1.1727727e-12,-3.827749e-09,1.4821565e-07,-9.1646695e-14,3.827824e-09,-0.00016071308,-2.345317e-12,-0.00031981216,-3.827749e-09,2.964313e-07,-2.2827416e-16,-4.090874e-17,-9.1646695e-14
1.032,8,-9.925094,0.0,0.0,1.3211894e-08,-0.001613089,-5.9028503e-16,0.0,0.0,0.0,3.88503e-09,-0.00024298044,-1.1935932e-12,-3.884912e-09,1.5043666e-07,-9.302748e-14,3.88503e-09,-0.00016253564,-2.3869537e-12,-0.00032342525,-3.884912e-09,3.0087332e-07,-2.3257026e-16,-4.1678756e-17,-9.302748e-14
1.032,8,-9.88764,0.0,0.0,1.3358392e-08,-0.0016252694,-5.99279e-16,0.0,0.0,0.0,3.942546e-09,-0.00024573604,-1.2155191e-12,-3.942388e-09,1.5270038e-07,-9.443385e-14,3.942546e-09,-0.00016438236,-2.4308012e-12,-0.0003270897,-3.942388e-09,3.0540076e-07,-2.369838e-16,-4.2469335e-17,-9.443385e-14
1.032,8,-9.850187,0.0,0.0,1.3507055e-08,-0.0016375876,-6.0844484e-16,0.0,0.0,0.0,4.0001e-09,-0.00024853292,-1.2373584e-12,-4.0000203e-09,1.5500561e-07,-9.586755e-14,4.0001e-09,-0.00016625668,-2.4744753e-12,-0.00033080918,-4.0000203e-09,3.1001122e-07,-2.4149034e-16,-4.327722e-17,-9.586755e-14
1.032,8,-9.812734,0.0,0.0,1.3657931e-08,-0.0016500466,-6.1778666e-16,0.0,0.0,0.0,4.0601704e-09,-0.0002513721,-1.2610052e-12,-4.06011e-09,1.5735439e-07,-9.732844e-14,4.0601704e-09,-0.0001681603,-2.5217643e-12,-0.0003345839,-4.06011e-09,3.1470879e-07,-2.460949e-16,-4.4103434e-17,-9.732844e-14
1.032,8,-9.775281,0.0,0.0,1.3811057e-08,-0.0016626476,-6.273083e-16,0.0,0.0,0.0,4.121299e-09,-0.00025425912,-1.2849137e-12,-4.1212522e-09,1.5974747e-07,-9.881703e-14,4.121299e-09,-0.00017009534,-2.5695765e-12,-0.0003384229,-4.1212522e-09,3.1949494e-07,-2.5078094e-16,-4.4952068e-17,-9.881703e-14
1.032,8,-9.737827,0.0,0.0,1.3966477e-08,-0.0016753937,-6.370144e-16,0.0,0.0,0.0,4.1832537e-09,-0.00025718514,-1.3087121e-12,-4.1830885e-09,1.6218878e-07,-1.00333865e-13,4.1832537e-09,-0.00017205832,-2.6171686e-12,-0.00034231195,-4.1830885e-09,3.2437757e-07,-2.5560744e-16,-4.5820304e-17,-1.00333865e-13
1.032,8,-9.700375,0.0,0.0,1.41242325e-08,-0.0016882862,-6.4690876e-16,0.0,0.0,0.0,4.245748e-09,-0.0002601593,-1.3319041e-12,-4.2456967e-09,1.6467372e-07,-1.0188089e-13,4.245748e-09,-0.0001740512,-2.6635476e-12,-0.00034626736,-4.2456967e-09,3.2934744e-07,-2.6053675e-16,-4.6708656e-17,-1.0188089e-13
1.032,8,-9.662921,0.0,0.0,1.4284372e-08,-0.0017013284,-6.5699613e-16,0.0,0.0,0.0,4.31028e-09,-0.00026317665,-1.3584262e-12,-4.3102153e-09,1.6720823e-07,-1.0345686e-13,4.31028e-09,-0.00017607497,-2.7165867e-12,-0.00035027834,-4.3102153e-09,3.3441646e-07,-2.655609e-16,-4.7611973e-17,-1.0345686e-13
1.032,8,-9.625468,0.0,0.0,1.4446931e-08,-0.0017145214,-6.672806e-16,0.0,0.0,0.0,4.375198e-09,-0.00026624175,-1.3836047e-12,-4.3751727e-09,1.697895e-07,-1.050638e-13,4.375198e-09,-0.00017813152,-2.7669386e-12,-0.00035435197,-4.3751727e-09,3.39579e-07,-2.7072785e-16,-4.853964e-17,-1.050638e-13
1.032,8,-9.588015,0.0,0.0,1.4611968e-08,-0.0017278688,-6.7776744e-16,0.0,0.0,0.0,4.4412887e-09,-0.00026935647,-1.4092483e-12,-4.4412753e-09,1.7242195e-07,-1.0670188e-13,4.4412887e-09,-0.0001802209,-2.8182205e-12,-0.00035849208,-4.4412753e-09,3.448439e-07,-2.7601164e-16,-4.9486844e-17,-1.0670188e-13
1.032,8,-9.550562,0.0,0.0,1.47795145e-08,-0.0017413718,-6.8846086e-16,0.0,0.0,0.0,4.509713e-09,-0.00027251628,-1.4358868e-12,-4.5097903e-09,1.7510564e-07,-1.0837213e-13,4.509713e-09,-0.0001823399,-2.871492e-12,-0.00036269266,-4.5097903e-09,3.5021128e-07,-2.8140309e-16,-5.0460446e-17,-1.0837213e-13
1.032,8,-9.513108,0.0,0.0,1.4949636e-08,-0.001755034,-6.9936625e-16,0.0,0.0,0.0,4.5794364e-09,-0.00027572984,-1.4615192e-12,-4.5793453e-09,1.7784161e-07,-1.100748e-13,4.5794364e-09,-0.00018449634,-2.9227515e-12,-0.00036696333,-4.5793453e-09,3.5568323e-07,-2.8693982e-16,-5.1451832e-17,-1.100748e-13
1.032,8,-9.475656,0.0,0.0,1.512237e-08,-0.0017688567,-7.1048827e-16,0.0,0.0,0.0,4.65005e-09,-0.0002789939,-1.4904515e-12,-4.6499617e-09,1.8062931e-07,-1.1181094e-13,4.65005e-09,-0.0001866857,-2.9806106e-12,-0.00037130207,-4.6499617e-09,3.6125863e-07,-2.9260592e-16,-5.2471014e-17,-1.1181094e-13
1.032,8,-9.438202,0.0,0.0,1.529777e-08,-0.0017828434,-7.218324e-16,0.0,0.0,0.0,4.721795e-09,-0.0002823056,-1.5198065e-12,-4.7216777e-09,1.8347382e-07,-1.1358201e-13,4.721795e-09,-0.0001889076,-3.0393147e-12,-0.00037570362,-4.7216777e-09,3.6694763e-07,-2.9840722e-16,-5.350439e-17,-1.1358201e-13
1.032,8,-9.400749,0.0,0.0,1.5475885e-08,-0.0017969961,-7.3340364e-16,0.0,0.0,0.0,4.7953432e-09,-0.00028567153,-1.5506497e-12,-4.7952535e-09,1.8637365e-07,-1.153866e-13,4.7953432e-09,-0.00019116649,-3.1009952e-12,-0.00038017656,-4.7952535e-09,3.727473e-07,-3.0431257e-16,-5.4578154e-17,-1.153866e-13
1.032,8,-9.363296,0.0,0.0,1.5656774e-08,-0.0018113179,-7.4520794e-16,0.0,0.0,0.0,4.8708184e-09,-0.0002890912,-1.5798813e-12,-4.870823e-09,1.893316e-07,-1.1722855e-13,4.8708184e-09,-0.00019346082,-3.1594523e-12,-0.00038472158,-4.870823e-09,3.786632e-07,-3.1039898e-16,-5.567221e-17,-1.1722855e-13
1.032,8,-9.325843,0.0,0.0,1.5840483e-08,-0.0018258108,-7.5725047e-16,0.0,0.0,0.0,4.9460263e-09,-0.0002925646,-1.6105378e-12,-4.9458793e-09,1.923471e-07,-1.1910638e-13,4.9460263e-09,-0.00019579231,-3.220759e-12,-0.0003893369,-4.9458793e-09,3.846942e-07,-3.1661483e-16,-5.6792394e-17,-1.1910638e-13
1.032,8,-9.288389,0.0,0.0,1.6027077e-08,-0.0018404786,-7.695374e-16,0.0,0.0,0.0,5.0237916e-09,-0.00029609707,-1.6410381e-12,-5.0238484e-09,1.9542337e-07,-1.210229e-13,5.0237916e-09,-0.00019816162,-3.2817533e-12,-0.0003940325,-5.0238484e-09,3.9084674e-07,-3.229739e-16,-5.794333e-17,-1.210229e-13
1.032,8,-9.2509365,0.0,0.0,1.6216603e-08,-0.001855323,-7.820745e-16,0.0,0.0,0.0,5.103344e-09,-0.00029968473,-1.6735548e-12,-5.103194e-09,1.985615e-07,-1.2297764e-13,5.103344e-09,-0.00020056829,-3.34678e-12,-0.00039880117,-5.103194e-09,3.97123e-07,-3.2949918e-16,-5.911264e-17,-1.2297764e-13
1.032,8,-9.213483,0.0,0.0,1.6409125e-08,-0.0018703477,-7.9486805e-16,0.0,0.0,0.0,5.1838205e-09,-0.0003033309,-1.7062527e-12,-5.1837197e-09,2.0176172e-07,-1.2497199e-13,5.1838205e-09,-0.00020301419,-3.4121692e-12,-0.00040364757,-5.1837197e-09,4.0352344e-07,-3.3618727e-16,-6.032334e-17,-1.2497199e-13
1.032,8,-9.17603,0.0,0.0,1.6604695e-08,-0.0018855548,-8.0792406e-16,0.0,0.0,0.0,5.2667564e-09,-0.00030703604,-1.7398647e-12,-5.2666693e-09,2.050259e-07,-1.2700804e-13,5.2667564e-09,-0.00020549935,-3.4793863e-12,-0.0004085727,-5.2666693e-09,4.100518e-07,-3.4304554e-16,-6.1544686e-17,-1.2700804e-13
1.032,8,-9.1385765,0.0,0.0,1.6803387e-08,-0.0019009485,-8.212497e-16,0.0,0.0,0.0,5.3497815e-09,-0.000310802,-1.7776405e-12,-5.349713e-09,2.0835843e-07,-1.2908423e-13,5.3497815e-09,-0.00020802653,-3.554931e-12,-0.00041357745,-5.349713e-09,4.1671686e-07,-3.500482e-16,-6.280892e-17,-1.2908423e-13
1.032,8,-9.101124,0.0,0.0,1.7005245e-08,-0.0019165301,-8.3485055e-16,0.0,0.0,0.0,5.436746e-09,-0.00031462984,-1.8103734e-12,-5.4364655e-09,2.1175644e-07,-1.3120291e-13,5.436746e-09,-0.00021059524,-3.6203896e-12,-0.00041866442,-5.4364655e-09,4.235129e-07,-3.5722397e-16,-6.410219e-17,-1.3120291e-13
1.032,8,-9.06367,0.0,0.0,1.721035e-08,-0.0019323048,-8.487349e-16,0.0,0.0,0.0,5.522902e-09,-0.00031851843,-1.8473547e-12,-5.5228213e-09,2.1522669e-07,-1.3336564e-13,5.522902e-09,-0.000213206,-3.6943447e-12,-0.00042383085,-5.5228213e-09,4.3045338e-07,-3.646e-16,-6.542395e-17,-1.3336564e-13
1.032,8,-9.026217,0.0,0.0,1.7418756e-08,-0.0019482736,-8.629085e-16,0.0,0.0,0.0,5.6123795e-09,-0.00032247204,-1.885395e-12,-5.6122085e-09,2.1876414e-07,-1.3557269e-13,5.6123795e-09,-0.00021585882,-3.770418e-12,-0.00042908525,-5.6122085e-09,4.3752829e-07,-3.7213156e-16,-6.679181e-17,-1.3557269e-13
1.032,8,-8.988764,0.0,0.0,1.7630533e-08,-0.0019644417,-8.7737965e-16,0.0,0.0,0.0,5.704612e-09,-0.00032649285,-1.922812e-12,-5.704642e-09,2.2237674e-07,-1.3782546e-13,5.704612e-09,-0.00021855795,-3.845244e-12,-0.00043442775,-5.704642e-09,4.4475348e-07,-3.7986693e-16,-6.818232e-17,-1.3782546e-13
1.032,8,-8.951311,0.0,0.0,1.7845744e-08,-0.0019808104,-8.921548e-16,0.0,0.0,0.0,5.7974696e-09,-0.0003305778,-1.9598424e-12,-5.797338e-09,2.2606427e-07,-1.4012532e-13,5.7974696e-09,-0.00022130163,-3.919297e-12,-0.000439854,-5.797338e-09,4.5212855e-07,-3.877847e-16,-6.9615236e-17,-1.4012532e-13
1.032,8,-8.913857,0.0,0.0,1.8064476e-08,-0.0019973852,-9.072432e-16,0.0,0.0,0.0,5.891795e-09,-0.00033473485,-2.001307e-12,-5.8918235e-09,2.2982802e-07,-1.4247356e-13,5.891795e-09,-0.00022409279,-4.0022183e-12,-0.0004453769,-5.8918235e-09,4.5965604e-07,-3.9592922e-16,-7.107215e-17,-1.4247356e-13
1.032,8,-8.876405,0.0,0.0,1.8286777e-08,-0.0020141674,-9.226511e-16,0.0,0.0,0.0,5.987727e-09,-0.00033896128,-2.0411689e-12,-5.987649e-09,2.3366843e-07,-1.4487066e-13,5.987727e-09,-0.00022692965,-4.0819336e-12,-0.0004509929,-5.987649e-09,4.6733686e-07,-4.0426757e-16,-7.2566484e-17,-1.4487066e-13
1.032,8,-8.838951,0.0,0.0,1.8512742e-08,-0.0020311624,-9.383881e-16,0.0,0.0,0.0,6.0866046e-09,-0.00034325727,-2.082684e-12,-6.0866068e-09,2.3759202e-07,-1.4731955e-13,6.0866046e-09,-0.00022981392,-4.1649553e-12,-0.0004567006,-6.0866068e-09,4.7518404e-07,-4.1279365e-16,-7.411053e-17,-1.4731955e-13
1.032,8,-8.801498,0.0,0.0,1.8742428e-08,-0.002048372,-9.544616e-16,0.0,0.0,0.0,6.1875953e-09,-0.0003476267,-2.1262722e-12,-6.1876277e-09,2.4159652e-07,-1.4981916e-13,6.1875953e-09,-0.00023274786,-4.252123e-12,-0.00046250553,-6.1876277e-09,4.8319305e-07,-4.2153833e-16,-7.569475e-17,-1.4981916e-13
1.032,8,-8.764045,0.0,0.0,1.8975925e-08,-0.0020658018,-9.708812e-16,0.0,0.0,0.0,6.2900973e-09,-0.00035206982,-2.1711348e-12,-6.290006e-09,2.4568456e-07,-1.5237239e-13,6.2900973e-09,-0.00023573187,-4.341839e-12,-0.0004684078,-6.290006e-09,4.913691e-07,-4.305179e-16,-7.731069e-17,-1.5237239e-13
1.032,8,-8.726592,0.0,0.0,1.9213303e-08,-0.0020834536,-9.876551e-16,0.0,0.0,0.0,6.39647e-09,-0.0003565881,-2.2138695e-12,-6.3962666e-09,2.4986065e-07,-1.5497914e-13,6.39647e-09,-0.00023876631,-4.4272992e-12,-0.00047440993,-6.3962666e-09,4.997213e-07,-4.397357e-16,-7.896402e-17,-1.5497914e-13
1.032,8,-8.689138,0.0,0.0,1.9454653e-08,-0.0021013329,-1.0047932e-15,0.0,0.0,0.0,6.5028e-09,-0.00036118575,-2.2592462e-12,-6.5026367e-09,2.5412368e-07,-1.5764237e-13,6.5028e-09,-0.00024185274,-4.518043e-12,-0.00048051876,-6.5026367e-09,5.0824735e-07,-4.491873e-16,-8.06702e-17,-1.5764237e-13
1.032,8,-8.651686,0.0,0.0,1.9700046e-08,-0.0021194422,-1.0223042e-15,0.0,0.0,0.0,6.612572e-09,-0.00036586256,-2.3080114e-12,-6.61251e-09,2.5848004e-07,-1.603629e-13,6.612572e-09,-0.0002449933,-4.615564e-12,-0.0004867318,-6.61251e-09,5.169601e-07,-4.5887094e-16,-8.2425636e-17,-1.603629e-13
1.032,8,-8.614232,0.0,0.0,1.9949578e-08,-0.002137786,-1.0401984e-15,0.0,0.0,0.0,6.72326e-09,-0.0003706191,-2.3564978e-12,-6.723316e-09,2.6292815e-07,-1.6314279e-13,6.72326e-09,-0.00024818693,-4.712527e-12,-0.00049305125,-6.723316e-09,5.258563e-07,-4.6882675e-16,-8.421113e-17,-1.6314279e-13
1.032,8,-8.576779,0.0,0.0,2.0203329e-08,-0.0021563687,-1.0584861e-15,0.0,0.0,0.0,6.83837e-09,-0.00037545856,-2.407241e-12,-6.838217e-09,2.674727e-07,-1.659829e-13,6.83837e-09,-0.00025143678,-4.814003e-12,-0.00049948035,-6.838217e-09,5.349454e-07,-4.790093e-16,-8.605666e-17,-1.659829e-13
1.032,8,-8.539326,0.0,0.0,2.0461396e-08,-0.0021751947,-1.0771775e-15,0.0,0.0,0.0,6.955162e-09,-0.00038038305,-2.459431e-12,-6.954945e-09,2.721163e-07,-1.6888426e-13,6.955162e-09,-0.0002547434,-4.9183726e-12,-0.00050602265,-6.954945e-09,5.442326e-07,-4.894792e-16,-8.793868e-17,-1.6888426e-13
1.032,8,-8.501873,0.0,0.0,2.0723853e-08,-0.002194266,-1.0962829e-15,0.0,0.0,0.0,7.073654e-09,-0.00038539374,-2.5128703e-12,-7.0734925e-09,2.768591e-07,-1.7184958e-13,7.073654e-09,-0.00025811046,-5.0252406e-12,-0.000512677,-7.0734925e-09,5.537182e-07,-5.002194e-16,-8.9882603e-17,-1.7184958e-13
1.032,8,-8.464419,0.0,0.0,2.0990822e-08,-0.0022135908,-1.1158146e-15,0.0,0.0,0.0,7.196277e-09,-0.00039049197,-2.5635319e-12,-7.196253e-09,2.8170643e-07,-1.7487964e-13,7.196277e-09,-0.00026153692,-5.1265524e-12,-0.000519447,-7.196253e-09,5.6341287e-07,-5.112689e-16,-9.187019e-17,-1.7487964e-13
1.032,8,-8.426966,0.0,0.0,2.1262379e-08,-0.0022331704,-1.1357828e-15,0.0,0.0,0.0,7.3196387e-09,-0.00039568008,-2.619097e-12,-7.3195876e-09,2.8665957e-07,-1.7797715e-13,7.3196387e-09,-0.00026502344,-5.2376714e-12,-0.0005263367,-7.3195876e-09,5.7331914e-07,-5.2259953e-16,-9.3910205e-17,-1.7797715e-13
