# flow_time=19.86
x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
0.0,-0.875,0.0,0.18897134,0.001216097,2.1390599e-05,-1.4941183e-14,-8.299986e-15,6.1271294e-11,-0.0027423815,0.2255593,-4.7241523e-05,0.003116637,2.8552931e-05,-0.0003742521,-0.0027423815,0.23545791,-0.000112931615,0.21566069,0.003116637,2.000281e-05,1.8448567e-05,3.710305e-05,-0.0003742521
0.0,-0.8625,0.0,0.19194728,0.0012559291,2.1889595e-05,-5.36008e-14,-2.9778006e-14,2.19831e-10,-0.0028764387,0.23217928,-4.7533515e-05,0.0032577699,2.9332852e-05,-0.0003813349,-0.0028764387,0.24211386,-0.00011418529,0.22224471,0.0032577699,2.043689e-05,1.9118263e-05,3.8228816e-05,-0.0003813349
0.0,-0.85,0.0,0.19500859,0.0012981935,2.2363132e-05,-1.8503001e-13,-1.02802756e-13,7.589526e-10,-0.003018596,0.23908973,-4.7808742e-05,0.0034071938,3.0141846e-05,-0.00038861207,-0.003018596,0.24905874,-0.000115437295,0.2291207,0.0034071938,2.0880729e-05,1.9819809e-05,3.9402963e-05,-0.00038861207
0.0,-0.8375,0.0,0.19816329,0.0013413609,2.2849094e-05,-6.146184e-13,-3.4151837e-13,2.521412e-09,-0.0031694083,0.24631181,-4.8067803e-05,0.0035654984,3.0981202e-05,-0.00039610226,-0.0031694083,0.25631484,-0.000116690666,0.2363088,0.0035654984,2.1333643e-05,2.0555059e-05,4.062876e-05,-0.00039610226
0.0,-0.825,0.0,0.20140073,0.0013874634,2.3369515e-05,-1.9645702e-12,-1.09177e-12,8.060934e-09,-0.0033295322,0.25386313,-4.8306047e-05,0.0037333313,3.185236e-05,-0.00040380433,-0.0033295322,0.2639005,-0.00011793843,0.24382578,0.0037333313,2.1796177e-05,2.1326334e-05,4.1908545e-05,-0.00040380433
0.0,-0.8125,0.0,0.20473966,0.0014349774,2.3912604e-05,-6.042861e-12,-3.358711e-12,2.4800253e-08,-0.0034996069,0.26176438,-4.8524253e-05,0.003911334,3.275682e-05,-0.00041173224,-0.0034996069,0.27183414,-0.00011918424,0.25169462,0.003911334,2.2267634e-05,2.2135735e-05,4.3246004e-05,-0.00041173224
0.0,-0.8,0.0,0.20818955,0.0014852402,2.4465562e-05,-1.788721e-11,-9.943806e-12,7.342957e-08,-0.0036803584,0.27003798,-4.871904e-05,0.0041002715,3.3696124e-05,-0.00041989828,-0.0036803584,0.28013834,-0.00012042376,0.2599376,0.0041002715,2.2747672e-05,2.2985678e-05,4.4644574e-05,-0.00041989828
0.0,-0.7875,0.0,0.2117406,0.0015377953,2.5039757e-05,-5.095479e-11,-2.8332899e-11,2.0924338e-07,-0.0038726372,0.2787063,-4.8889615e-05,0.004300927,3.4671844e-05,-0.00042830865,-0.0038726372,0.28883734,-0.00012165791,0.26857528,0.004300927,2.3235883e-05,2.3878682e-05,4.610781e-05,-0.00042830865
0.0,-0.775,0.0,0.21541555,0.0015927275,2.5619476e-05,-1.3969842e-10,-7.7698556e-11,5.738837e-07,-0.004077149,0.28779396,-4.9031893e-05,0.0045141475,3.568558e-05,-0.00043698153,-0.004077149,0.2979557,-0.00012288145,0.27763224,0.0045141475,2.3731502e-05,2.4817668e-05,4.7639664e-05,-0.00043698153
0.0,-0.7625,0.0,0.21918504,0.0016508792,2.6193538e-05,-3.6862158e-10,-2.0508861e-10,1.5150006e-06,-0.0042949133,0.29733014,-4.9143942e-05,0.0047408235,3.673946e-05,-0.00044591905,-0.0042949133,0.30752006,-0.0001240936,0.28714025,0.0047408235,2.4233963e-05,2.5805713e-05,4.9244954e-05,-0.00044591905
0.0,-0.75,0.0,0.22307815,0.0017120132,2.6816098e-05,-9.362353e-10,-5.2108956e-10,3.849961e-06,-0.004526845,0.30734253,-4.9224167e-05,0.00498196,3.783525e-05,-0.00045514072,-0.004526845,0.317559,-0.00012529435,0.29712605,0.00498196,2.474234e-05,2.684601e-05,5.0928156e-05,-0.00045514072
0.0,-0.7375,0.0,0.22710164,0.0017757162,2.746617e-05,-2.28895e-09,-1.2745714e-09,9.418793e-06,-0.004773982,0.3178622,-4.926842e-05,0.005238623,3.897389e-05,-0.00046465875,-0.004773982,0.3281024,-0.00012647898,0.30762205,0.005238623,2.5255214e-05,2.7942137e-05,5.2692565e-05,-0.00046465875
0.0,-0.725,0.0,0.23126149,0.0018432878,2.8126226e-05,-5.387364e-09,-3.0015495e-09,2.2186061e-05,-0.0050373534,0.32892466,-4.927352e-05,0.005511824,4.015825e-05,-0.0004744877,-0.0050373534,0.3391875,-0.00012764498,0.31866184,0.005511824,2.5771662e-05,2.9097933e-05,5.454484e-05,-0.0004744877
0.0,-0.7125,0.0,0.23557948,0.0019140214,2.880865e-05,-1.2208303e-08,-6.806346e-09,5.0323713e-05,-0.0053181555,0.34055912,-4.9233542e-05,0.0058028325,4.138823e-05,-0.00048464432,-0.0053181555,0.35083327,-0.00012878478,0.33028495,0.0058028325,2.6289385e-05,3.03177e-05,5.648707e-05,-0.00048464432
0.0,-0.7,0.0,0.24001409,0.0019900957,2.9503677e-05,-2.6639672e-08,-1.4863969e-08,0.000109936555,-0.0056175864,0.35280058,-4.914887e-05,0.006112722,4.266466e-05,-0.00049514085,-0.0056175864,0.36307046,-0.00012990336,0.3425307,0.006112722,2.6807578e-05,3.1605618e-05,5.8521742e-05,-0.00049514085
0.0,-0.6875,0.0,0.24462043,0.002066965,3.0251673e-05,-5.5984465e-08,-3.1267298e-08,0.00023135258,-0.005936809,0.36567718,-4.9012975e-05,0.0064427964,4.39858e-05,-0.0005059939,-0.005936809,0.37591133,-0.00013099263,0.355443,0.0064427964,2.7322885e-05,3.296668e-05,6.064872e-05,-0.0005059939
0.0,-0.675,0.0,0.2493927,0.0021505628,3.102405e-05,-1.13332554e-07,-6.336901e-08,0.00046910706,-0.0062770494,0.37920538,-4.881917e-05,0.006794309,4.534731e-05,-0.00051721383,-0.0062770494,0.38934407,-0.0001320444,0.3690667,0.006794309,2.7832626e-05,3.440606e-05,6.2862e-05,-0.00051721383
0.0,-0.6625,0.0,0.25434837,0.0022371481,3.183689e-05,-2.2104948e-07,-1.2376854e-07,0.00091676024,-0.0066395532,0.39339083,-4.856488e-05,0.007168399,4.6740908e-05,-0.0005288199,-0.0066395532,0.40332696,-0.00013305889,0.3834547,0.007168399,2.8336146e-05,3.5929123e-05,6.514567e-05,-0.0005288199
0.0,-0.65,0.0,0.25947857,0.0023330613,3.2636264e-05,-4.1551934e-07,-2.3303872e-07,0.0017273104,-0.007025305,0.40820768,-4.8237853e-05,0.007566106,4.8148904e-05,-0.00054080645,-0.007025305,0.41775954,-0.00013401751,0.39865583,0.007566106,2.8826933e-05,3.7541806e-05,6.747088e-05,-0.00054080645
0.0,-0.6375,0.0,0.26476675,0.0024278685,3.345179e-05,-7.530024e-07,-4.231451e-07,0.0031389352,-0.00743523,0.4235912,-4.783462e-05,0.007988421,4.9546063e-05,-0.0005531775,-0.00743523,0.4324594,-0.00013491961,0.41472298,0.007988421,2.9303921e-05,3.9250375e-05,6.9788206e-05,-0.0005531775
0.0,-0.625,0.0,0.27025077,0.0025299918,3.4380042e-05,-1.3160467e-06,-7.4128684e-07,0.0055041793,-0.007869936,0.43941885,-4.734465e-05,0.008435832,5.089152e-05,-0.00056591164,-0.007869936,0.44712245,-0.00013574974,0.43171522,0.008435832,2.9760948e-05,4.1060444e-05,7.2022085e-05,-0.00056591164
