# flow_time=20.0
x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
-0.875,0.0,0.0,0.0006241321,-0.16805646,0.0,0.0,0.0,2.5346306e-08,0.014427439,-0.17905347,-5.552613e-05,-0.014427439,0.0017788598,0.0,0.014427439,-0.17022401,-0.00011105226,-0.18788293,-0.014427439,0.0035577195,0.0,0.0,0.0
-0.8625,0.0,0.0,0.00081685965,-0.17042708,0.0,0.0,0.0,6.794432e-08,0.015627827,-0.18299332,-9.80011e-05,-0.015627826,0.0019878629,0.0,0.015627827,-0.17389397,-0.0001960022,-0.19209269,-0.015627826,0.0039757257,0.0,0.0,0.0
-0.85,0.0,0.0,0.0010254021,-0.172896,0.0,0.0,0.0,1.824985e-07,0.016951704,-0.18705136,-0.0001385758,-0.016951703,0.0022124334,0.0,0.016951704,-0.17763665,-0.0002771516,-0.19646604,-0.016951703,0.0044248668,0.0,0.0,0.0
-0.8375,0.0,0.0,0.0012284243,-0.17522624,0.0,0.0,0.0,4.8172205e-07,0.0184241,-0.19123828,-0.00017515234,-0.018424097,0.0024511681,0.0,0.0184241,-0.18145612,-0.00035030468,-0.20102045,-0.018424097,0.0049023363,0.0,0.0,0.0
-0.825,0.0,0.0,0.0014706071,-0.17777279,0.0,0.0,0.0,1.2365022e-06,0.020076858,-0.19556618,-0.00020514062,-0.020076856,0.0027022085,0.0,0.020076858,-0.18535613,-0.00041028124,-0.20577623,-0.020076856,0.005404417,0.0,0.0,0.0
-0.8125,0.0,0.0,0.0017571206,-0.18035768,0.0,0.0,0.0,3.0700082e-06,0.021950202,-0.200048,-0.00022543782,-0.021950198,0.0029633492,0.0,0.021950202,-0.18934059,-0.00045087564,-0.2107554,-0.021950198,0.0059266984,0.0,0.0,0.0
-0.8,0.0,0.0,0.002066896,-0.18304469,0.0,0.0,0.0,7.3533283e-06,0.024094906,-0.20469768,-0.0002324958,-0.02409491,0.0032319885,0.0,0.024094906,-0.19341376,-0.0004649916,-0.2159816,-0.02409491,0.006463977,0.0,0.0,0.0
-0.7875,0.0,0.0,0.0023872273,-0.18584493,0.0,0.0,0.0,1.6969305e-05,0.026573913,-0.20952797,-0.00022237832,-0.026573911,0.0035052807,0.0,0.026573913,-0.19757783,-0.00044475665,-0.2214781,-0.026573911,0.0070105614,0.0,0.0,0.0
-0.775,0.0,0.0,0.0027459455,-0.18870136,0.0,0.0,0.0,3.770542e-05,0.029464768,-0.21454959,-0.00019090503,-0.029464768,0.0037801827,0.0,0.029464768,-0.20183188,-0.00038181007,-0.2272673,-0.029464768,0.0075603654,0.0,0.0,0.0
-0.7625,0.0,0.0,0.0031502228,-0.19161755,0.0,0.0,0.0,8.064173e-05,0.032860957,-0.21976875,-0.00013389967,-0.03286095,0.0040535773,0.0,0.032860957,-0.20617221,-0.00026779933,-0.23336528,-0.03286095,0.008107155,0.0,0.0,0.0
