# flow_time=30.0
x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
0.0,-0.875,0.0,0.1862266,0.0011599553,0.0,0.0,0.0,0.0012281595,0.019381862,0.26133633,-0.005825673,-0.019381862,-0.008002464,0.0,0.019381862,0.27132905,-0.011651346,0.2513436,-0.019381862,-0.016004927,0.0,0.0,0.0
0.0,-0.8625,0.0,0.18966116,0.00089781446,0.0,0.0,0.0,0.002045031,0.022276413,0.27507508,-0.0083647715,-0.022276413,-0.0075200694,0.0,0.022276413,0.28650746,-0.016729543,0.26364267,-0.022276413,-0.015040139,0.0,0.0,0.0
0.0,-0.85,0.0,0.19331385,0.00058327033,0.0,0.0,0.0,0.0033119372,0.02602445,0.29053575,-0.011516174,-0.02602445,-0.006799002,0.0,0.02602445,0.30367008,-0.023032349,0.2774014,-0.02602445,-0.013598004,0.0,0.0,0.0
0.0,-0.8375,0.0,0.19715707,0.0002294236,0.0,0.0,0.0,0.0052266084,0.030944822,0.30799532,-0.015444605,-0.03094483,-0.0057996614,0.0,0.030944822,0.32310313,-0.03088921,0.29288754,-0.03094483,-0.011599323,0.0,0.0,0.0
0.0,-0.825,0.0,0.20118389,-0.00022410351,0.0,0.0,0.0,0.0080638025,0.037441835,0.32777,-0.020364122,-0.037441835,-0.0044832923,0.0,0.037441835,0.3451185,-0.040728245,0.31042147,-0.037441835,-0.008966585,0.0,0.0,0.0
0.0,-0.8125,0.0,0.20586725,-0.0008842872,0.0,0.0,0.0,0.012220808,0.046011146,0.35021016,-0.026543073,-0.04601115,-0.0028126498,0.0,0.046011146,0.37003705,-0.053086147,0.33038327,-0.04601115,-0.0056252996,0.0,0.0,0.0
0.0,-0.8,0.0,0.21061166,-0.0015601511,0.0,0.0,0.0,0.018301886,0.057237346,0.3756793,-0.034302764,-0.057237346,-0.0007513602,0.0,0.057237346,0.3981293,-0.06860553,0.35322928,-0.057237346,-0.0015027204,0.0,0.0,0.0
0.0,-0.7875,0.0,0.21571888,-0.002379806,0.0,0.0,0.0,0.027263079,0.07177756,0.40449864,-0.044005036,-0.07177757,0.0017382544,0.0,0.07177756,0.42949748,-0.08801007,0.37949982,-0.07177757,0.003476509,0.0,0.0,0.0
0.0,-0.775,0.0,0.22123054,-0.0034059999,0.0,0.0,0.0,0.04063618,0.0903256,0.43684784,-0.05602647,-0.09032561,0.004699423,0.0,0.0903256,0.46386555,-0.11205294,0.40983012,-0.09032561,0.009398846,0.0,0.0,0.0
0.0,-0.7625,0.0,0.22710796,-0.0046979594,0.0,0.0,0.0,0.060836244,0.113548614,0.47260645,-0.07071258,-0.1135486,0.00818622,0.0,0.113548614,0.5002617,-0.14142516,0.44495118,-0.1135486,0.01637244,0.0,0.0,0.0
0.0,-0.75,0.0,0.2334999,-0.006282774,0.0,0.0,0.0,0.09152702,0.1419906,0.5111488,-0.088312425,-0.14199059,0.012269014,0.0,0.1419906,0.5366201,-0.17662485,0.48567754,-0.14199059,0.024538027,0.0,0.0,0.0
0.0,-0.7375,0.0,0.24025351,-0.0082621155,0.0,0.0,0.0,0.13796857,0.17593816,0.55110437,-0.10889078,-0.17593816,0.017036675,0.0,0.17593816,0.56933606,-0.21778156,0.5328727,-0.17593816,0.03407335,0.0,0.0,0.0
