flow_time,time_step,x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
0.6,12,-4.5,0.0,0.0,0.99656236,-1.0425695e-06,8.5166914e-07,0.0,0.0,0.0,-0.0024259218,1.058823e-06,1.873592e-06,0.0012131982,2.1827694e-07,0.001213272,-0.0024259218,1.0663754e-06,1.720444e-06,1.0512707e-06,0.0012131982,2.0554987e-07,2.02674e-06,2.31004e-07,0.001213272
0.6,12,-4.460064,0.0,0.0,0.99647075,-1.0461667e-06,9.121307e-07,0.0,0.0,0.0,-0.0025130336,1.0907571e-06,1.932638e-06,0.0012567915,2.2811963e-07,0.0012568719,-0.0025130336,1.1006423e-06,1.7763205e-06,1.0808719e-06,0.0012567915,2.1496115e-07,2.0889559e-06,2.4127812e-07,0.0012568719
0.6,12,-4.420128,0.0,0.0,0.99637586,-1.1202276e-06,8.819351e-07,0.0,0.0,0.0,-0.0026042415,1.1241857e-06,1.9941442e-06,0.0013023522,2.3851564e-07,0.0013024207,-0.0026042415,1.1354896e-06,1.8345457e-06,1.1128817e-06,0.0013023522,2.2489894e-07,2.1537426e-06,2.5213234e-07,0.0013024207
0.6,12,-4.380192,0.0,0.0,0.9962776,-1.2025309e-06,8.4948215e-07,0.0,0.0,0.0,-0.0026995188,1.1590937e-06,2.0582254e-06,0.0013499974,2.4948275e-07,0.0013500858,-0.0026995188,1.1717341e-06,1.8952592e-06,1.1464534e-06,0.0013499974,2.3541818e-07,2.2211916e-06,2.635473e-07,0.0013500858
0.6,12,-4.3402557,0.0,0.0,0.9961752,-1.3953638e-06,8.127816e-07,0.0,0.0,0.0,-0.002799291,1.1953604e-06,2.1249316e-06,0.0013998641,2.6107452e-07,0.0013999515,-0.002799291,1.2109324e-06,1.9586278e-06,1.1797883e-06,0.0013998641,2.4652618e-07,2.2912357e-06,2.7562285e-07,0.0013999515
0.6,12,-4.3003197,0.0,0.0,0.99606955,-1.493206e-06,7.7387534e-07,0.0,0.0,0.0,-0.0029037339,1.2322985e-06,2.194503e-06,0.0014520556,2.7331853e-07,0.0014521522,-0.0029037339,1.250558e-06,2.024736e-06,1.214039e-06,0.0014520556,2.5825528e-07,2.3642701e-06,2.8838178e-07,0.0014521522
0.6,12,-4.2603836,0.0,0.0,0.9959469,-2.3890116e-05,-2.1415433e-05,0.0,0.0,0.0,-0.0030130623,1.2718517e-06,2.2669692e-06,0.001506722,2.8627863e-07,0.001506831,-0.0030130623,1.2918721e-06,2.0936302e-06,1.2518312e-06,0.001506722,2.7069058e-07,2.440308e-06,3.018667e-07,0.001506831
0.6,12,-4.220447,0.0,0.0,0.99583256,-2.4808633e-05,-2.225634e-05,0.0,0.0,0.0,-0.0031275223,1.3126734e-06,2.3426455e-06,0.0015639764,2.9999097e-07,0.001564073,-0.0031275223,1.335972e-06,2.1656817e-06,1.2893747e-06,0.0015639764,2.8386793e-07,2.519609e-06,3.16114e-07,0.001564073
0.6,12,-4.180511,0.0,0.0,0.995687,-2.4437377e-05,-2.1768421e-05,0.0,0.0,0.0,-0.0032475754,1.3555701e-06,2.4216056e-06,0.00162398,3.144814e-07,0.0016240722,-0.0032475754,1.381392e-06,2.2409492e-06,1.3297482e-06,0.00162398,2.977949e-07,2.6022617e-06,3.311679e-07,0.0016240722
0.6,12,-4.140575,0.0,0.0,0.9955489,-2.0005286e-06,5.556092e-07,0.0,0.0,0.0,-0.0033734094,1.3991748e-06,2.5040408e-06,0.0016868865,3.2982786e-07,0.0016869862,-0.0033734094,1.4279419e-06,2.3195823e-06,1.3704079e-06,0.0016868865,3.1254697e-07,2.6884995e-06,3.4710874e-07,0.0016869862
