flow_time,time_step,x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,p
0.15,15,-1.5,0.0,0.0,0.9083710396991798,0.0005961889766665696,0.0006050843168773129,-1.2828775969161784e-05,0.0074557775084351675,-0.006988678637539543,0.20897701629600493
0.15,15,-1.46,0.0,0.0,0.9039102104836506,0.0004944582525286388,0.00019311835098781985,-5.4528595737220355e-05,0.004604641681806843,-0.0037851130893328585,0.21247181912000251
0.15,15,-1.42,0.0,0.0,0.8987655505509713,0.00011802418876232957,0.0004244511972638175,-2.8805678397799585e-05,0.0017400185746215416,-0.0016745405414477924,0.21736917383460627
0.15,15,-1.38,0.0,0.0,0.889995305409339,0.00040776272095984883,5.9548377805687444e-05,-5.56801383320629e-05,0.002295213737327068,-0.0020591894987916633,0.22637884351468945
0.15,15,-1.34,0.0,0.0,0.8780521208252853,0.0003095847618436933,-1.2351541041710895e-05,-2.8648681032430557e-05,0.00350457121398284,-0.0035684723722585006,0.2382999874062492
0.15,15,-1.3,0.0,0.0,0.8657532841467116,0.0001584532204137632,-0.00010694538336560669,-3.1489513516152535e-06,0.004211931993816325,-0.0043704419779652245,0.24989880497897526
0.15,15,-1.26,0.0,0.0,0.8522827341297604,-0.0001971655054567901,5.749891660206298e-06,4.183668457141471e-06,0.0038722165552356274,-0.004179722846971066,0.26187862670215245
0.15,15,-1.22,0.0,0.0,0.8368778025543215,-0.00024570862234786213,-0.00011689871370449527,2.352647179615573e-06,0.0029286159555656304,-0.003038848263175118,0.27539867095553816
0.15,15,-1.18,0.0,0.0,0.8198846238994144,-0.00024838807230606223,-0.00018994874163472456,4.955731262393267e-07,0.0016742275747919958,-0.001695370180716216,0.29031120084945494
0.15,15,-1.14,0.0,0.0,0.8012895039916039,-0.00023053756532163272,-0.00021419027231893661,-7.037306542509703e-08,0.0006711306445090335,-0.0006696506133343634,0.30649476173826784
0.15,15,-1.1,0.0,0.0,0.7806881946407509,-0.00023469764069000115,-0.00021017833047515578,-1.0104447913260688e-07,0.00018110321896044757,-0.00018045503369031138,0.32417379329031826
0.15,15,-1.06,0.0,0.0,0.757606019922123,-0.0002102074654194467,-0.0002850938596997972,-2.003500981705436e-08,7.561839886018221e-05,-6.440286830208797e-05,0.3436123165769652
