flow_time,time_step,x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
0.6,12,-4.5,0.75,0.0,0.99702877,0.0009381236,0.00019104131,0.0,0.0,0.0,-0.0019696895,0.00074713316,6.3565385e-05,0.00090215396,-1.21110015e-05,0.0010674653,-0.0019696895,0.00072281057,4.1629366e-05,0.0007714558,0.00090215396,-1.144168e-07,8.550141e-05,-2.4107587e-05,0.0010674653
0.6,12,-4.4600515,0.75,0.0,0.99695355,0.0009668135,0.00019486318,0.0,0.0,0.0,-0.002035844,0.0007785043,6.5190354e-05,0.00093105977,-1.2544795e-05,0.0011047184,-0.002035844,0.00075351505,4.2699987e-05,0.00080349355,0.00093105977,-1.15892185e-07,8.7680724e-05,-2.4973699e-05,0.0011047184
0.6,12,-4.420103,0.75,0.0,0.996876,0.0009968881,0.00019893785,0.0,0.0,0.0,-0.002104743,0.00081149326,6.687144e-05,0.0009610963,-1.2997686e-05,0.0011435807,-0.002104743,0.0007858028,4.3807075e-05,0.0008371837,0.0009610963,-1.1743641e-07,8.993581e-05,-2.5877936e-05,0.0011435807
0.6,12,-4.3801546,0.75,0.0,0.99679613,0.0010282418,0.00020227698,0.0,0.0,0.0,-0.0021765393,0.00084618025,6.86081e-05,0.0009922488,-1.3470716e-05,0.0011841548,-0.0021765393,0.0008197775,4.4950728e-05,0.00087258307,0.0009922488,-1.1905128e-07,9.2265465e-05,-2.6822381e-05,0.0011841548
0.6,12,-4.340206,0.75,0.0,0.99669284,0.0011384127,0.00020491524,0.0,0.0,0.0,-0.0022513792,0.0008826762,7.04055e-05,0.0010246795,-1.3966175e-05,0.0012265568,-0.0022513792,0.00085553544,4.6135734e-05,0.000909817,0.0010246795,-1.2075324e-07,9.467527e-05,-2.7811597e-05,0.0012265568
0.6,12,-4.3002577,0.75,0.0,0.99660677,0.0011762189,0.00020843335,0.0,0.0,0.0,-0.0023293842,0.0009210919,7.226355e-05,0.0010583973,-1.4483964e-05,0.001270836,-0.0023293842,0.00089317374,4.7361398e-05,0.00094900996,0.0010583973,-1.2256812e-07,9.716571e-05,-2.884536e-05,0.001270836
0.6,12,-4.260309,0.75,0.0,0.9965178,0.0012155214,0.00021196387,0.0,0.0,0.0,-0.0024107057,0.0009615433,7.418705e-05,0.0010934655,-1.5025815e-05,0.0013171382,-0.0024107057,0.00093282777,4.8630838e-05,0.0009902588,0.0010934655,-1.2445285e-07,9.974327e-05,-2.9927176e-05,0.0013171382
0.6,12,-4.2203608,0.75,0.0,0.99635696,0.001204331,0.00021447284,0.0,0.0,0.0,-0.0024955906,0.0010041592,7.6176664e-05,0.001129937,-1.559287e-05,0.001365539,-0.0024955906,0.0009746153,4.9944207e-05,0.0010337031,0.001129937,-1.264877e-07,0.00010240912,-3.105925e-05,0.001365539
0.6,12,-4.1804123,0.75,0.0,0.99625885,0.0012447563,0.00021818187,0.0,0.0,0.0,-0.0025841282,0.0010491585,7.8237106e-05,0.0011678665,-1.6187303e-05,0.0014161783,-0.0025841282,0.0010188395,5.1306015e-05,0.0010794775,0.0011678665,-1.2863788e-07,0.0001051682,-3.2245967e-05,0.0014161783
0.6,12,-4.140464,0.75,0.0,0.99615747,0.0012863774,0.00022199299,0.0,0.0,0.0,-0.0026765778,0.0010965432,8.037118e-05,0.001207335,-1.6809357e-05,0.0014691453,-0.0026765778,0.0010653224,5.2716347e-05,0.001127764,0.001207335,-1.3095818e-07,0.00010802601,-3.3487755e-05,0.0014691453
