time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z,strain_rate_xx,strain_rate_xy,strain_rate_xz,strain_rate_yy,strain_rate_yz,strain_rate_zz,velocity_gradient_xx,velocity_gradient_xy,velocity_gradient_xz,velocity_gradient_yx,velocity_gradient_yy,velocity_gradient_yz,velocity_gradient_zx,velocity_gradient_zy,velocity_gradient_zz
0.05,5,-4.5,0.0,0.0,0.9968631,-2.3707807e-06,-2.3247594e-06,-1.0027051806638099e-05,-6.2842133274898515e-06,2.387955646554474e-07,-0.002135104965418577,3.4451434203219833e-06,3.4807562201422115e-06,0.0010340838414322207,-4.381303413403259e-07,0.0010324512459192192,-0.002135104965418577,3.3257456379942596e-06,3.386495563972858e-07,3.564541202649707e-06,0.0010340838414322207,4.5753955619787234e-06,6.622862883887137e-06,-5.451656244659375e-06,0.0010324512459192192
0.05,5,-4.46875,0.0,0.0,0.9967963,-2.4556373e-06,-2.4088058e-06,-2.7771980145585573e-06,3.008250644143118e-06,1.856729340943275e-06,-0.0021380020771175623,3.2756486234575277e-06,7.298316972992325e-08,0.001090664596631541,4.939786302393667e-06,0.001089368510292843,-0.0021380020771175623,2.34728395298589e-06,1.5771084918014822e-06,4.204013293929165e-06,0.001090664596631541,6.328385309672946e-06,-1.4311421523416357e-06,3.5511872951143886e-06,0.001089368510292843
0.05,5,-4.4375,0.0,0.0,0.9967276,-2.5279414e-06,-2.4761484e-06,-4.828770023168616e-06,4.451940412764088e-06,-3.209636020073958e-06,-0.0021942527955616242,-6.519652004044474e-06,-9.301798058913846e-06,0.0011511135198816191,-1.2978890096992934e-05,0.0011526173766469583,-0.0021942527955616242,-4.914833994007495e-06,-7.075827852531802e-06,-8.124470014081453e-06,0.0011511135198816191,-1.0564505085408626e-05,-1.152776826529589e-05,-1.5393275108577242e-05,0.0011526173766469583
0.05,5,-4.40625,0.0,0.0,0.9966569,-2.602608e-06,-2.549806e-06,-2.1077092190457947e-06,-8.777904895396205e-06,2.749177156147198e-06,-0.0022649306320090545,-1.3366172083806305e-05,-1.0877142813114915e-05,0.0012158781391917728,6.040618246216933e-06,0.0012116361685912125,-0.0022649306320090545,-1.4740760661879904e-05,-1.5266095260813017e-05,-1.1991583505732706e-05,0.0012158781391917728,7.094472855739831e-06,-6.488190365416813e-06,4.986763636694036e-06,0.0012116361685912125
0.05,5,-4.375,0.0,0.0,0.99658424,-2.6788814e-06,-2.6228793e-06,-1.407433233069355e-06,-1.6398060779465595e-05,1.0809167179104406e-05,-0.0023618941158929374,5.982561333439662e-06,-1.287547775064013e-06,0.0012139455866417848,2.631211156600699e-05,0.0012199778357171454,-0.0023618941158929374,5.779777438874589e-07,-9.48657816479681e-06,1.1387144922991865e-05,0.0012139455866417848,2.7015828182541668e-05,6.911482614668785e-06,2.5608394949472313e-05,0.0012199778357171454
0.05,5,-4.34375,0.0,0.0,0.9965093,-2.7581218e-06,-2.6986284e-06,-2.4994432612501782e-06,2.989941910414018e-05,-2.543833693380293e-05,-0.0023931555915623903,-1.021236232645606e-05,-1.5865125320146944e-05,0.001291261381993536,9.004167044635025e-06,0.0012857367255492136,-0.0023931555915623903,2.5068061404454056e-06,-9.154157680768549e-07,-2.2931530793357524e-05,0.001291261381993536,1.0253888675260114e-05,-3.0814834872217034e-05,7.754445414009936e-06,0.0012857367255492136
0.05,5,-4.3125,0.0,0.0,0.99643224,-2.8432853e-06,-2.7809474e-06,3.0851988097602145e-06,-2.2098355771049683e-05,2.9799472059721666e-05,-0.0024832733906805515,1.3861613737731204e-05,1.4162345394197473e-05,0.001226315365784103,4.005404927731604e-07,0.001228423065640527,-0.0024832733906805515,-1.0381222921296285e-06,3.113167508672632e-06,2.8761349767592037e-05,0.001226315365784103,-1.1420589121069469e-06,2.5211523279722314e-05,1.9431398976532677e-06,0.001228423065640527
0.05,5,-4.28125,0.0,0.0,0.9963529,-2.9270134e-06,-2.8637526e-06,6.2753498524248386e-06,3.2511036920368497e-06,6.539420951412467e-06,-0.002576245922682574,5.088021964638756e-06,-1.8986557392963732e-07,0.001273822729672247,1.0298764451577291e-05,0.0012765580286213662,-0.002576245922682574,1.8183114889325225e-06,1.4356862720887875e-06,8.35773244034499e-06,0.001273822729672247,7.161089525364872e-06,-1.8154174199480622e-06,1.343643937778971e-05,0.0012765580286213662
0.05,5,-4.25,0.0,0.0,0.9962712,-3.0192978e-06,-2.9533583e-06,-4.954662600864523e-06,2.25516837701889e-05,-9.836235335569654e-06,-0.0025985033717006445,-5.9526668678699934e-06,-1.3149978698834275e-05,0.0013482161084539257,1.448143018312198e-05,0.0013447097480820958,-0.0025985033717006445,-1.0345492000851664e-06,-1.874136813739824e-06,-1.087078453565482e-05,0.0013482161084539257,1.695876148355424e-05,-2.4425820583928726e-05,1.2004098882689718e-05,0.0013447097480820958
0.05,5,-4.21875,0.0,0.0,0.99618703,-3.1116626e-06,-3.0429621e-06,2.9375204415593714e-06,2.292415399551828e-05,-6.537794376981765e-06,-0.0027073256205767393,7.597629121391947e-07,-6.984901176565472e-06,0.0013478097198458272,-7.958832394239224e-06,0.0013488728918673587,-0.0027073256205767393,4.028660100630077e-06,4.4771758211936685e-06,-2.5091342763516877e-06,0.0013478097198458272,-9.42759261501891e-06,-1.8446978174324613e-05,-6.490072173459538e-06,0.0013488728918673587
