time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0,0,26.744091860228473,2063.9518825505897,1303.690737557611,-5.714845454330572,fourier_transition_viscous_rate,-5.714845454330572,-0.0102118472962299,41.01739092882645,-1.030516614264343e-07,0.0,0.0,19.802337720938574,5.145513396333061e-17,-2.6215966179052134e-16,1.8119342595874683e-08,1.3994197610949875e-16,-1.1705428877770954e-16,16104,0.0249754358083009,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.002672400092706,0.0039765061810612,0.0035923395771533,0.0048964456655085,0.0,0.0599999986588954,0.9430715498225444,1.0442405817926932,1.0872634022849023e-05,0.9383148103750478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,,,,
0.075,10,26.371659583183995,1931.7577569570783,1245.117050819138,-4.965763693926372,periodic_fourier_energy_backward_difference,-5.243015639795626,-0.0011351661586253,41.23948753213989,-7.792968959918767e-05,5.818480005359561e-06,-0.0001003345530459,19.795102967495364,1.615778746955514e-05,6.2643089653032095e-06,1.6709861259644053e-05,2.499697341924e-07,2.163632547424809e-05,16104,0.0263827666640281,0.0630356147885322,0.0682141631841659,0.0709119737148284,0.0025148470886051,0.0038478833157569,0.0034347865730524,0.0047678225673735,0.0,0.0682141627802689,0.7425188304189436,0.9328757576501876,0.0468034842512771,3.256491487490706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.2368118222057819,0.0,0.2368118222057819,0.1498087877270837,0.0263827666640281,177.7793257797635
0.15,20,26.084651516642673,1827.4271247829447,1199.6378304894968,-3.826774220550959,periodic_fourier_energy_backward_difference,-4.550093678622139,0.0001154429552002,41.35279913529121,-1.612462656014335e-05,-1.972291166518758e-05,-9.9644171511315e-05,19.79593953540221,1.158899282816366e-05,1.3101417830643367e-05,-1.6256045793301424e-05,8.205585390592524e-06,1.8636174552353805e-05,16104,0.028313260525465,0.0661100596189498,0.0752349197864532,0.0789006054401397,0.002367535373196,0.0036331412848085,0.0032874746248126,0.0045530805364251,0.0,0.0752349171155515,0.6481908207838554,1.039701404375935,0.0603951473003508,5.105865124130387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.203937245607376,0.0,0.203937245607376,0.133713706161742,0.028313260525465,190.78788934243775
0.225,30,25.765126167777204,1710.1966002584911,1140.9543581810942,-4.260337984872914,periodic_fourier_energy_backward_difference,-4.1020959482125425,0.0005547107944422,41.25561514257663,8.688692383830576e-05,-1.898678172285173e-05,-0.0001026442657448,19.81001850284137,2.9963314061442354e-05,-2.192294345337757e-07,-9.352258773922196e-05,7.335610523938143e-06,2.4337428101858892e-05,16104,0.0293195806443691,0.0687095746397972,0.0813952907919883,0.086209088563919,0.0022327871993184,0.0032969552557915,0.0031527266837656,0.0042168945074081,0.0,0.0813952939602432,0.6007404576772203,0.9414509537966876,0.0461128967092601,5.802039740616708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1936974285542964,0.0,0.1936974285542964,0.1263748795518475,0.0293195806443691,197.56894132745617
0.3,40,25.490706225663992,1622.315980513486,1096.7337624443885,-3.658932561509498,periodic_fourier_energy_backward_difference,-3.69852648422114,-0.0034086703689825,41.15805867425947,6.16944434909672e-05,-3.22672568138227e-05,-0.0001039999323227,19.812527708960296,3.639254972573003e-05,-2.0511106851279344e-06,-9.980110448197472e-05,2.1883136482626287e-05,3.4758114764705506e-05,16104,0.0306655690073966,0.0715809985995292,0.0868830159306526,0.0925410911440849,0.0021027671173214,0.0031512775458395,0.0030227066017687,0.0040712170302867,0.0,0.0868830134536029,0.5706990893420211,0.969606933296412,0.0528315711829656,7.111552509527609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1746203417703509,0.0,0.1746203417703509,0.113009611356739,0.0306655690073966,206.63883557826307
0.375,50,25.306539094594783,1557.0070142986797,1065.5166036620706,-2.455561747589409,periodic_fourier_energy_backward_difference,-3.400709776181562,0.000274781903956,41.35678069551571,2.429533486421331e-05,-2.110237883456989e-05,-9.155787884651544e-05,19.814852999113096,4.676691299224124e-05,-7.190040554684128e-06,-3.235654308025499e-05,2.3767462448406684e-05,2.8251594310029145e-05,16104,0.0328003168106079,0.0746827647089958,0.0918732732534408,0.0981204733252525,0.0020302692428231,0.002987528219819,0.0029502084944397,0.0039074677042663,0.0,0.0918732726103517,0.5427298980308288,0.937273960486035,0.0612991139797227,7.36247795437032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1763418495655059,0.0,0.1763418495655059,0.111571920404053,0.0328003168106079,221.02375699297477
0.45,60,25.096546702452763,1482.7070426708992,1029.1988901149343,-2.799898561893646,periodic_fourier_energy_backward_difference,-3.06857324309114,-0.0005456685894649,41.49821484894488,-3.44022356219692e-06,-1.844033539022405e-05,-0.0001055331497772,19.82033917204991,6.028152972701781e-05,-7.39097996565736e-06,-2.0303867657350893e-05,2.9510604218124668e-05,3.618709428315834e-05,16104,0.0330192856490612,0.0775489956140518,0.0964662358164787,0.1035523563623428,0.0019107637926936,0.0029406491667032,0.0028307030443102,0.0038605884183198,0.0,0.0964662363156824,0.5151486198931476,1.09213530391567,0.0525582454434063,8.113929955766455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1783480989933014,0.0,0.1783480989933014,0.1123633015507282,0.0330192856490612,222.499270647882
0.525,70,25.265260043703307,1410.944669954028,991.7331489415532,-2.771881711635918,fourier_grid_transition_backward_difference,-2.8198198336928546,0.0001670305380688,41.43290053834029,-4.637664491773802e-05,-1.679475782179196e-05,-0.0001126421764681,19.822266634181783,7.577963830136189e-05,-7.794976086936126e-06,-4.777695699578098e-06,3.396408729573657e-05,3.7724317692342126e-05,16104,0.0338565297424793,0.0805054306983947,0.1006924510002136,0.108500100672245,0.0018320374656468,0.0027805040590465,0.0027519767172634,0.0037004433106631,0.0,0.1006924554833312,0.4964098855812147,1.1260348335704955,0.051154753167506,8.223664364642369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1580160525441169,0.0,0.1580160525441169,0.0973353348012026,0.0338565297424793,228.141009906559
0.6,80,25.06364554230956,1348.071934264792,957.7198154203476,-2.688193351916654,periodic_fourier_energy_backward_difference,-2.6144634445567574,0.0004923413208751,41.53228543581856,-9.31344861351928e-05,-2.661361035238841e-05,-0.0001529465310712,19.82346633806622,0.0001030656225579,-1.8356448822299996e-05,6.786967753245797e-06,4.9886183682418223e-05,6.395460105386085e-05,16104,0.0346375219523906,0.0833539068698883,0.104657657444477,0.1131620928645134,0.0017703212797641,0.0026293655391782,0.0026902607642114,0.0035493047907948,0.0,0.1046576553144179,0.4783917682610993,1.0829808675606791,0.0433721965310484,8.769898605989091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1506664654612541,0.0,0.1506664654612541,0.0983576102235412,0.0346375219523906,233.40369786818945
0.675,90,24.903642271839445,1293.5875050810168,928.723114993892,-2.133376939601512,periodic_fourier_energy_backward_difference,-2.426865075059899,-0.0005884383170383,41.67900570623112,-9.331401712164844e-05,-3.490762336388897e-05,-0.0001651894753105,19.822192580904243,0.0001113398673324,-2.405499930380376e-05,3.979223658794256e-05,6.156109543805624e-05,7.064449442287185e-05,16104,0.0343543104827404,0.0856474936008453,0.1083718761801719,0.1172884404659271,0.0016929833218455,0.002672319067642,0.0026129225734621,0.0035922583192586,0.0,0.1083718751456775,0.4640390667454842,1.2193097738601424,0.0462014127853359,9.006885585738619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1509413367672823,0.0,0.1509413367672823,0.0964625973708905,0.0343543104827404,231.49528754986716
0.75,100,24.740723057985303,1241.0506785023242,899.5686002239252,-2.172256184721847,periodic_fourier_energy_backward_difference,-2.261356240200683,-0.0005440040312055,41.64180094262393,-0.0001570963694956,-3.7740184224421824e-05,-0.0001796526800918,19.82502141604359,0.0001306495937733,-3.49187758964706e-05,7.65019496020436e-05,7.340139175576511e-05,8.554510331325875e-05,16104,0.0360872745513916,0.0883610099554061,0.1118725687265396,0.1213256493210792,0.0016270478954538,0.0025615920312702,0.0025469870306551,0.0034815312828868,0.0,0.1118725655772535,0.4480472467170122,1.330309695919733,0.0643305171799627,10.159907083532625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1416072276234626,0.0,0.1416072276234626,0.0879556100174692,0.0360872745513916,243.1728036970053
0.825,110,24.5738069546537,1186.1053384312409,868.5061035004327,-2.225548044421403,periodic_fourier_energy_backward_difference,-2.1407849620618973,-0.0034194100982865,41.544520442782066,-0.0001673334556639,-3.27768036170184e-05,-0.0001629165547822,19.823055957351368,0.000135581232045,-2.876857662678685e-05,3.700342577403614e-05,7.113869372347136e-05,7.443025110259254e-05,16104,0.0352681241929531,0.0912892818450927,0.1151990965008735,0.1247713714838028,0.0015669964486733,0.0024561104364693,0.0024869358167052,0.0033760496880859,0.0,0.1151990958443675,0.4334871814484825,1.1721133233306475,0.0583266979672802,10.13031641675159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1383528104424476,0.0,0.1383528104424476,0.0885999590049252,0.0352681241929531,237.65298842175577
