time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.45,60,25.215568450594247,1479.4559494376729,1134.762659468451,-3.0722569653269547,fourier_transition_viscous_rate,-3.0722569653269547,0.0010414506180254,41.29165010508804,0.0003894139520174,-3.695678103721178e-05,-4.673754315831502e-05,19.81728185442547,-6.108269239589811e-06,-1.3462527413629264e-05,-5.722216935396331e-05,1.0586934499419152e-05,2.6569961158176384e-05,27200,0.0184984821826219,0.0773625746369361,0.0965812504291534,0.104021705687046,0.0019362744642421,0.0030962293967604,0.0028562135994434,0.0040161688812077,0.0,0.0965812469145064,0.4118014670634751,0.8599669687311877,0.0707012543175759,7.3033824256548225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1718083772063255,0.0,0.1718083772063255,0.1097001100549855,0.0184984821826219,217.5732932442631
0.525,70,24.957616037105392,1401.2208915092374,1084.464426479507,-3.4393655131847343,periodic_fourier_energy_backward_difference,-2.819095623358133,0.0009968523288067,41.11410987474431,0.0003738618529744,-2.98187193292776e-05,-5.606721641804313e-05,19.81735107980582,-3.8727930271656625e-06,-1.0994839240055572e-05,-4.89755185611078e-05,9.458412923814036e-06,2.8179402935682493e-05,27200,0.0189374312758445,0.0801567956805229,0.1008252874016761,0.1089053824543953,0.0018332616891711,0.0028138826601207,0.0027532011736184,0.0037338219117373,0.0,0.100825276320581,0.3960264990142129,0.7873297713844271,0.030437904129764,6.7983937593660215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1594167977571487,0.0,0.1594167977571487,0.0994777906559052,0.0189374312758445,222.7360735651668
0.6,80,24.75951964429729,1340.369645435394,1046.3492089420686,-2.6412852374413864,periodic_fourier_energy_backward_difference,-2.6668121298421843,0.0013668329180598,41.26829432618579,0.0003810400177918,-3.476675103897264e-05,-6.395539121539784e-05,19.826122539228464,2.2207331459839618e-06,-1.5170396701754253e-05,-2.226127311374303e-05,1.448187613589187e-05,3.233968085165872e-05,27200,0.0190923735499382,0.0825081318616867,0.1047743931412696,0.1134019792079925,0.0017575793899595,0.0028955608140677,0.0026775188744068,0.0038155000656843,0.0,0.1047743913555956,0.3803885059015204,0.7225389645011001,0.0453278697998961,7.674396362508748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1515861944854259,0.0,0.1515861944854259,0.0955653044930007,0.0190923735499382,224.55845555870005
0.675,90,24.589065923426418,1285.2059805483984,1011.3844904475692,-2.2727162782782746,periodic_fourier_energy_backward_difference,-2.5039854358088727,0.0020869958687965,41.380964598299904,0.000491829603876,-3.4002736337690465e-05,-6.251312886673688e-05,19.82240951076468,3.879023833373079e-06,-1.927337252717331e-05,-2.469863017762264e-05,1.7698367382670573e-05,2.7049351201424934e-05,27200,0.0198078174144029,0.0851600617170333,0.1084782555699348,0.1173493564128875,0.0016830116510391,0.0026203948073089,0.0026029509026557,0.0035403340589255,0.0,0.1084782591045779,0.3676278748576734,0.6772282746111222,0.0464925158677942,7.9226210791196525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1569524815678596,0.0,0.1569524815678596,0.1012931225419406,0.0198078174144029,232.97327987705592
0.75,100,24.793020690424314,1228.8788762486631,974.3395116906496,-2.3283334375103486,fourier_grid_transition_backward_difference,-2.247300238164308,0.0007309651213937,41.23713663577669,0.0003573903675508,-2.16556925130007e-05,-4.787582732657114e-05,19.81904045506948,-4.389427339923059e-07,-1.444934268096063e-05,5.6600417084955434e-05,9.463172890656162e-06,2.2517994631836384e-05,27200,0.0205278508365154,0.087379865348339,0.1119613349437713,0.1212230250239372,0.0016157334903255,0.002477667061612,0.0025356728583574,0.0033976063132286,0.0,0.1119613373616491,0.3584116282339309,0.7358698165807883,0.0405644260435078,8.3124817289237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1430541113018989,0.0,0.1430541113018989,0.0915615596758062,0.0205278508365154,241.44208512001347
0.825,110,24.64393692483448,1183.1502156168551,943.3305143408892,-1.987783541197815,periodic_fourier_energy_backward_difference,-2.1285327651050507,0.0004798908503083,41.2642132432114,0.0003540134739168,-1.891661066011352e-05,-4.315497390727785e-05,19.81712466414827,-6.845357810747757e-07,-1.2156852170585687e-05,0.0001320952130051,9.02608528974315e-06,1.828840370702833e-05,27200,0.0205152202397584,0.0894107669591903,0.115269161760807,0.1248149275779724,0.0015709507279098,0.0024248927365988,0.0024908899795264,0.0033448319882154,0.0,0.1152691579311538,0.348121854858767,0.9102932718119712,0.0477248186104352,8.86291436890377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1394526904821395,0.0,0.1394526904821395,0.0868465110545603,0.0205152202397584,241.29352803814496
0.9,120,24.488616282463116,1136.4220113547474,911.1097939399727,-2.070941898284813,periodic_fourier_energy_backward_difference,-2.040449377529313,0.0015299324035946,41.31755108317939,0.0006616193284835,-1.1349556803708085e-05,-4.63071615719457e-05,19.823502718991403,2.5059218687786098e-06,-1.2396494634472315e-05,4.5855221310237653e-05,1.0359876926678766e-05,2.0865318853226436e-05,27200,0.0211097635328769,0.0913622602820396,0.1184147000312805,0.1283136010169983,0.0015007081674411,0.0024049771018326,0.0024206475354731,0.0033249163534492,0.0,0.1184147072353345,0.3400913628470383,1.0098205974033292,0.0460643821306273,9.398625954781949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1332976616173982,0.0,0.1332976616173982,0.0873262186155559,0.0211097635328769,248.28635809755377
0.975,130,24.35848453708344,1094.5593526373168,882.3536835636504,-1.735089938395666,periodic_fourier_energy_backward_difference,-1.877556435329235,0.0049734459527688,41.28715955711606,0.0009257195117663,-1.2864123126732352e-05,-5.587773659598838e-05,19.828732545599657,4.428525960710083e-06,-6.403371080134868e-06,2.9769482400666196e-05,5.28737729511646e-06,2.0269446343814975e-05,27200,0.0214220657944679,0.093415766954422,0.1213943287730217,0.1316383183002472,0.0014445560518652,0.0022851184476166,0.0023644955363124,0.0032050576992332,0.0,0.1213943236701957,0.3313086076035336,0.928545172121265,0.0448347150413614,10.758058543377343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1365147131681442,0.0,0.1365147131681442,0.0868735325358268,0.0214220657944679,251.95955846454433
1.05,140,24.264895321865804,1061.6020946189572,860.0858991536031,-1.247856202901828,periodic_fourier_energy_backward_difference,-1.746641669161342,0.0056404208520924,41.49941329544872,0.0009960714718584,-1.073751681879287e-05,-5.240085021140928e-05,19.828953458203006,5.911521155813247e-06,-3.5806290936084022e-06,0.000126968535705,4.794362837851315e-06,1.567792670603867e-05,27200,0.0216056387871503,0.0957642942667007,0.1242403611540794,0.1348609775304794,0.0013851415133103,0.0022431833203881,0.0023050808813422,0.0031631225720047,0.0,0.1242403618747587,0.3225545317756627,0.7778405135237516,0.0599263607823887,11.865489867324284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1267317849397659,0.0,0.1267317849397659,0.0796596036547935,0.0216056387871503,254.11868590939756
1.125,150,24.14765794617656,1027.3841665051016,837.011061831672,-1.5631650091899028,periodic_fourier_energy_backward_difference,-1.6704978967879551,0.0028393546137484,41.82792305707627,0.0008423460047452,-1.7305670622302927e-05,-4.34095649293198e-05,19.82605830191584,1.3204921314331992e-05,-4.369245789339504e-06,3.876394400692876e-05,6.728993693620668e-06,1.671323805693969e-05,27200,0.0215529706329107,0.0977794378995895,0.126953512430191,0.1377737075090408,0.0013348817592486,0.0022583703976124,0.0022548211272805,0.003178309649229,0.0,0.1269535064700004,0.31623971893191,0.6796622712102979,0.049965157851288,12.67181223945978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1277841299772262,0.0,0.1277841299772262,0.0815752731171445,0.0215529706329107,253.4992197470449
