time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0,0,26.748525361770863,1968.8629544101784,1581.8228618691726,-3.4871291275882723,fourier_transition_viscous_rate,-3.4871291275882723,2.5721636837682346e-17,39.47841768783538,0.0,0.0,0.0,19.822009217970788,9.754431420580524e-18,-1.662556268870741e-17,5.362150526422291e-27,-1.1830637477122403e-16,-2.7325866730072753e-18,68952,0.0050813904963433,0.0399999991059303,0.03999999538064,0.0399999991059303,0.001045441138558,0.0015740183880552,0.0020926387514919,0.0026212157681584,0.0,0.0399999991059303,0.9297389819416252,1.125484994508423,5.994739582908454e-07,0.0639575497605859,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,,,,
0.075,10,26.34455233539736,1812.0593172935055,1477.0380180786838,-5.386307018313422,periodic_fourier_energy_backward_difference,-3.593551641868382,1.420987398975181e-05,39.471209635253715,4.075446754812185e-06,-1.4448956047349163e-05,9.29120243178816e-06,19.822400437441885,-6.783981817058174e-06,1.0504533143275314e-05,-1.2878949409443291e-06,1.361062448539517e-05,-1.1718245574967773e-05,49522,0.0072571784257888,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0012644884409382,0.0020114951767027,0.0023116858210414,0.0030586926732212,0.0,0.0399999991059303,1.0307109994523729,1.3981511456238118,0.0075282972497784,0.176954435826969,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.2123226749897003,0.0,0.2123226749897003,0.1280469996345541,0.0072571784257888,113.39341318924208
0.15,20,26.08998446543565,1692.1707699419694,1394.0774976407554,-4.724810841708944,fourier_grid_transition_backward_difference,-3.242031043193578,8.815789576577403e-05,39.44431479861861,1.116431616314094e-05,-1.147324828290608e-05,2.5244021134247785e-05,19.82319838332949,-4.5617423325374104e-05,1.2266530818635624e-06,-2.3581946885859413e-06,1.937385454886019e-05,-3.395811040536732e-05,55703,0.006661640945822,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.001153744990006,0.001841171644628,0.0022009427193552,0.0028883691411465,0.0,0.0399999991059303,1.0340520282450307,1.990711738377262,0.0051977428871687,0.1717390826811268,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1917314220964908,0.0,0.1917314220964908,0.1160280836595628,0.006661640945822,104.08814004126604
0.225,30,25.773547395339552,1585.1046636975614,1321.0448815133273,-4.21916093461462,periodic_fourier_energy_backward_difference,-2.933557066485176,0.0001604871672669,39.39759042362503,1.3871710790339987e-05,8.596034978811118e-06,-4.5348631669273054e-08,19.82367701755501,-3.4156384979963134e-05,3.403107626622834e-05,-2.0926372000629823e-06,2.7405464461571335e-06,-4.2983847001669334e-06,61026,0.0063743712380528,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0010676828678697,0.001789616770111,0.0021148808300495,0.0028368141502141,0.0,0.0399999991059303,1.0346418819684593,3.841025482871799,0.0049260791361811,0.2042262150390436,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1844563508033752,0.0,0.1844563508033752,0.1121467716755685,0.0063743712380528,99.5995508460404
0.3,40,25.48929838575436,1493.2014427701736,1255.991150101469,-3.78998679446923,periodic_fourier_energy_backward_difference,-2.7152190144538033,0.0001780453322205,39.31888203896331,1.9241700544420895e-05,1.913158035807619e-05,-1.347626114552719e-05,19.824174487880885,-2.7429569358913868e-05,6.092471089979993e-05,-3.4205081992436015e-06,-1.6786257438058987e-06,3.7641246786915753e-06,66623,0.0059321112930774,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0009939152514562,0.0016966459807008,0.0020411126315593,0.0027438434772193,0.0,0.0399999991059303,1.037952680437618,4.891961815797754,0.0052974701280863,0.198769894868655,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1769486778974533,0.0,0.1769486778974533,0.1064751070438324,0.0059321112930774,92.68923918835328
0.375,50,25.230110019348245,1413.4785770115652,1197.8998128710125,-3.455844885414857,periodic_fourier_energy_backward_difference,-2.5406844960819734,0.0001745862254152,39.22317466065918,1.909330701153314e-05,2.2846917429417135e-05,-1.5169557611945106e-05,19.82463939791744,-1.7841751094111905e-05,6.94635745879281e-05,-3.3748276393575253e-06,8.001944069000797e-06,-4.612437182547153e-06,71434,0.0057262717746198,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0009339759126305,0.0016312026418745,0.0019811731763184,0.002678400138393,0.0,0.0399999991059303,1.0432056531836058,5.810378137335397,0.0101261512403972,0.2013549303176593,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1695197510719299,0.0,0.1695197510719299,0.1024148813574723,0.0057262717746198,89.47299670433225
0.45,60,24.988940400495355,1340.9934941202623,1144.742602995291,-3.215594918038533,periodic_fourier_energy_backward_difference,-2.3782054310498384,0.0002003094886741,39.105845625945534,2.008568998034671e-05,2.790060258058176e-05,-1.657886667674746e-05,19.82511878478915,-5.242777917275415e-06,8.682878291866865e-05,-4.033893025134653e-06,1.4384011597598722e-05,-8.76513788084214e-06,76053,0.0053418423049151,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0008823564858175,0.0015700524672865,0.0019295539241284,0.002617249963805,0.0,0.0399999991059303,1.0488854697137897,6.369189688820587,0.0090722083967087,0.1704187666282642,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1640503393113613,0.0,0.1640503393113613,0.0986549028511318,0.0053418423049151,83.46628622503195
0.525,70,24.81992107099285,1280.3936868064134,1098.4843129241942,-3.021516734509314,fourier_grid_transition_backward_difference,-2.237949205715849,0.0002522903363817,38.96223841676147,3.142082835753176e-05,3.8393343300018035e-05,-1.656773433475478e-05,19.825236345720217,-1.57593064994518e-06,9.035482535546564e-05,-8.572822721148742e-06,4.5461635789380545e-05,-2.402027794348524e-05,80243,0.00537880230695,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0008385553956031,0.0015039285644888,0.0018857528921216,0.0025511260610073,0.0,0.0399999991059303,1.0466347588055958,7.053157828764391,0.0099576538135119,0.1751278022368437,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1574332178011536,0.0,0.1574332178011536,0.0950367467710159,0.00537880230695,84.04378625828535
0.6,80,24.609026303110554,1218.3518711972376,1052.1017484989004,-2.81193023843064,periodic_fourier_energy_backward_difference,-2.109369070714889,0.0002645469253418,38.793803730539906,3.0022063720813556e-05,4.442646016705222e-05,-3.249782919508004e-05,19.82543643958718,1.4282425717946596e-05,8.181770595721366e-05,-1.052509593016941e-05,7.030689808320406e-05,-1.2038593579548094e-05,84747,0.0050540729425847,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0007996211061254,0.0014799193013459,0.0018468187190592,0.0025271167978644,0.0,0.0399999991059303,1.04509305771679,7.60823357674593,0.0043374070486192,0.1580605399519167,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1542856746912002,0.0,0.1542856746912002,0.0927816259933572,0.0050540729425847,78.96988992726658
0.675,90,24.42258061076905,1170.1873858459744,1013.5748730630592,-2.485942564553433,periodic_fourier_energy_backward_difference,-2.0069886632901666,0.0002084645904934,38.59776068470944,2.9122708634146144e-05,9.307971190503778e-05,-4.369798055137153e-05,19.825626101623428,3.703086524472794e-05,0.0001234835443233,-1.2830712329815682e-05,2.743713773366772e-05,1.117836668403236e-05,88985,0.0049093570560216,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0007637662929482,0.0014426507987082,0.0018109638476744,0.0024898482952266,0.0,0.0399999991059303,1.0512332239305646,7.936438463740218,0.0061856641489324,0.192824051679857,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1498617175966501,0.0,0.1498617175966501,0.0903209856183889,0.0049093570560216,76.70870419400977
0.75,100,24.240398884304128,1120.453305831713,974.7123193406724,-2.429089686198913,periodic_fourier_energy_backward_difference,-1.9060735832435236,0.0002129335389448,38.37309465492882,2.8920870322770657e-05,0.0001225846186106,-5.8034936852156827e-05,19.825680422831635,5.446884578243468e-05,0.0001509657700094,-1.4006099742217337e-05,1.4733636320616173e-05,1.9716650050136372e-05,92995,0.0047136475332081,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0007300882134586,0.0013959108619019,0.0017772859428077,0.0024431082420051,0.0,0.0399999991059303,1.0475804030735982,7.9699413173554206,0.0061678813621194,0.1946373033655994,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1458909496665001,0.0,0.1458909496665001,0.0871817280655348,0.0047136475332081,73.65074289232732
0.825,110,24.068168662316356,1073.8578902175616,937.908604445246,-2.29640295983695,periodic_fourier_energy_backward_difference,-1.8124797875230996,0.000305674247558,38.121152308052054,2.9827096666502125e-05,0.0001297473742379,-5.697493552339616e-05,19.82591054933383,5.1893439554799527e-05,0.0001443367469851,-1.357804366470803e-05,4.183243626893445e-05,1.5746759678010442e-06,95927,0.0046115648001432,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0006967709050513,0.0013725920580327,0.0017439685761928,0.0024197895545512,0.0,0.0399999991059303,1.0420546254699052,7.96994114999948,0.0056390832153172,0.1839530101175032,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1395430585741996,0.0,0.1395430585741996,0.0854741514532903,0.0046115648001432,72.05570018416131
0.9,120,23.908753055871983,1032.9516419314712,904.7048147319624,-2.125541419258305,periodic_fourier_energy_backward_difference,-1.7259778182964107,0.0004963688610361,37.848065195014264,3.152519389203949e-05,0.0001421522914473,-4.910636232924315e-05,19.826110370142153,3.759365584032927e-05,0.0001466064358964,-1.1623329720200424e-05,5.774159179344409e-05,-3.702761305312089e-05,98148,0.0045243022032082,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0006656676996499,0.0013343133032321,0.0017128651961684,0.0023815107997506,0.0,0.0399999991059303,1.0396744449670678,8.035963682372818,0.0110317492146036,0.204575904773601,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1334147036075592,0.0,0.1334147036075592,0.0824474061564053,0.0045243022032082,70.69222210360896
