time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0,0,26.748525361770863,1968.8629544101784,1581.8228618691726,-3.4871291275882723,fourier_transition_viscous_rate,-3.4871291275882723,2.5721636837682346e-17,39.47841768783538,0.0,0.0,0.0,19.822009217970788,9.754431420580524e-18,-1.662556268870741e-17,5.362150526422291e-27,-1.1830637477122403e-16,-2.7325866730072753e-18,68952,0.0050813904963433,0.0399999991059303,0.03999999538064,0.0399999991059303,0.001045441138558,0.0015740183880552,0.0020926387514919,0.0026212157681584,0.0,0.0399999991059303,0.9297389819416252,1.125484994508423,5.994739582908454e-07,0.0639575497605859,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,,,,
0.075,10,26.344545569286613,1812.0581991740587,1477.0371861735498,-5.386397233123385,periodic_fourier_energy_backward_difference,-3.593548980406616,1.511182887295797e-05,39.47120566683901,4.129258296128932e-06,-1.459623745182076e-05,9.57787325703513e-06,19.822399212525205,-6.602968806141575e-06,1.1149885816354388e-05,-1.385874488338578e-06,1.3676612642961048e-05,-1.1844802432657227e-05,49522,0.0072570173069834,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.001264487975277,0.0020114921499043,0.0023116853553801,0.0030586896464228,0.0,0.0399999991059303,1.0307109994523729,1.3981511456238118,0.0075283696969703,0.1760614169567208,10,0,0.0,0.0,Pedrizzetti relaxation,5.174596440754136e-10,-1.4303427557479093e-08,-1.1226900877891194e-08,1.2247170590063753e-08,0.2123221895098686,0.0,0.2123221895098686,0.1280465470758803,0.0072570173069834,113.39089570790122
0.15,20,26.089963388270416,1692.1617485351371,1394.0718840273746,-4.724999010723442,fourier_grid_transition_backward_difference,-3.2419965562782167,7.329737360529487e-05,39.444274604666546,1.1376570122413344e-05,-1.4072344681703708e-05,2.590175810970874e-05,19.823200781789968,-4.1445877766388864e-05,3.433409587095887e-06,-2.5420271119832347e-06,2.061695128794823e-05,-3.2359280734735303e-05,55694,0.0066608847118914,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0011538270628079,0.0018411588389426,0.0022010244429111,0.0028883563354611,0.0,0.0399999991059303,1.0304388960139708,1.990711738377262,0.0052245015141561,0.1890459838267428,20,0,0.0,0.0,Pedrizzetti relaxation,4.941873701697265e-10,-6.597356919351306e-07,-3.7207520297815926e-11,1.2247170590063753e-08,0.1917204907536506,0.0,0.1917204907536506,0.1160215264499946,0.0066608847118914,104.07632388607078
0.225,30,25.773430030813344,1585.104117392174,1321.0409748295876,-4.220444766094288,periodic_fourier_energy_backward_difference,-2.9336058999797014,0.0001310283622626,39.397143386435246,1.4376131740493705e-05,1.948011454123988e-06,5.5575629726231646e-06,19.82366663074251,-2.8123689515316508e-05,3.47888397341798e-05,-2.5597548516856933e-06,4.017064454230007e-06,-7.107395533267428e-06,60994,0.0063743200153112,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0010678840335458,0.0017895509954541,0.0021150817628949,0.0028367484919726,0.0,0.0399999991059303,1.0400554880244433,3.841025482871799,0.0056450930129594,0.2242781087666184,30,0,0.0,0.0,Pedrizzetti relaxation,4.5318096721130037e-10,-2.5104282656444024e-06,-1.4924282627416438e-07,1.2247170590063753e-08,0.1844444847106933,0.0,0.1844444847106933,0.1121430598990416,0.0063743200153112,99.5987504907008
0.3,40,25.48903433445844,1493.180193159786,1255.971975450732,-3.791942618065369,periodic_fourier_energy_backward_difference,-2.7152023472413886,0.000118059523747,39.31814526475189,2.0314030664201225e-05,1.0519827456062504e-05,-8.882363253220893e-06,19.824141046819992,-1.721347161347087e-05,6.553631767152373e-05,-4.469183996371444e-06,-1.5842992143918892e-06,1.4425596729241794e-06,66530,0.0059322076849639,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0009943806799128,0.0016965025570243,0.0020415782928466,0.0027437000535428,0.0,0.0399999991059303,1.0417625891512343,4.63779805276153,0.0075334883344524,0.1861894350574543,40,0,0.0,0.0,Pedrizzetti relaxation,4.543349042905802e-10,-1.6161440374665778e-06,-7.848586490307622e-08,1.2247170590063753e-08,0.176942375600338,0.0,0.176942375600338,0.1064667836543441,0.0059322076849639,92.69074531158324
0.375,50,25.22966000848328,1413.4404165142532,1197.8672666941322,-3.458324346335454,periodic_fourier_energy_backward_difference,-2.540646359488915,0.0001248056981753,39.22242735283342,2.1014210036097644e-05,8.863031985079095e-06,-9.412795278496144e-06,19.824532419642356,-1.153760698661124e-05,8.54095638814026e-05,-4.522974356626152e-06,3.639128261431025e-06,-1.0026482608709918e-05,71335,0.0057267830707132,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0009345724247395,0.0016310464125126,0.001981769921258,0.0026782439090311,0.0,0.0399999991059303,1.0435302801475306,5.396558037354197,0.004403164914467,0.1860427191758284,50,0,0.0,0.0,Pedrizzetti relaxation,3.9544269647334055e-10,-1.0136521816281029e-06,-8.174318233136231e-08,1.2247170590063753e-08,0.1695189633965492,0.0,0.1695189633965492,0.102406860078157,0.0057267830707132,89.4809857058128
0.45,60,24.988492636735693,1340.9608864563072,1144.714974250217,-3.215564956634532,periodic_fourier_energy_backward_difference,-2.3781454642312765,0.0001696262086107,39.10519732541442,2.0469858802892363e-05,-9.670659024609007e-06,-2.0764002549869542e-05,19.825003542136105,8.694258009350526e-06,7.330277485173628e-05,-3.1989095745739857e-06,4.0154903506735474e-05,-2.478856559367804e-06,75978,0.0053429719991981,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0008826204575598,0.0015663050580769,0.0019298178376629,0.0026135025545954,0.0,0.0399999991059303,1.0593962479940453,6.064068144138704,0.0108590330302091,0.1840273318836282,60,0,0.0,0.0,Pedrizzetti relaxation,9.53194052108177e-10,-6.661312846409725e-07,-8.581738406025383e-08,1.2247170590063753e-08,0.1639818665385246,0.0,0.1639818665385246,0.0984489956968068,0.0053429719991981,83.48393769824852
0.525,70,24.819526422958425,1280.3700544068065,1098.463474026585,-3.0207965603877556,fourier_grid_transition_backward_difference,-2.2378364170286806,6.510457911428878e-05,38.96161911990071,2.6889536847821832e-05,4.058052161637349e-06,-8.875089096260086e-06,19.825119155090988,1.933474522110375e-05,7.293033236499434e-05,-7.196079127910218e-06,7.564421398827034e-05,-2.57334259184125e-05,80168,0.0053786463104188,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0008389786235056,0.0015045853797346,0.0018861761782318,0.0025517828762531,0.0,0.0399999991059303,1.047963636790631,6.959060806089075,0.0054800134801446,0.1790170945303217,70,0,0.0,0.0,Pedrizzetti relaxation,4.1479146588650377e-10,-4.2061580186894683e-07,6.862936073225894e-11,1.2247170590063753e-08,0.1574578209221363,0.0,0.1574578209221363,0.094954420605735,0.0053786463104188,84.04134881247845
0.6,80,24.608780684541543,1218.3419073899177,1052.0918805407275,-2.809943178891768,periodic_fourier_energy_backward_difference,-2.1091181475490535,-6.5799211133031e-05,38.793492153043296,2.266160339320494e-05,3.4270133209321485e-05,-1.045679458003268e-05,19.82538559328319,1.6022056697819305e-05,9.77373783786213e-05,-6.981238985926479e-06,6.390071519666271e-05,-4.9675092775064806e-05,84674,0.0050464658997952,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0007999998051673,0.0014805996324867,0.0018471971852704,0.0025277971290051,0.0,0.0399999991059303,1.0589227607979312,7.912144215141663,0.0068997137885766,0.1726118971743235,80,0,0.0,0.0,Pedrizzetti relaxation,6.778492320587721e-10,-3.255632078579683e-07,1.1803189942667107e-11,1.2247170590063753e-08,0.1543612611293792,0.0,0.1543612611293792,0.0927968315871987,0.0050464658997952,78.85102988338117
0.675,90,24.422175229739693,1170.1644184378997,1013.5549805881562,-2.4880727306913264,periodic_fourier_energy_backward_difference,-2.006804797620742,-0.000209365608202,38.597286375427,2.1876214382543068e-05,6.710276541907825e-05,-1.0007440067572038e-05,19.825477611312213,2.634132316617396e-05,0.0001257131958724,-6.8102220841501185e-06,4.9294139539398454e-05,-4.0519913946211913e-05,88944,0.0049069649539887,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0007640794501639,0.0014424266992136,0.0018112767720595,0.0024896240793168,0.0,0.0399999991059303,1.051754214576148,8.257632014951938,0.0093630451442297,0.1789015489278713,90,0,0.0,0.0,Pedrizzetti relaxation,1.5227544200559447e-09,-2.698069980443541e-07,-1.332352902240066e-10,1.2247170590063753e-08,0.149906226620078,0.0,0.149906226620078,0.090307846358639,0.0049069649539887,76.67132759965135
