time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0,0,26.748525361770863,1968.8629544101784,1581.8228618691726,-3.4871291275882723,fourier_transition_viscous_rate,-3.4871291275882723,2.5721636837682346e-17,39.47841768783538,0.0,0.0,0.0,19.822009217970788,9.754431420580524e-18,-1.662556268870741e-17,5.362150526422291e-27,-1.1830637477122403e-16,-2.7325866730072753e-18,68952,0.0050813904963433,0.0399999991059303,0.03999999538064,0.0399999991059303,0.001045441138558,0.0015740183880552,0.0020926387514919,0.0026212157681584,0.0,0.0399999991059303,0.9297389819416252,1.125484994508423,5.994739582908454e-07,0.0639575497605859,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,,,,
0.075,10,26.34455256036323,1812.0593653203448,1477.038048298286,-5.38630401876849,periodic_fourier_energy_backward_difference,-3.5935518795868635,1.3915549467628498e-05,39.47120976014197,4.113420194720184e-06,-1.4412118018492652e-05,9.35988372850749e-06,19.822400502432764,-6.7707580275764355e-06,1.05094026102195e-05,-1.3152252828347073e-06,1.3596020827240768e-05,-1.1725415276611298e-05,49522,0.00725719332695,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0012644883245229,0.0020114963408559,0.0023116858210414,0.0030586938373744,0.0,0.0399999991059303,1.0307109994523729,1.3981511456238118,0.0075282217322216,0.1769545349937189,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.2123227107524871,0.0,0.2123227107524871,0.1280469820590115,0.00725719332695,113.39364601988632
0.15,20,26.089982210276684,1692.1660761856444,1394.0749334174611,-4.724842123439288,fourier_grid_transition_backward_difference,-3.2420074549766977,8.447263947332072e-05,39.44432278159489,1.135949915094185e-05,-1.1335519801137369e-05,2.540214961269105e-05,19.823201964656203,-4.643591714760279e-05,1.1730715327804027e-06,-2.370581923247073e-06,1.902359586917495e-05,-3.3586445644250445e-05,55707,0.0066616530530154,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0011537425452843,0.0018411605851724,0.0022009401582181,0.0028883581981062,0.0,0.0399999991059303,1.036964509272342,2.23229309161049,0.0050814256265098,0.1824217032815768,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1917296093702316,0.0,0.1917296093702316,0.1160271455955955,0.0066616530530154,104.0883292161645
0.225,30,25.773485052809903,1585.0894274937211,1321.0346993477888,-4.219962099557079,periodic_fourier_energy_backward_difference,-2.9335138114841515,0.0001516110617052,39.39753126543172,1.3680051826578542e-05,7.060837579748319e-06,2.261410066334551e-06,19.823662999504315,-3.6976096190244375e-05,3.4881554662646745e-05,-2.03926778701429e-06,-2.5153184081562138e-06,-6.303794322472511e-06,61055,0.0063744219951331,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0010674047516658,0.001789569389075,0.0021146018989384,0.0028367668855935,0.0,0.0399999991059303,1.0359565886881148,3.7547662728461337,0.0044312950111897,0.2089706737396005,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1844560575485229,0.0,0.1844560575485229,0.1121439595835668,0.0063744219951331,99.60034392542237
0.3,40,25.489214037949917,1493.1783514375577,1255.9758850978856,-3.7902801981331424,periodic_fourier_energy_backward_difference,-2.7151586418438214,0.0001463916913015,39.31884270749716,1.5296973844095815e-05,1.444189522513753e-05,-1.0263153536575751e-05,19.824158514471662,-2.7180915915773937e-05,6.078841991356783e-05,-1.9746411799161916e-06,-6.121881782182555e-06,2.3521011663729817e-06,66647,0.0059310453943908,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0009936826536431,0.0016966927796602,0.002040880266577,0.0027438902761787,0.0,0.0399999991059303,1.0368012082383955,4.899346386821502,0.0075381438848841,0.2029185825231173,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1769549292325973,0.0,0.1769549292325973,0.1064777848646578,0.0059310453943908,92.67258452133235
0.375,50,25.22996475264656,1413.4483953200606,1197.8792568169226,-3.4566571373781105,periodic_fourier_energy_backward_difference,-2.540597024053375,0.0001833669790895,39.22317385371363,1.605251408820163e-05,1.5010396389410208e-05,-1.1798958273523397e-05,19.824604306509247,-2.2158556538375877e-05,8.208556347772293e-05,-1.74573057317277e-06,-1.988819748246422e-06,-3.54315366429209e-06,71458,0.0057245371863245,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0009337208466604,0.001631211140193,0.0019809182267636,0.0026784087531268,0.0,0.0399999991059303,1.0435935801564251,5.749924132122485,0.0118929556389562,0.1682687129507661,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1695328965783119,0.0,0.1695328965783119,0.1024156696762097,0.0057245371863245,89.44589376215099
0.45,60,24.98882591750438,1340.9699087634658,1144.7265447958216,-3.2151844685624074,periodic_fourier_energy_backward_difference,-2.3781417288220568,0.000166653805337,39.10597886589105,1.539549373633293e-05,1.8240316399329576e-05,-1.345321530524593e-05,19.82509241789699,-6.850384400585859e-06,8.47437415542203e-05,-7.964378573675217e-07,1.709785867651142e-05,-5.981255550009567e-06,76141,0.0053406190127134,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0008820472285151,0.0015700650401413,0.0019292447250336,0.0026172625366598,0.0,0.0399999991059303,1.0426583313305318,6.527989217967197,0.0048905291688405,0.1672305007095236,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1640470504760742,0.0,0.1640470504760742,0.0986551628501066,0.0053406190127134,83.44717228433123
0.525,70,24.81978775687188,1280.367627194151,1098.4662372606297,-3.021758868255896,fourier_grid_transition_backward_difference,-2.237742439676817,0.0001636687443403,38.96228533329283,2.5303963516230083e-05,3.265787731676628e-05,-1.973674996405897e-05,19.825206462938343,4.4543255541021674e-06,8.6763486920353e-05,-3.559329535828449e-06,4.488231470244112e-05,-1.16174656142323e-05,80329,0.0053778449073433,0.0399999991059303,0.0399999879300594,0.0399999991059303,0.0008382377563975,0.0015044528990983,0.0018854351947084,0.0025516503956168,0.0,0.0399999991059303,1.0470717105092389,6.6471924581161295,0.0060860290198978,0.1809369199810678,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1575480154529213,0.0,0.1575480154529213,0.0948959674077323,0.0053778449073433,84.02882688939283
0.6,80,24.60898151513648,1218.3441710574157,1052.0965331717596,-2.810749889805305,periodic_fourier_energy_backward_difference,-2.109519944293728,0.0002932708665686,38.79393351360995,2.683043053398936e-05,6.370218183984755e-05,-2.794529969760151e-05,19.82543967658993,1.0536232188610924e-05,0.000103148646657,-3.1422039699077716e-06,3.591448612380959e-05,-6.2079882973917315e-06,84912,0.0050478093326091,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0007988198776729,0.0014814084861427,0.0018460173159837,0.0025286059826612,0.0,0.0399999991059303,1.0493983647905636,7.087380802771705,0.0064371012518701,0.1713533553885066,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1547167870402336,0.0,0.1547167870402336,0.0928601900380589,0.0050478093326091,78.8720210211511
0.675,90,24.422553497251897,1170.1845290749268,1013.5726447243084,-2.4857069051277825,periodic_fourier_energy_backward_difference,-2.006949349848613,0.000481955485403,38.597822900968225,2.840830077303208e-05,9.504623237761509e-05,-3.4121680254309283e-05,19.82563949618289,2.879850134609761e-05,0.0001385153007195,-3.69744030951909e-06,1.1210816387249738e-05,7.769900157213372e-06,89123,0.0049074734561145,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0007632210035808,0.001442166394554,0.0018104185583069,0.0024893637746572,0.0,0.0399999991059303,1.0446777594981074,7.4194865640984276,0.004065508233829,0.1901021968940481,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1498084739595651,0.0,0.1498084739595651,0.0902924337256178,0.0049074734561145,76.67927294538609
0.75,100,24.240414492965805,1120.4585178813052,974.7160268102422,-2.4285200571479035,periodic_fourier_energy_backward_difference,-1.9061604811175143,0.0005670864814446,38.3732324715274,3.0331522217540456e-05,0.0001215839024475,-5.283726296817504e-05,19.825705986584794,5.4506554005871536e-05,0.0001690665588892,-5.543602606168811e-06,-3.867457732078109e-06,3.0894702360848795e-05,93138,0.0047151558101177,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0007293946109712,0.0013944411184638,0.0017765921074897,0.0024416386149823,0.0,0.0399999991059303,1.0471435510151248,7.4194865640984276,0.0060815184702275,0.1745896802338974,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1463044792413711,0.0,0.1463044792413711,0.0872328582325373,0.0047151558101177,73.67430971909916
0.825,110,24.068235117073783,1073.8780426651465,937.923936661542,-2.295725011893619,periodic_fourier_energy_backward_difference,-1.8125798795366337,0.0005887869044913,38.12130895897057,3.204213284469708e-05,0.0001371960092505,-4.753179682071007e-05,19.82595336713644,5.180661564777253e-05,0.0001744134139264,-7.505363598069446e-06,2.3258082550109052e-05,2.3233171059496215e-05,96147,0.0046102474443614,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0006961146718822,0.0013736058026552,0.001743312110193,0.0024208032991737,0.0,0.0399999991059303,1.0455015929367732,7.805375776515763,0.0047510075618852,0.1853413708824901,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1395005916059017,0.0,0.1395005916059017,0.0855335768731769,0.0046102474443614,72.03511650001882
0.9,120,23.90872002434228,1032.9545343660222,904.7077864216836,-2.1268679030867075,periodic_fourier_energy_backward_difference,-1.7256868289461331,0.0005742627165708,37.8481619971117,3.4891462155761145e-05,0.0001617658278765,-5.710224940691164e-05,19.826148240690955,5.587264612820373e-05,0.000183948238493,-8.102331683933585e-06,3.749204673666277e-05,1.3666792779125288e-05,98375,0.0045239687897264,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0006647192058153,0.0013328780187293,0.0017119166441261,0.0023800753988325,0.0,0.0399999991059303,1.055970190488052,7.805375776515763,0.0086007076695846,0.217148893800943,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1337226274609565,0.0,0.1337226274609565,0.0824088701906878,0.0045239687897264,70.68701251794404
0.975,130,23.757647386834883,995.2882397729504,873.8643734566573,-2.0143018334319636,periodic_fourier_energy_backward_difference,-1.6396005275781025,0.0006190894193145,37.57022906433145,3.634345826784456e-05,0.0001678958857447,-5.889982999006567e-05,19.82633316696405,4.803594814933967e-05,0.0001755991681929,-7.431984221284746e-06,8.174872634849557e-05,-1.490879243822739e-05,100403,0.0044580716639757,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0006350998301059,0.0012921033194288,0.0016822973266243,0.002339300699532,0.0,0.0399999991059303,1.0533483310481704,7.8053762639130655,0.0066418101678135,0.1932387930529762,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1242186284065246,0.0,0.1242186284065246,0.080003281207341,0.0044580716639757,69.65736992548851
1.05,140,23.614432776128695,960.928976742876,845.8347046573373,-1.9095281427491748,periodic_fourier_energy_backward_difference,-1.5534753700446209,0.0007992237096622,37.318851763258934,3.628244636014795e-05,0.0001686334582087,-5.994394064182118e-05,19.826593260360976,3.6877867481103504e-05,0.000160924570548,-7.830614239441929e-06,0.0001393374009535,-5.154826228216577e-05,102150,0.0043067941442132,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0006092511466704,0.0012546959333121,0.0016564485849812,0.0023018934298306,0.0,0.0399999991059303,1.050610196431944,7.8053762639130655,0.007852932707976,0.2373450547125871,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1284574399888515,0.0,0.1284574399888515,0.0767306772209642,0.0043067941442132,67.2936586732314
1.125,150,23.47651834369887,929.596380729404,820.7240392825787,-1.8388590990643188,periodic_fourier_energy_backward_difference,-1.4745912686051394,0.0010645272543365,37.13831993181039,3.573252833656191e-05,0.0001610331644535,-3.034677138078097e-05,19.826800453016023,-2.2581341845622643e-05,0.0001344830750999,-1.5805677844922586e-05,0.0002090054540751,-0.0001632368314781,103839,0.0041188136674463,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0005875477218069,0.0012301108799874,0.001634745276533,0.0022773083765059,0.0,0.0399999991059303,1.044305176365324,7.805375988024637,0.0071445456260954,0.2189233094978486,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1249794995784759,0.0,0.1249794995784759,0.0732477333305939,0.0041188136674463,64.35646371633406
1.2,160,23.37601438517127,901.5584249826404,798.6132724047558,-1.778509339232529,fourier_grid_transition_backward_difference,-1.4166662864159232,0.0013161083094175,37.07546210140603,3.572381931542918e-05,0.0001330353545386,1.90756302510392e-05,19.827140765725883,-0.0001208474653852,6.342435803242453e-05,-3.401749511530827e-05,0.0003561869647518,-0.0003399115897099,105995,0.0039620343595743,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0005701372865587,0.0012171139242127,0.0016173347830772,0.0022643115371465,0.0,0.0399999991059303,1.0481817413802696,7.805375894869031,0.0092087474555561,0.2474784759193619,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1229461160302162,0.0,0.1229461160302162,0.072360098522925,0.0039620343595743,61.90678702464833
1.275,170,23.249339556090547,879.972344738315,780.8953753341424,-1.6889977210763154,periodic_fourier_energy_backward_difference,-1.3978941245076362,0.0014140792556387,37.158696392649446,3.215543061122137e-05,0.0001111807143993,3.603218952183407e-05,19.827746833289908,-0.0002008456638847,-2.9699773345566945e-05,-5.833198933454578e-05,0.0005583096765311,-0.0004871139789131,108230,0.0038313036784529,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.000558660714887,0.0012013153173029,0.0016058582114055,0.0022485128138214,0.0,0.0399999991059303,1.0451915368168674,7.805375894869031,0.0088110576928566,0.2575038334203715,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1226600039005279,0.0,0.1226600039005279,0.0732548675077303,0.0038313036784529,59.86412012697001
1.35,180,23.1276877780101,862.3415165616807,765.7515841281138,-1.6220237077393032,periodic_fourier_energy_backward_difference,-1.3992371968273074,0.0013583138541909,37.36855514490301,2.975236152440554e-05,0.0001075327271935,3.704282428014516e-05,19.82813173822566,-0.0002623662783177,-0.0001078727958714,-8.372826549334277e-05,0.000749194423228,-0.0006092532858152,111374,0.0036742950323969,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0005467977607622,0.0011869847076013,0.0015939952572807,0.0022341823205351,0.0,0.0399999991059303,1.043068177848349,7.805375894869031,0.0130308323057573,0.2896004740079885,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.110332099115476,0.0,0.110332099115476,0.0731154717880501,0.0036742950323969,57.410860026150246
1.425,190,23.010010953158183,846.1524264528306,751.7011274407746,-1.5690243313588337,periodic_fourier_energy_backward_difference,-1.3962929463468456,0.0012333087748794,37.66661762762203,2.9312191242129317e-05,9.701643477435032e-05,4.626771506800742e-05,19.828431315157864,-0.0003174548783149,-0.0001843449574119,-0.0001046911651309,0.0009504169222786,-0.0007281219841412,114861,0.0035021894145756,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.000534359132871,0.0012160395272076,0.0015815566293895,0.0022632370237261,0.0,0.0399999991059303,1.0422327225521155,8.119400437293228,0.009248768252852,0.3552926029674127,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1081268233805894,0.0,0.1081268233805894,0.0729090403752697,0.0035021894145756,54.72170974090429
1.5,200,22.89719841956753,830.7588963653374,738.8348084459684,-1.5041671145420812,periodic_fourier_energy_backward_difference,-1.377552757983858,0.0010510879936851,37.99814606041039,2.6458979727227985e-05,7.978176622213534e-05,6.794498245592945e-05,19.82860004104977,-0.000381593481936,-0.0002628508745212,-0.00012388851077,0.0011637313624647,-0.0008655914421762,118977,0.0034096280578523,0.0399999991059303,0.0399999916553497,0.0399999991059303,0.0005202424363233,0.0012405497254803,0.0015674398746341,0.0022877473384141,0.0,0.0399999991059303,1.0430720323930327,8.11940087215059,0.0135788600095877,0.4043641602222106,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1120050010085105,0.0,0.1120050010085105,0.075057820224508,0.0034096280578523,53.275438538451105
1.575,210,22.78621574813758,814.1802886669498,726.097645921441,-1.479768952399355,periodic_fourier_energy_backward_difference,-1.3395823637141608,0.0008663846385042,38.30754946373461,2.639784800858219e-05,6.834679875758823e-05,7.657799146637556e-05,19.828623887736956,-0.0004336003839654,-0.0003439917548051,-0.0001447744218158,0.0013788668762185,-0.0009759110954966,123582,0.0032058348879218,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0005073475767858,0.0012301361421123,0.0015545450150966,0.0022773337550461,0.0,0.0399999991059303,1.043685063921436,8.119400652086163,0.0156541245159473,0.5111581040366786,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1176777033135294,0.0,0.1176777033135294,0.0753052532764756,0.0032058348879218,50.09117025024633
1.65,220,22.69304114308206,798.3070542886292,714.3856704547072,-1.424509254148869,fourier_grid_transition_backward_difference,-1.291393723858186,0.0007574461651533,38.567575853999074,2.428082764575792e-05,5.073272910065263e-05,9.062550037001496e-05,19.828631060191736,-0.0004896126752541,-0.0004256229405169,-0.000164537509849,0.0016260253048439,-0.001129253607524,129375,0.0030877643730491,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0004953099414706,0.001191436080262,0.0015425074379891,0.0022386335767805,0.0,0.0399999991059303,1.0519031746304903,8.119400652086163,0.0103555247289731,0.5409126899857781,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1169094078987836,0.0,0.1169094078987836,0.0735569570610883,0.0030877643730491,48.24631845070306
1.725,230,22.589324084752125,783.0556897112041,703.2594270010059,-1.382894111065787,periodic_fourier_energy_backward_difference,-1.2421113688491323,0.0007891950048851,38.77583939267808,2.375441562291452e-05,5.211696037181989e-05,9.72513900563013e-05,19.828676757188923,-0.000533921770255,-0.0004988991527668,-0.0001814788237677,0.0018819731971733,-0.0012680471224096,134740,0.0029486729763448,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0004845059011131,0.0011719411704689,0.0015317033976316,0.0022191386669874,0.0,0.0399999991059303,1.0556388385270066,8.119400341025749,0.0148569885371332,0.412027794099561,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.115076794847846,0.0,0.115076794847846,0.0721847286020535,0.0029486729763448,46.07301537171105
1.8,240,22.48972602280828,769.4179467972899,692.841404435733,-1.327974159251256,periodic_fourier_energy_backward_difference,-1.2014706345857669,0.0009057535922971,38.93759381869102,2.491412137455107e-05,6.04925743278098e-05,9.758446483070644e-05,19.82875645664618,-0.0005727880109705,-0.0005720301977913,-0.0001979481909622,0.0021586530841306,-0.0014213351463602,139671,0.0029382272623479,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0004742084711324,0.0011174540268257,0.0015214059967547,0.0021646516397595,0.0,0.0399999991059303,1.0471803230351566,8.119400559679457,0.0078910934446301,0.4667382265459588,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1127123267948627,0.0,0.1127123267948627,0.0695009012426765,0.0029382272623479,45.909801090097616
1.875,250,22.39264079414082,756.3334399229013,682.4235388187877,-1.294469715566133,periodic_fourier_energy_backward_difference,-1.1718274044406158,0.0008645622417076,39.05770618349299,2.5590179917893982e-05,6.710438266092997e-05,9.261032976533996e-05,19.828823019742288,-0.0006109271393683,-0.0006631186746581,-0.000220604484687,0.0025082762750083,-0.0016020116487092,144467,0.0030068019405007,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0004635919467546,0.0010877269087359,0.0015107893850654,0.0021349242888391,0.0,0.0399999991059303,1.0391774408501588,8.119400559679457,0.0141981764355376,0.4927401434835788,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1106764170527458,0.0,0.1106764170527458,0.0682954806868803,0.0030068019405007,46.98128043894033
1.95,260,22.295334044569262,742.2967217771505,670.9966259987759,-1.2974233276207303,periodic_fourier_energy_backward_difference,-1.15036220275198,0.000596903934461,39.14114540402619,2.459193823485295e-05,6.122586882240794e-05,8.271416976195212e-05,19.82891671645692,-0.0006481053655103,-0.0007695743834437,-0.0002512971712178,0.0029218954359033,-0.0018015998579024,148901,0.0030414261855185,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0004533923056442,0.0010519208153709,0.0015005897730588,0.0020991181954741,0.0,0.0399999991059303,1.0690315657671072,8.119400559679457,0.0076863510849833,0.400246620546026,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1085307571291923,0.0,0.1085307571291923,0.0666203152455666,0.0030414261855185,47.522284268708844
2.025,270,22.201749212358237,729.7797717989996,660.2486775815875,-1.247797762813719,periodic_fourier_energy_backward_difference,-1.1326150154520025,0.0002770941952784,39.197061992520176,2.487927158015377e-05,6.129397102664844e-05,8.717298866792308e-05,19.828903763159953,-0.0007132505546695,-0.0008790539228766,-0.0002851320527597,0.0033701099014507,-0.0020735691849758,152554,0.0030542074237018,0.0399999991059303,0.03999999538064,0.0399999991059303,0.0004444598162081,0.0010442088823765,0.0014916573418304,0.002091406378895,0.0,0.0399999991059303,1.0562406361909786,8.119400559679457,0.0094809289315174,0.4575690569521948,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1067210767418146,0.0,0.1067210767418146,0.0653070331235103,0.0030542074237018,47.72199111582836
2.1,280,22.111387786668853,718.206335888034,649.9708754761962,-1.204819009191782,periodic_fourier_energy_backward_difference,-1.1145608496099717,0.0001283361509044,39.22665738715656,2.4005820311792738e-05,6.278653044340318e-05,8.085947254219544e-05,19.828932868410973,-0.0007691555186393,-0.0009973248619678,-0.0003155104849085,0.0038485537323294,-0.0023216294669072,155509,0.0030382049735635,0.0399999991059303,0.0399999879300594,0.0399999991059303,0.0004367201181594,0.0010523860109969,0.001483917585574,0.0020995833911001,0.0,0.0399999991059303,1.0398272352715745,8.11940068272749,0.0128667292809248,0.3926473821692945,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1040218954905867,0.0,0.1040218954905867,0.0655210269727095,0.0030382049735635,47.47195283178566
