time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.0125,1,0.07238900756835939,0.0127280387878418,0.0,6.3640194,0.0,36.194504,6.355859756469727,0.0,36.04587936401367,1.112811096604105e-06,-2.0858903674634273,-2.494508116734906e-07,36.19450378417969,6.364019393920898,50.0,9.999999999999998,2.2256221932082102e-10,-0.004171780734926856,-4.989016233469813e-11,1.2338161468505861e-09,-0.022546638488769543,1.966953277587891e-10,0.565549910068512,-0.5655499859713018,0.0,56,-1.688688425630091,0.0,-1.688688425630091
0.025,2,0.21213247680664069,0.03685305404663087,0.0,18.426527,0.0,106.06624,18.31365394592285,0.0,103.86186218261719,-1.4171374363769473e-05,-5.232890157284714,2.2506555241719184e-06,106.06623840332031,18.42652702331543,50.0,9.999999999999998,-2.834274872753895e-09,-0.010465780314569434,4.5013110483438374e-10,-1.1503696441650393e-09,-0.06429303741455081,6.437301635742189e-10,2.1523213386535645,-2.152320970637362,0.0,112,-19.038901297007115,0.0,-19.038901297007115
0.0375,3,0.33845379638671885,0.057096538543701184,0.0,28.54827,0.0,169.2269,28.116249084472656,0.0,159.4552459716797,3.2671350581381375e-05,-4.9438743401379,-5.493524785293857e-06,169.22689819335938,28.548269271850586,50.0,9.999999999999998,6.534270116276277e-09,-0.009887748680275804,-1.0987049570587717e-09,-3.37362289428711e-09,-0.09569439697265629,-1.3858079910278322e-10,4.430424213409424,-4.43042190178152,0.0,168,-63.43850330091102,0.0,-63.43850330091102
0.05,4,0.4558051757812501,0.07306539916992189,0.0,36.5327,0.0,227.90259,35.5408935546875,0.0,201.56236267089844,-1.4104349439492125e-05,0.002377233404858528,2.6694381523029165e-06,227.902587890625,36.53269958496094,50.0,9.999999999999998,-2.8208698878984258e-09,4.7544668097170584e-06,5.338876304605834e-10,1.4853477478027346e-08,-0.1153873138427735,1.2904405593872072e-09,7.152982711791992,-7.1529825169745,0.0,224,-135.38670581682047,0.0,-135.38670581682047
0.0625,5,0.5878738403320314,0.08809163665771487,0.0,44.04582,0.0,293.93692,42.018470764160156,0.0,238.29859924316406,1.5042434355905243e-05,7.98145482663417,-2.3136149183144994e-06,293.9369201660156,44.04581832885742,50.0,9.999999999999998,3.008486871181049e-09,0.015962909653268346,-4.6272298366289996e-10,2.8848648071289066e-09,-0.13259701538085944,4.410743713378907e-10,10.508536338806152,-10.508534147651666,0.0,280,-234.6327633853354,0.0,-234.6327633853354
0.075,6,0.7409863281250002,0.10310276794433595,0.0,51.551384,0.0,370.49316,47.509098052978516,0.0,269.4374084472656,-5.4204636739996204e-05,17.88378741358322,1.0325819030043704e-05,370.4931640625,51.55138397216797,50.0,9.999999999999998,-1.0840927347999242e-08,0.03576757482716646,2.065163806008741e-09,-7.82012939453125e-09,-0.1511405792236329,1.877546310424805e-09,14.712013244628906,-14.71200986898114,0.0,336,-356.39622266903945,0.0,-356.39622266903945
0.0875,7,0.8776786499023439,0.11251524353027346,0.0,56.25762,0.0,438.83932,49.12627410888672,0.0,278.6089782714844,-8.943901509894658e-05,30.67175686144223,1.4417080615558575e-05,438.8393249511719,56.25762176513672,50.0,9.999999999999998,-1.788780301978932e-08,0.06134351372288449,2.8834161231117154e-09,-2.9039382934570317e-08,-0.1596273040771485,1.3053417205810549e-09,19.4449462890625,-19.44494632364691,0.0,392,-466.7542462173108,0.0,-466.7542462173108
0.1,8,0.9357888793945315,0.10803041076660158,0.0,54.015205,0.0,467.89444,43.57216262817383,0.0,247.1100311279297,0.00012179190025563003,46.833783060148335,-2.312658313829985e-05,467.8944396972656,54.01520538330078,50.0,9.999999999999998,2.435838005112601e-08,0.09366756612029671,-4.625316627659971e-09,4.453659057617188e-08,-0.14141528320312508,-4.798173904418946e-09,23.828378677368164,-23.828380109925305,0.0,448,-503.96872717936617,0.0,-503.96872717936617
0.1125,9,0.8864911499023439,0.08811653137207033,0.0,44.058266,0.0,443.24557,31.23735237121582,0.0,177.15582275390625,0.00011284368375186205,62.6809719767141,-1.8702689604133127e-05,443.2455749511719,44.058265686035156,50.0,9.999999999999998,2.2568736750372413e-08,0.12536194395342826,-3.740537920826626e-09,5.3048133850097664e-08,-0.09671923828125005,-4.512071609497071e-09,27.0500431060791,-27.050038390002403,0.0,504,-436.34982075496595,0.0,-436.34982075496595
0.125,10,0.7563269653320315,0.05980377197265627,0.0,29.901886,0.0,378.16348,16.197725296020508,0.0,91.86183166503906,-0.000179553960578005,73.30019680899503,3.303649041086487e-05,378.1634826660156,29.901885986328125,50.0,9.999999999999998,-3.5910792115601e-08,0.14660039361799013,6.607298082172976e-09,-3.998279571533204e-08,-0.042204998016357444,4.211068153381349e-09,28.81644058227539,-28.81644445537739,0.0,560,-299.01885986328125,0.0,-299.01885986328125
0.1375,11,0.7330527954101564,0.05195716476440431,0.0,25.978582,0.0,366.5264,11.786635398864746,0.0,66.8453369140625,-0.0003673442594021026,77.37425635838774,6.47787411529599e-05,366.5263977050781,25.97858238220215,50.0,9.999999999999998,-7.346885188042053e-08,0.15474851271677556,1.295574823059198e-08,-7.765293121337892e-08,-0.02798606109619142,1.2105703353881838e-08,30.154918670654297,-30.15492141261344,0.0,616,-259.7858238220215,0.0,-259.7858238220215
0.15,12,0.7382211303710939,0.0495002670288086,0.0,24.750134,0.0,369.11057,10.20025634765625,0.0,57.848533630371094,0.000397496929085861,80.06733938941035,-7.648857607067683e-05,369.1105651855469,24.750133514404297,50.0,9.999999999999998,7.949938581717221e-08,0.16013467877882076,-1.529771521413537e-08,1.0271072387695314e-07,-0.02376572799682618,-1.6564130783081057e-08,31.312868118286133,-31.312858847511627,0.0,672,-247.50133514404297,0.0,-247.50133514404297
0.1625,13,0.7421899414062502,0.047172958374023445,0.0,23.58648,0.0,371.09497,8.805306434631348,0.0,49.9373779296875,0.00037984108890753987,82.51241980234536,-6.591584711945764e-05,371.094970703125,23.58647918701172,50.0,9.999999999999998,7.596821778150799e-08,0.1650248396046908,-1.318316942389153e-08,5.7113170623779307e-08,-0.019751649856567393,-1.2716650962829592e-08,32.30131530761719,-32.30131500331961,0.0,728,-235.8647918701172,0.0,-235.8647918701172
0.175,14,0.7463893432617189,0.045180103302001964,0.0,22.590052,0.0,373.19467,7.672196388244629,0.0,43.51118469238281,-0.00019218695490508253,84.6182747511576,3.0373161079566557e-05,373.1946716308594,22.590051651000977,50.0,9.999999999999998,-3.8437390981016514e-08,0.1692365495023153,6.074632215913312e-09,-1.5747547149658206e-08,-0.016487373352050787,7.861852645874024e-09,33.15219497680664,-33.15219882801673,0.0,784,-225.90051651000977,0.0,-225.90051651000977
0.1875,15,0.7509120483398439,0.04349526977539064,0.0,21.747635,0.0,375.45602,6.758523464202881,0.0,38.3294792175293,-0.0002188211207929669,86.42533908129954,3.999363118678545e-05,375.4560241699219,21.747634887695312,50.0,9.999999999999998,-4.3764224158593386e-08,0.17285067816259916,7.998726237357091e-09,-5.775690078735353e-08,-0.013913700103759773,7.945299148559572e-09,33.8944091796875,-33.89441301986656,0.0,840,-217.47634887695312,0.0,-217.47634887695312
0.2,16,0.7555339355468752,0.042045242309570324,0.0,21.022621,0.0,377.76697,6.007648944854736,0.0,34.071044921875,0.0001904054839201308,87.99724447406577,-3.532585074061956e-05,377.7669677734375,21.022621154785156,50.0,9.999999999999998,3.808109678402616e-08,0.1759944889481316,-7.0651701481239126e-09,1.4865398406982424e-08,-0.011844752311706548,-7.149577140808106e-09,34.54905700683594,-34.549061610411876,0.0,896,-210.22621154785156,0.0,-210.22621154785156
0.2125,17,0.7600843505859377,0.040772987365722664,0.0,20.386494,0.0,380.04218,5.37794828414917,0.0,30.499868392944336,-0.00010083313347664102,89.38321387924792,1.8218021184512878e-05,380.04217529296875,20.386493682861328,50.0,9.999999999999998,-2.016662669532821e-08,0.1787664277584959,3.6436042369025763e-09,-1.987218856811524e-08,-0.010137942314147955,2.8371810913085944e-09,35.13132095336914,-35.13133711403525,0.0,952,-203.86493682861328,0.0,-203.86493682861328
0.225,18,0.7644863281250002,0.03964266967773438,0.0,19.821335,0.0,382.24316,4.842452049255371,0.0,27.462905883789062,6.244500146479481e-05,90.6171511191611,-7.236064821336541e-06,382.2431640625,19.821334838867188,50.0,9.999999999999998,1.2489000292958964e-08,0.18123430223832226,-1.4472129642673085e-09,1.3411045074462893e-08,-0.008704737663269046,-2.5629997253417975e-09,35.652732849121094,-35.652731470820854,0.0,1008,-198.21334838867188,0.0,-198.21334838867188
0.2375,19,0.768697937011719,0.03862842941284181,0.0,19.314215,0.0,384.34897,4.381747722625732,0.0,24.850130081176758,-0.00012145329418089545,91.72399012675635,2.4033836364623085e-05,384.3489685058594,19.3142147064209,50.0,9.999999999999998,-2.4290658836179096e-08,0.18344798025351278,4.806767272924617e-09,-3.392696380615235e-08,-0.0074841060638427765,3.6299228668212896e-09,36.1222038269043,-36.12221866246385,0.0,1064,-193.14214706420898,0.0,-193.14214706420898
0.25,20,0.7727063598632814,0.03771213912963868,0.0,18.85607,0.0,386.35318,3.9820094108581543,0.0,22.583091735839844,0.0003108056735499076,92.72265861526905,-5.2344997038211716e-05,386.3531799316406,18.856069564819336,50.0,9.999999999999998,6.216113470998154e-08,0.1854453172305382,-1.0468999407642346e-08,2.776384353637696e-08,-0.006433837890625003,-1.1655688285827638e-08,36.547000885009766,-36.54701659405578,0.0,1120,-188.56069564819336,0.0,-188.56069564819336
0.2625,21,0.7765067749023439,0.03687947082519532,0.0,18.439735,0.0,388.2534,3.632510185241699,0.0,20.600994110107422,0.00013297172361959042,93.62822445480259,-2.239837399020672e-05,388.2533874511719,18.439735412597656,50.0,9.999999999999998,2.659434472391809e-08,0.18725644890960527,-4.4796747980413455e-09,4.780292510986329e-08,-0.005522669792175296,-4.738569259643556e-09,36.93301010131836,-36.93301409831628,0.0,1176,-184.39735412597656,0.0,-184.39735412597656
0.275,22,0.7801021118164064,0.0361189308166504,0.0,18.059465,0.0,390.05106,3.324852466583252,0.0,18.85618019104004,-0.0008624676656765473,94.45267526484947,0.00015065341276865318,390.0510559082031,18.059465408325195,50.0,9.999999999999998,-1.724935331353095e-07,0.18890535052969903,3.013068255373064e-08,-1.6603469848632816e-07,-0.0047255969047546404,2.9972195625305184e-08,37.28508758544922,-37.285081693412245,0.0,1232,-180.59465408325195,0.0,-180.59465408325195
0.2875,23,0.7835040283203126,0.035422481536865245,0.0,17.71124,0.0,391.752,3.0529491901397705,0.0,17.31412124633789,0.0001387814308237978,95.20678739726262,-2.770436717902669e-05,391.75201416015625,17.711240768432617,50.0,9.999999999999998,2.7756286164759564e-08,0.1904135747945253,-5.540873435805339e-09,2.9945373535156254e-08,-0.004024768829345705,-4.091858863830567e-09,37.6072883605957,-37.6072981968917,0.0,1288,-177.11240768432617,0.0,-177.11240768432617
0.3,24,0.7867111206054689,0.03478083801269532,0.0,17.390419,0.0,393.35556,2.81066632270813,0.0,15.940078735351562,5.815273671316845e-05,95.89811774867347,-1.0355842680720428e-05,393.3555603027344,17.390419006347656,50.0,9.999999999999998,1.1630547342633692e-08,0.19179623549734703,-2.071168536144086e-09,1.903772354125977e-08,-0.00340391778945923,-2.9385089874267584e-09,37.90306091308594,-37.90308186893832,0.0,1344,-173.90419006347656,0.0,-173.90419006347656
0.3125,25,0.7897428588867189,0.03418927001953126,0.0,17.094635,0.0,394.87143,2.594461679458618,0.0,14.713918685913086,0.00035779691099691036,96.53426053140824,-6.273373975140828e-05,394.8714294433594,17.094635009765625,50.0,9.999999999999998,7.155938219938209e-08,0.19306852106281655,-1.2546747950281658e-08,5.708932876586915e-08,-0.00285247039794922,-1.2516975402832034e-08,38.17536544799805,-38.17536639009612,0.0,1400,-170.94635009765625,0.0,-170.94635009765625
0.325,26,0.7926005859375002,0.0336412811279297,0.0,16.82064,0.0,396.3003,2.400188446044922,0.0,13.612140655517578,-0.00023586320582325015,97.12107566502631,4.252972496487928e-05,396.30029296875,16.820640563964844,50.0,9.999999999999998,-4.717264116465004e-08,0.1942421513300527,8.505944992975858e-09,-5.8472156524658215e-08,-0.002358905315399171,7.75754451751709e-09,38.42664337158203,-38.42663834355821,0.0,1456,-168.20640563964844,0.0,-168.20640563964844
0.3375,27,0.7953007202148439,0.033133197784423835,0.0,16.566599,0.0,397.65036,2.2253494262695312,0.0,12.62056827545166,9.504602658694239e-05,97.6637069557622,-1.4958715493396113e-05,397.6503601074219,16.566598892211914,50.0,9.999999999999998,1.900920531738848e-08,0.19532741391152447,-2.9917430986792234e-09,5.829334259033204e-09,-0.0019161020517349252,-1.496076583862305e-09,38.6590576171875,-38.659065105431544,0.0,1512,-165.66598892211914,0.0,-165.66598892211914
0.35,28,0.7978510742187502,0.03266097640991212,0.0,16.330488,0.0,398.92554,2.067401170730591,0.0,11.724810600280762,-0.00023442826589104016,98.1665817661842,3.893082887707067e-05,398.925537109375,16.330488204956055,50.0,9.999999999999998,-4.688565317820804e-08,0.1963331635323685,7.786165775414135e-09,-6.546974182128908e-08,-0.0015176209211349495,6.860494613647462e-09,38.874534606933594,-38.87453234494991,0.0,1568,-163.30488204956055,0.0,-163.30488204956055
0.3625,29,0.8002584228515627,0.032220680236816415,0.0,16.11034,0.0,400.1292,1.9240230321884155,0.0,10.911670684814453,0.00019939981559957687,98.6338032776838,-3.755872368671476e-05,400.12921142578125,16.110340118408203,50.0,9.999999999999998,3.987996311991538e-08,0.19726760655536768,-7.511744737342952e-09,1.630783081054688e-08,-0.0011568956375122075,-9.766221046447755e-09,39.07465362548828,-39.07464754429916,0.0,1624,-161.10340118408203,0.0,-161.10340118408203
0.375,30,0.802534851074219,0.03181001281738282,0.0,15.905006,0.0,401.26743,1.7937833070755005,0.0,10.173048973083496,-0.0002185968911661007,99.06844666242505,3.5869766680018955e-05,401.2674255371094,15.905006408691406,50.0,9.999999999999998,-4.371937823322015e-08,0.19813689332485018,7.1739533360037925e-09,-3.789663314819337e-08,-0.000830321550369263,6.914138793945314e-09,39.26084899902344,-39.260868194442956,0.0,1680,-159.05006408691406,0.0,-159.05006408691406
