time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,bound_linear_impulse_x,coupled_linear_impulse_x,bound_vortex_strength_x,coupled_vortex_strength_x,bound_linear_impulse_y,coupled_linear_impulse_y,bound_vortex_strength_y,coupled_vortex_strength_y,bound_linear_impulse_z,coupled_linear_impulse_z,bound_vortex_strength_z,coupled_vortex_strength_z,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0625,5,3.0138416290283203,90.90953063964844,27.162282943725582,0.0,direct_energy_backward_difference,-0.9102667570114136,9.531504474580288e-10,10.747432708740234,-2.0994775695726275e-08,-10.508535385131836,-1.8044374883174894e-09,-0.922861635684967,3.7834979593753815e-10,-5.49827766418457,1.87070952506474e-07,3.6893017292022705,1.30385160446167e-07,280,0.2276249080896377,0.0637655407190322,0.228370264172554,0.5880582928657532,0.0006849460769444,0.0029379953630268,0.0106849456205964,0.0129379946738481,0.0,0.2283702626292194,0.4453953571098232,0.7628971959845554,0.1622247987342801,2.469155133330656,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.021579235419631,0.0,-0.7169201864984428,-1.63978182218341,0.0,-2.0994775695726275e-08,0.0,3.7834979593753815e-10,10.508536338806152,9.5367431640625e-07,-4.706471823453509,-10.20474948763808,0.0,-1.8044374883174894e-09,0.021579235419631,0.0165843785424804,0.2276249080896377,198.10749912545603
0.125,10,19.49042701721191,244.6075134277344,99.4148941040039,263.6253662109375,direct_energy_backward_difference,-4.298698902130127,9.647919796407224e-09,31.770416259765625,-2.013985067605973e-07,-28.81643867492676,1.6967533156275753e-08,-2.983187675476074,1.2369127944111824e-08,-18.228572845458984,-1.4975666999816897e-06,9.935253143310549,2.7194619178771973e-07,560,0.2978525459766388,0.083725705742836,0.2665999233722687,0.5901959538459778,0.0051031606271862,0.0238095559179782,0.0151031613349914,0.033809557557106,0.0,0.2665999195538461,0.4336115104027112,1.0531221728594005,0.122218083688047,5.833606528868721,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0440869122743606,0.0,-1.4728852988057033,-4.456072974281778,0.0,-2.013985067605973e-07,0.0,1.2369127944111824e-08,28.816442489624023,3.814697265625e-06,-17.718491475772787,-35.94706432123177,0.0,1.6967533156275753e-08,0.0440869122743606,0.0301744298714578,0.2978525459766388,197.51840962629117
0.1875,15,26.104745864868164,260.16925048828125,120.65869140625,105.8291015625,direct_energy_backward_difference,-4.630596160888672,-9.66247171163559e-08,41.37785339355469,-3.229361027479172e-07,-33.89439392089844,5.366746336221696e-08,-4.261995792388916,2.4563632905483252e-08,-28.498157501220703,-7.82310962677002e-07,10.507192611694336,-3.688037395477295e-07,840,0.2978542447090149,0.1004216894507408,0.290027379989624,0.5923371315002441,0.0061289309523999,0.0295473933219909,0.0161289311945438,0.0395473912358284,0.0,0.2900273965050777,0.4555251214019826,0.9555675368915416,0.1151901708262585,8.356286179879154,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0539046041667461,0.0,-1.5972819863678145,-5.859277778756731,0.0,-3.229361027479172e-07,0.0,2.4563632905483252e-08,33.8944091796875,1.52587890625e-05,-30.66632274698171,-59.16448024820241,0.0,5.366746336221696e-08,0.0539046041667461,0.0380855114961152,0.2978542447090149,196.01789383988287
0.25,20,30.608219146728516,276.82781982421875,137.56573486328125,72.05557250976562,direct_energy_backward_difference,-4.634418487548828,-1.0084477253258228e-07,49.17060470581055,-2.2532185539603233e-07,-36.54700469970703,9.778887033462524e-08,-5.392608642578125,1.1030351743102074e-08,-38.85169219970703,2.071774360956624e-06,6.619045734405518,-4.5727938413619995e-07,1120,0.2978689074516296,0.11281768232584,0.3032814562320709,0.5944843888282776,0.006045302376151,0.0292914249002933,0.0160453021526336,0.039291426539421,0.0,0.3032814469853682,0.463190226785065,1.07440958080155,0.1066596749555372,11.266171121231912,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0581035271286964,0.0,-1.674369829972652,-7.066978472550777,0.0,-2.2532185539603233e-07,0.0,1.1030351743102074e-08,36.5469970703125,-7.62939453125e-06,-44.21548502314331,-83.06717722285035,0.0,9.778887033462524e-08,0.0581035271286964,0.0419521791426616,0.2978689074516296,194.0207617566356
0.3125,25,34.65286636352539,297.55682373046875,154.9577178955078,64.71435546875,direct_energy_backward_difference,-4.701321125030518,-7.35744833946228e-08,56.282928466796875,-8.940696716308594e-07,-38.17536163330078,1.4528632164001465e-07,-6.439508438110352,4.842877388000488e-08,-49.57904815673828,0.0,-1.9444780349731443,-2.086162567138672e-07,1400,0.2978956997394562,0.1238294169306755,0.3123629987239837,0.598909854888916,0.0058570969849824,0.0271276291459798,0.015857096761465,0.0371276289224624,0.0,0.3123629935085773,0.4685770064980875,0.9535301991021132,0.1092020417356943,11.741742352381188,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0603459373116493,0.0,-1.725682808752592,-8.165191246862943,0.0,-8.940696716308594e-07,0.0,4.842877388000488e-08,38.17536163330078,0.0,-57.983227949525755,-107.56227610626404,0.0,1.4528632164001465e-07,0.0603459373116493,0.0440906470677609,0.2978956997394562,191.7406698495475
0.375,30,38.70491790771485,320.72564697265625,172.94497680664062,64.83282470703125,direct_energy_backward_difference,-4.8388237953186035,-4.4165062718093395e-08,63.06840515136719,-3.605964593589306e-07,-39.260860443115234,1.4144461601972582e-08,-7.429018020629883,6.314076017588377e-08,-60.68104553222656,-1.488548150518909e-06,-15.468067169189451,-6.468035280704498e-07,1680,0.2979346215724945,0.1339356303215026,0.319308191537857,0.6033749580383301,0.0056247096508741,0.0255341473966836,0.0156247094273567,0.0355341471731662,0.0,0.3193081917684702,0.4739304813931575,0.95321129305479,0.1037876037772556,12.1611889744527,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0560504048131406,0.0,-1.7615695187902167,-9.1905875394201,0.0,-3.605964593589306e-07,0.0,6.314076017588377e-08,39.26084899902344,-1.1444091796875e-05,-71.82621954566663,-132.50726507789318,0.0,1.4144461601972582e-08,0.0560504048131406,0.0454398583964625,0.2979346215724945,189.2981520404759
0.4375,35,42.909515380859375,345.2632751464844,191.3259124755859,67.2735595703125,direct_energy_backward_difference,-5.024760723114014,-2.384185791015625e-07,69.68382263183594,-7.748603820800781e-07,-40.022857666015625,-1.862645149230957e-09,-8.374632835388184,2.9802322387695312e-08,-72.11074829101562,3.337860107421875e-06,-34.17278289794922,5.364418029785156e-07,1960,0.2979848086833954,0.143297016620636,0.3249952495098114,0.6079052090644836,0.0053914003074169,0.0239677242934703,0.0153914000838994,0.0339677259325981,0.0,0.324995244210776,0.4759277942555228,0.9529977139316868,0.106259400679172,12.446161493067745,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0576452736742794,0.0,-1.787598601049426,-10.16223143643761,0.0,-7.748603820800781e-07,0.0,2.9802322387695312e-08,40.022926330566406,6.866455078125e-05,-85.68125048992914,-157.79199878094477,0.0,-1.862645149230957e-09,0.0576452736742794,0.0463590548620878,0.2979848086833954,187.09967542534048
0.5,40,47.304344177246094,370.513427734375,209.9361267089844,70.3172607421875,direct_energy_backward_difference,-5.253698348999023,-1.6056583262979984e-07,76.21536254882812,-3.849854692816735e-07,-40.577781677246094,1.83936208486557e-08,-9.28424835205078,1.341104507446289e-07,-83.81716918945312,5.341426003724337e-06,-58.216400146484375,-4.936009645462036e-08,2240,0.2980440258979797,0.1520184427499771,0.3298708200454712,0.6124657392501831,0.0051786066032946,0.0224587619304656,0.0151786068454384,0.0324587598443031,0.0,0.3298708113376051,0.4776658970586828,0.9528440628999262,0.1053490111316181,12.858846385524483,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0587526524439454,0.0,-1.807013709877063,-11.091262061927845,0.0,-3.849854692816735e-07,0.0,1.341104507446289e-07,40.57782745361328,4.57763671875e-05,-99.51925925874514,-183.33642844819823,0.0,1.83936208486557e-08,0.0587526524439454,0.047017397007278,0.2980440258979797,186.96443638277137
0.5625,45,51.88655090332031,396.0214538574219,228.64486694335935,73.3153076171875,direct_energy_backward_difference,-5.519217491149902,-3.8929283618927e-07,82.7124252319336,-2.980232238769531e-07,-40.993167877197266,-3.3527612686157227e-08,-10.163617134094238,1.4901161193847656e-08,-95.75485229492188,-7.62939453125e-06,-87.70724487304688,1.4901161193847656e-07,2520,0.2981083989143371,0.1601783186197281,0.3341895043849945,0.6169177889823914,0.0049926023930311,0.0210573561489582,0.0149926021695137,0.0310573559254407,0.0,0.3341895002516962,0.4783136551983254,0.9527271373263096,0.1075383421825649,12.862866285916285,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0595567306503653,0.0,-1.8218243531801952,-11.985441487274434,0.0,-2.980232238769531e-07,0.0,1.4901161193847656e-08,40.99314498901367,-2.288818359375e-05,-113.32734285469446,-209.08219514961633,0.0,-3.3527612686157227e-08,0.0595567306503653,0.047505864827881,0.2981083989143371,190.06939942083815
0.625,50,56.639183044433594,421.47650146484375,247.3453369140625,76.0421142578125,direct_energy_backward_difference,-5.802145957946777,-1.2526288628578186e-07,89.19902038574219,-6.846385076642036e-07,-41.31096267700195,7.869675755500793e-08,-11.018227577209473,1.0873191058635713e-07,-107.8849868774414,-3.5076445783488452e-06,-122.7183837890625,-2.3655593395233154e-07,2800,0.2981728613376617,0.1630830764770507,0.3381078541278839,0.621254563331604,0.004830339923501,0.0199420154094696,0.014830338768661,0.0299420151859521,0.0,0.3381078480184078,0.477109899773444,0.952639902220327,0.113461699522738,14.080067129863664,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0601597184315323,0.0,-1.8333345898640376,-12.85156216707351,0.0,-6.846385076642036e-07,0.0,1.0873191058635713e-07,41.310977935791016,1.52587890625e-05,-127.10084281668328,-234.98582969412467,0.0,7.869675755500793e-08,0.0601597184315323,0.0478782321961888,0.2981728613376617,193.8526752013665
