time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.0125,1,0.07238900756835939,0.0127280387878418,0.0,6.3640194,0.0,36.194504,6.355859756469727,0.0,36.04587936401367,1.112811096604105e-06,-2.0858903674634273,-2.494508116734906e-07,36.19450378417969,6.364019393920898,50.0,9.999999999999998,2.2256221932082102e-10,-0.004171780734926856,-4.989016233469813e-11,1.2338161468505861e-09,-0.022546638488769543,1.966953277587891e-10,0.565549910068512,-0.5655499859713018,0.0,56,-1.688688425630091,0.0,-1.688688425630091
0.025,2,0.21213247680664069,0.03685305404663087,0.0,18.426527,0.0,106.06624,18.31365394592285,0.0,103.86186218261719,-1.4171374363769473e-05,-5.232890157284714,2.2506555241719184e-06,106.06623840332031,18.42652702331543,50.0,9.999999999999998,-2.834274872753895e-09,-0.010465780314569434,4.5013110483438374e-10,-1.1503696441650393e-09,-0.06429303741455081,6.437301635742189e-10,2.1523213386535645,-2.152320970637362,0.0,112,-19.038901297007115,0.0,-19.038901297007115
0.0375,3,0.33845379638671885,0.057096538543701184,0.0,28.54827,0.0,169.2269,28.116249084472656,0.0,159.4552459716797,3.2671350581381375e-05,-4.9438743401379,-5.493524785293857e-06,169.22689819335938,28.548269271850586,50.0,9.999999999999998,6.534270116276277e-09,-0.009887748680275804,-1.0987049570587717e-09,-3.37362289428711e-09,-0.09569439697265629,-1.3858079910278322e-10,4.430424213409424,-4.43042190178152,0.0,168,-63.43850330091102,0.0,-63.43850330091102
0.05,4,0.4558051757812501,0.07306539916992189,0.0,36.5327,0.0,227.90259,35.5408935546875,0.0,201.56236267089844,-1.4104349439492125e-05,0.002377233404858528,2.6694381523029165e-06,227.902587890625,36.53269958496094,50.0,9.999999999999998,-2.8208698878984258e-09,4.7544668097170584e-06,5.338876304605834e-10,1.4853477478027346e-08,-0.1153873138427735,1.2904405593872072e-09,7.152982711791992,-7.1529825169745,0.0,224,-135.38670581682047,0.0,-135.38670581682047
0.0625,5,0.5878738403320314,0.08809163665771487,0.0,44.04582,0.0,293.93692,42.018470764160156,0.0,238.29859924316406,1.5541550155262485e-05,7.981454456750457,-2.4276661649835773e-06,293.9369201660156,44.04581832885742,50.0,9.999999999999998,3.1083100310524975e-09,0.015962908913500922,-4.855332329967156e-10,2.8848648071289066e-09,-0.13259701538085944,4.410743713378907e-10,10.508536338806152,-10.508534177456717,0.0,280,-234.6327633853354,0.0,-234.6327633853354
0.075,6,0.7409862670898439,0.10310276794433595,0.0,51.551384,0.0,370.49313,47.509098052978516,0.0,269.4374084472656,-8.130814876494696e-05,17.88378854301575,1.4119861500461184e-05,370.4931335449219,51.55138397216797,50.0,9.999999999999998,-1.6261629752989395e-08,0.03576757708603152,2.8239723000922373e-09,-1.3923645019531252e-08,-0.1511405792236329,2.640485763549805e-09,14.712013244628906,-14.712009734856942,0.0,336,-356.39622266903945,0.0,-356.39622266903945
0.0875,7,0.8776786499023439,0.112515251159668,0.0,56.257626,0.0,438.83932,49.12627410888672,0.0,278.6089782714844,-2.8053763415414323e-05,30.671754623122805,3.4397478945180637e-06,438.8393249511719,56.257625579833984,50.0,9.999999999999998,-5.6107526830828656e-09,0.06134350924624564,6.879495789036129e-10,-1.6832351684570315e-08,-0.1596273040771485,-1.7464160919189457e-09,19.4449462890625,-19.444946353466037,0.0,392,-466.75427786682053,0.0,-466.75427786682053
0.1,8,0.9357888793945315,0.10803044128417971,0.0,54.01522,0.0,467.89444,43.572166442871094,0.0,247.11007690429688,0.00013200961166148772,46.833782924580625,-2.4220399027718997e-05,467.8944396972656,54.015220642089844,50.0,9.999999999999998,2.640192233229755e-08,0.09366756584916129,-4.8440798055438e-09,5.6743621826171886e-08,-0.14141528320312508,-4.798173904418946e-09,23.828378677368164,-23.828380404160445,0.0,448,-503.9688695458063,0.0,-503.9688695458063
0.1125,9,0.8864910278320315,0.08811653900146486,0.0,44.05827,0.0,443.2455,31.237348556518555,0.0,177.15579223632812,-1.5428311499476877e-06,62.6809774735311,1.7675440782127794e-06,443.2455139160156,44.05826950073242,50.0,9.999999999999998,-3.0856622998953757e-10,0.12536195494706226,3.535088156425559e-10,3.087520599365235e-08,-0.09671920776367192,5.275011062622071e-09,27.050045013427734,-27.050037905360696,0.0,504,-436.3498585354469,0.0,-436.3498585354469
0.125,10,0.7563270263671876,0.05980377960205079,0.0,29.90189,0.0,378.1635,16.197734832763672,0.0,91.86188507080078,-3.325126473896489e-05,73.30019222986986,7.132603442094876e-06,378.16351318359375,29.90188980102539,50.0,9.999999999999998,-6.65025294779298e-09,0.1466003844597398,1.4265206884189755e-09,-5.078315734863282e-09,-0.04220504379272463,1.2457370758056644e-09,28.816442489624023,-28.816444924535446,0.0,560,-299.0188980102539,0.0,-299.0188980102539
0.1375,11,0.7330524902343751,0.051957134246826187,0.0,25.978567,0.0,366.52625,11.786625862121582,0.0,66.84530639648438,-0.00026430300528801354,77.37425776387168,4.7035533289552234e-05,366.5262451171875,25.978567123413086,50.0,9.999999999999998,-5.2860601057602715e-08,0.15474851552774344,9.407106657910449e-09,-4.92691993713379e-08,-0.02798604774475099,8.2165002822876e-09,30.154924392700195,-30.15492134204088,0.0,616,-259.78567123413086,0.0,-259.78567123413086
0.15,12,0.7382213134765626,0.049500274658203135,0.0,24.750137,0.0,369.11066,10.20026683807373,0.0,57.84859085083008,0.00016434617230487447,80.06733595752272,-3.643392025409753e-05,369.11065673828125,24.750137329101562,50.0,9.999999999999998,3.28692344609749e-08,0.1601346719150455,-7.286784050819507e-09,3.029108047485352e-08,-0.023765748977661143,-7.70390033721924e-09,31.312870025634766,-31.31285900707148,0.0,672,-247.50137329101562,0.0,-247.50137329101562
0.1625,13,0.7421900634765627,0.04717296600341798,0.0,23.586483,0.0,371.09503,8.805310249328613,0.0,49.93739700317383,0.0005040251957488806,82.5124281454944,-8.723371813723624e-05,371.09503173828125,23.586483001708984,50.0,9.999999999999998,1.0080503914977614e-07,0.16502485629098887,-1.744674362744725e-08,9.416341781616213e-08,-0.019751644134521493,-1.8435716629028325e-08,32.30131912231445,-32.30131473335253,0.0,728,-235.86483001708984,0.0,-235.86483001708984
0.175,14,0.7463892211914064,0.04518008041381837,0.0,22.59004,0.0,373.1946,7.672187328338623,0.0,43.51109313964844,-0.00030896136579627864,84.61827236579909,5.0450145750779996e-05,373.1946105957031,22.59004020690918,50.0,9.999999999999998,-6.179227315925575e-08,0.16923654473159824,1.0090029150156001e-08,-3.89695167541504e-08,-0.016487350463867196,1.031458377838135e-08,33.152198791503906,-33.15219825899415,0.0,784,-225.9004020690918,0.0,-225.9004020690918
0.1875,15,0.7509122314453127,0.04349528884887696,0.0,21.747644,0.0,375.45612,6.75852108001709,0.0,38.32947540283203,-0.0003015532656966968,86.42534201919115,4.909200260083679e-05,375.45611572265625,21.747644424438477,50.0,9.999999999999998,-6.031065313933937e-08,0.17285068403838239,9.81840052016736e-09,-7.015466690063478e-08,-0.013913696289062506,8.437037467956545e-09,33.8944091796875,-33.89441254316022,0.0,840,-217.47644424438477,0.0,-217.47644424438477
0.2,16,0.7555339355468752,0.04204524993896485,0.0,21.022625,0.0,377.76697,6.007646560668945,0.0,34.07102966308594,0.0003495383262759333,87.9972460442072,-5.90244183729105e-05,377.7669677734375,21.022624969482422,50.0,9.999999999999998,6.990766525518667e-08,0.17599449208841447,-1.1804883674582103e-08,8.978843688964845e-08,-0.011844752311706548,-1.2516975402832034e-08,34.54905700683594,-34.5490611769368,0.0,896,-210.22624969482422,0.0,-210.22624969482422
0.2125,17,0.7600844726562501,0.04077297973632813,0.0,20.38649,0.0,380.04224,5.377950191497803,0.0,30.499855041503906,-0.0003209278718152575,89.38321739674376,5.620284377627627e-05,380.042236328125,20.386489868164062,50.0,9.999999999999998,-6.418557436305151e-08,0.1787664347934876,1.1240568755255256e-08,-6.235837936401369e-08,-0.010137935638427738,1.0266900062561038e-08,35.13133239746094,-35.131336086026415,0.0,952,-203.86489868164062,0.0,-203.86489868164062
0.225,18,0.7644862670898439,0.03964268493652345,0.0,19.821342,0.0,382.24313,4.8424553871154785,0.0,27.462926864624023,0.00012024854898129433,90.61714998443283,-1.8930616025203406e-05,382.2431335449219,19.82134246826172,50.0,9.999999999999998,2.404970979625887e-08,0.18123429996886573,-3.786123205040682e-09,3.5619735717773445e-08,-0.008704746246337894,-2.488493919372559e-09,35.65272903442383,-35.65273050884816,0.0,1008,-198.2134246826172,0.0,-198.2134246826172
0.2375,19,0.7686981811523439,0.038628410339355476,0.0,19.314205,0.0,384.3491,4.381747722625732,0.0,24.85011863708496,4.3906580909691684e-05,91.72399131254288,-7.040830439564161e-06,384.3490905761719,19.314205169677734,50.0,9.999999999999998,8.781316181938339e-09,0.18344798262508585,-1.4081660879128325e-09,2.7024745941162114e-08,-0.007484102249145511,-2.592802047729493e-09,36.12220764160156,-36.12221787842262,0.0,1064,-193.14205169677734,0.0,-193.14205169677734
0.25,20,0.7727064819335939,0.03771213912963868,0.0,18.85607,0.0,386.35324,3.982008218765259,0.0,22.583086013793945,8.446139391793395e-05,92.72265500420575,-1.5583780646810652e-05,386.3532409667969,18.856069564819336,50.0,9.999999999999998,1.6892278783586794e-08,0.18544531000841158,-3.116756129362131e-09,-2.654790878295899e-08,-0.00643383598327637,-3.37362289428711e-09,36.5469970703125,-36.54701616938924,0.0,1120,-188.56069564819336,0.0,-188.56069564819336
0.2625,21,0.7765065917968752,0.036879451751708994,0.0,18.439726,0.0,388.2533,3.6324985027313232,0.0,20.600914001464844,0.00018829905386752444,93.62823206529896,-3.421630360467276e-05,388.2532958984375,18.439725875854492,50.0,9.999999999999998,3.7659810773504896e-08,0.18725646413059802,-6.843260720934553e-09,2.4080276489257817e-08,-0.005522614002227786,-8.457899093627931e-09,36.93301010131836,-36.933012858099374,0.0,1176,-184.39725875854492,0.0,-184.39725875854492
0.275,22,0.780102233886719,0.03611894226074219,0.0,18.059471,0.0,390.05112,3.324859619140625,0.0,18.85621452331543,-0.000847564431065706,94.45267266917153,0.00015021675333093398,390.0511169433594,18.059471130371094,50.0,9.999999999999998,-1.6951288621314123e-07,0.18890534533834316,3.00433506661868e-08,-1.852989196777344e-07,-0.0047256197929382345,3.007352352142334e-08,37.28507995605469,-37.28508113092752,0.0,1232,-180.59471130371094,0.0,-180.59471130371094
0.2875,23,0.7835041503906252,0.03542247390747071,0.0,17.711237,0.0,391.75208,3.0529541969299316,0.0,17.31415557861328,0.00023115326762379595,95.20678672759213,-4.425236424232537e-05,391.7520751953125,17.71123695373535,50.0,9.999999999999998,4.62306535247592e-08,0.19041357345518434,-8.850472848465076e-09,6.057024002075197e-08,-0.004024784088134768,-8.434057235717774e-09,37.6072883605957,-37.607298151304406,0.0,1288,-177.11236953735352,0.0,-177.11236953735352
0.3,24,0.7867111206054689,0.03478082275390626,0.0,17.390411,0.0,393.35556,2.810661554336548,0.0,15.94005012512207,0.00019718947108415819,95.89810983213322,-3.461629009837708e-05,393.3555603027344,17.390411376953125,50.0,9.999999999999998,3.9437894216831645e-08,0.19179621966426652,-6.923258019675417e-09,6.167888641357423e-08,-0.003403912782669069,-6.49392604827881e-09,37.90306091308594,-37.9030815850174,0.0,1344,-173.90411376953125,0.0,-173.90411376953125
0.3125,25,0.7897426757812501,0.03418926620483399,0.0,17.094633,0.0,394.87134,2.594454288482666,0.0,14.71388053894043,0.0005130093118808077,96.53426030173898,-9.104050885921922e-05,394.871337890625,17.094633102416992,50.0,9.999999999999998,1.0260186237616156e-07,0.19306852060347804,-1.8208101771843847e-08,1.250743865966797e-07,-0.0028524434566497814,-1.7812848091125492e-08,38.17536163330078,-38.17536528351872,0.0,1400,-170.94633102416992,0.0,-170.94633102416992
0.325,26,0.792600769042969,0.03364133834838868,0.0,16.82067,0.0,396.30038,2.4002156257629395,0.0,13.612293243408203,-0.0002890046934354018,97.12106327079307,5.2388321809537786e-05,396.3003845214844,16.820669174194336,50.0,9.999999999999998,-5.780093868708037e-08,0.19424212654158624,1.0477664361907559e-08,-4.854202270507813e-08,-0.002359011411666871,1.0144710540771485e-08,38.42664337158203,-38.4266388963698,0.0,1456,-168.20669174194336,0.0,-168.20669174194336
0.3375,27,0.7953005371093752,0.03313316726684571,0.0,16.566584,0.0,397.65027,2.2253382205963135,0.0,12.620516777038574,5.27806251895413e-05,97.663715680046,-8.569050561568758e-06,397.6502685546875,16.56658363342285,50.0,9.999999999999998,1.0556125037908262e-08,0.1953274313600921,-1.713810112313752e-09,6.592273712158204e-09,-0.001916060447692872,-3.1292438507080085e-10,38.6590576171875,-38.659064085629815,0.0,1512,-165.66583633422852,0.0,-165.66583633422852
0.35,28,0.7978508911132814,0.032660961151123054,0.0,16.33048,0.0,398.92545,2.067397117614746,0.0,11.724791526794434,-0.0001602940333071956,98.16658494917753,2.549717392197337e-05,398.9254455566406,16.330480575561523,50.0,9.999999999999998,-3.205880666143913e-08,0.19633316989835514,5.099434784394675e-09,-4.733800888061524e-08,-0.0015176023244857794,6.645917892456056e-09,38.874534606933594,-38.874530621025116,0.0,1568,-163.30480575561523,0.0,-163.30480575561523
0.3625,29,0.8002585449218752,0.03222069931030274,0.0,16.11035,0.0,400.12927,1.9240376949310303,0.0,10.911765098571777,0.00014755754506623475,98.63379358905135,-2.8256165803597355e-05,400.1292724609375,16.110349655151367,50.0,9.999999999999998,2.9511509013246956e-08,0.1972675871781028,-5.651233160719472e-09,1.547336578369141e-08,-0.0011569721698760991,-4.187226295471192e-09,39.07465362548828,-39.07464752384312,0.0,1624,-161.10349655151367,0.0,-161.10349655151367
0.375,30,0.8025345458984376,0.03181001472473145,0.0,15.905007,0.0,401.26727,1.7937792539596558,0.0,10.173027992248535,-9.13614876765223e-05,99.06844706004928,1.4893553702766127e-05,401.26727294921875,15.905007362365723,50.0,9.999999999999998,-1.8272297535304463e-08,0.19813689412009866,2.9787107405532258e-09,-4.1365623474121104e-08,-0.0008303127288818363,2.9683113098144538e-09,39.26084899902344,-39.26086813376777,0.0,1680,-159.05007362365723,0.0,-159.05007362365723
