time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.0125,1,-0.0367518310546875,0.003206378936767578,0.0,1.6031895,0.0,-18.375916,1.6011109352111816,0.0,-18.300783157348633,1.3505510012556954e-06,1.0465912899976197,1.1788603990203761e-07,-18.37591552734375,1.603189468383789,50.0,10.0,2.701102002511391e-10,0.0020931825799952396,2.357720798040752e-11,2.424418926239014e-09,0.011316043853759766,-4.759058356285095e-11,-0.2838399112224579,0.28383985778782517,0.0,56,-0.42540528740969036,0.0,-0.42540528740969036
0.025,2,-0.1076822280883789,0.00928359317779541,0.0,4.6417966,0.0,-53.841114,4.6130852699279785,0.0,-52.72779846191406,3.5673522944534852e-06,2.620507756138257,3.781552713189029e-07,-53.84111404418945,4.641796588897705,50.0,10.0,7.13470458890697e-10,0.005241015512276514,7.563105426378058e-11,1.609325408935547e-10,0.032261421203613284,-1.8887221813201905e-10,-1.0799092054367065,1.0799092592940025,0.0,112,-4.7960588007162475,0.0,-4.7960588007162475
0.0375,3,-0.17173445129394532,0.014381759643554688,0.0,7.19088,0.0,-85.867226,7.0812482833862305,0.0,-80.93901824951172,3.367186197422711e-05,2.453126492451857,2.8121091721899916e-06,-85.86722564697266,7.190879821777344,50.0,10.0,6.734372394845423e-09,0.004906252984903715,5.624218344379983e-10,7.510185241699219e-09,0.04798984909057617,2.9318034648895266e-10,-2.2219200134277344,2.2219204274888606,0.0,168,-15.979205217882745,0.0,-15.979205217882745
0.05,4,-0.23111538696289063,0.01840065383911133,0.0,9.200327,0.0,-115.55769,8.949317932128906,0.0,-102.29114532470703,-7.216127276876705e-05,-0.07912822370783518,-6.312721985146652e-06,-115.55769348144531,9.200326919555664,50.0,10.0,-1.443225455375341e-08,-0.00015825644741567036,-1.2625443970293304e-09,-1.91807746887207e-08,0.05780163192749024,-9.723007678985596e-10,-3.5855276584625244,3.5855274573004396,0.0,224,-34.095535458026255,0.0,-34.095535458026255
0.0625,5,-0.2978734130859375,0.02218414497375488,0.0,11.0920725,0.0,-148.9367,10.579536437988281,0.0,-120.9247055053711,0.00013360270820328424,-4.157066190833647,1.1437174279649298e-05,-148.93670654296875,11.092072486877441,50.0,10.0,2.6720541640656848e-08,-0.008314132381667293,2.2874348559298594e-09,2.3674964904785156e-08,0.06635417938232421,2.333521842956543e-09,-5.266517162322998,5.26651529648063,0.0,280,-59.087643685833996,0.0,-59.087643685833996
0.075,6,-0.37530767822265626,0.025973909378051756,0.0,12.986955,0.0,-187.65384,11.964268684387207,0.0,-136.75216674804688,-8.142015502698996e-06,-9.210006043625512,-1.4517615625209146e-06,-187.65383911132812,12.986954689025879,50.0,10.0,-1.6284031005397993e-09,-0.018420012087251025,-2.903523125041829e-10,1.9550323486328127e-09,0.07561583709716797,2.950429916381836e-10,-7.3746514320373535,7.37465184082949,0.0,336,-89.784235426961,0.0,-89.784235426961
0.0875,7,-0.4442856750488281,0.028350822448730467,0.0,14.175411,0.0,-222.14284,12.370626449584961,0.0,-141.39691162109375,4.099099896848202e-06,-15.722965255904763,1.4920396584905404e-07,-222.14283752441406,14.175411224365234,50.0,10.0,8.198199793696404e-10,-0.03144593051180952,2.9840793169810806e-11,1.163482666015625e-08,0.07982060241699218,-8.52346420288086e-10,-9.748946189880371,9.748945861993025,0.0,392,-117.60954646236497,0.0,-117.60954646236497
0.1,8,-0.4732562561035156,0.027218414306640626,0.0,13.609207,0.0,-236.62813,10.967279434204102,0.0,-125.35648345947266,-8.374925135967715e-05,-23.924233885281254,-7.660902322292884e-06,-236.6281280517578,13.609207153320312,50.0,10.0,-1.674985027193543e-08,-0.04784846777056251,-1.5321804644585769e-09,-6.818771362304688e-09,0.07060845947265625,-1.5050172805786134e-09,-11.946808815002441,11.946809418035505,0.0,448,-126.97563136730305,0.0,-126.97563136730305
0.1125,9,-0.44779779052734375,0.02219936943054199,0.0,11.099685,0.0,-223.8989,7.85797119140625,0.0,-89.8170166015625,7.630633956878796e-05,-31.929733106527504,5.7782406848172485e-06,-223.89889526367188,11.099684715270996,50.0,10.0,1.5261267913757593e-08,-0.06385946621305501,1.1556481369634498e-09,1.3875961303710938e-08,0.04814765548706055,1.3530254364013673e-09,-13.561294555664062,13.561294459880006,0.0,504,-109.93046050562758,0.0,-109.93046050562758
0.125,10,-0.3814915771484375,0.015066475868225097,0.0,7.533238,0.0,-190.74579,4.070067882537842,0.0,-46.521087646484375,-7.849282454941431e-05,-37.26380636351777,-6.674555548480399e-06,-190.74578857421875,7.533237934112549,50.0,10.0,-1.5698564909882862e-08,-0.07452761272703555,-1.3349111096960797e-09,-1.2135505676269531e-08,0.020810697555541994,-1.049041748046875e-09,-14.445952415466309,14.44595053023928,0.0,560,-75.33237934112549,0.0,-75.33237934112549
0.1375,11,-0.3695547790527344,0.013093235015869141,0.0,6.5466175,0.0,-184.77739,2.9612300395965576,0.0,-33.84700393676758,-1.308697604684994e-05,-39.30214102230958,-1.420859168099753e-07,-184.7773895263672,6.54661750793457,50.0,10.0,-2.6173952093699883e-09,-0.07860428204461915,-2.8417183361995057e-11,1.4197826385498047e-08,0.013718113899230958,-1.4901161193847657e-12,-15.116592407226562,15.116592442456458,0.0,616,-65.4661750793457,0.0,-65.4661750793457
0.15,12,-0.37207293701171873,0.012477638244628907,0.0,6.238819,0.0,-186.03647,2.563518524169922,0.0,-29.301137924194336,-0.00010017555556807167,-40.649653160973976,-9.630338131894067e-06,-186.03646850585938,6.238819122314453,50.0,10.0,-2.0035111113614335e-08,-0.08129930632194796,-1.9260676263788135e-09,-2.142190933227539e-08,0.011636856079101563,-1.9706785678863526e-09,-15.69708251953125,15.697080075124973,0.0,672,-62.38819122314453,0.0,-62.38819122314453
