time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,bound_linear_impulse_x,coupled_linear_impulse_x,bound_vortex_strength_x,coupled_vortex_strength_x,bound_linear_impulse_y,coupled_linear_impulse_y,bound_vortex_strength_y,coupled_vortex_strength_y,bound_linear_impulse_z,coupled_linear_impulse_z,bound_vortex_strength_z,coupled_vortex_strength_z,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0625,5,5.127791881561279,39.16555404663086,17.391647338867188,0.0,direct_energy_backward_difference,-0.4300116896629333,-2.692104317247867e-09,18.35570526123047,8.457573130726814e-08,-15.307744979858398,-7.450580596923828e-09,0.6506714224815369,1.006992533802986e-08,-16.572736740112305,-5.4189013098948635e-06,17.27010726928711,-6.5192580223083504e-09,280,0.9708274006843568,0.1630830764770507,0.3194589912891388,0.5883979797363281,0.0028434658888727,0.0112290140241384,0.0128434654325246,0.021229013800621,0.0,0.3194589963981083,0.5793163267703552,1.073895737739356,0.1932115340742936,11.942404659432553,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0228802760131657,0.0,0.0,0.6506714224815369,0.0,8.457573130726814e-08,0.0,1.006992533802986e-08,15.307754516601562,9.5367431640625e-06,-4.371569218732052,-20.944305958844357,0.0,-7.450580596923828e-09,0.0228802760131657,0.0162728043136501,0.9708274006843568,58.55418033892812
0.125,10,6.621182441711426,47.83623504638672,23.006324768066406,23.894248962402344,direct_energy_backward_difference,-0.5542635917663574,1.462467480450868e-09,22.74797821044922,-2.952292561531067e-07,-17.40591049194336,-9.546056389808656e-09,1.341997146606445,3.346940502524376e-09,-28.01825523376465,9.313225746154785e-08,37.233280181884766,7.660128176212312e-08,560,0.9708288311958312,0.1630830764770507,0.3223006725311279,0.5906493663787842,0.0033731495495885,0.0149475950747728,0.0133731495589017,0.0249475948512554,0.0,0.3223006748461297,0.5523802104657075,1.0739695101690212,0.1434886025358274,12.648480535361312,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.026277288980782,0.0,0.0,1.341997146606445,0.0,-2.952292561531067e-07,0.0,3.346940502524376e-09,17.405887603759766,-2.288818359375e-05,-4.681262015955494,-32.699517249720145,0.0,-9.546056389808656e-09,0.026277288980782,0.019424671118971,0.9708288311958312,58.68187366335661
0.1875,15,7.741538047790527,55.9210205078125,27.949039459228516,17.925689697265625,direct_energy_backward_difference,-0.6761590242385864,-1.2725649867206812e-08,26.446449279785156,-9.173527359962465e-08,-18.565189361572266,-1.0884832590818403e-08,2.1047627925872803,1.9557774066925052e-08,-39.9059944152832,-3.2410025596618652e-06,64.59095764160156,-1.6437843441963198e-07,840,0.9708264470100404,0.1630830764770507,0.3251368105411529,0.5929079651832581,0.0034471894614398,0.0152458744123578,0.0134471897035837,0.0252458751201629,0.0,0.3251368313318207,0.5341653791591697,0.9769487382437868,0.1215348305774095,14.659588414397716,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0273051595315337,0.0,0.0,2.1047627925872803,0.0,-9.173527359962465e-08,0.0,1.9557774066925052e-08,18.565214157104492,2.47955322265625e-05,-4.880234773507783,-44.78622918879098,0.0,-1.0884832590818403e-08,0.0273051595315337,0.0209847749567832,0.9708264470100404,58.92970927747945
0.25,20,8.78485107421875,63.96475982666016,32.955474853515625,16.693008422851562,direct_energy_backward_difference,-0.7886889576911926,1.3943463272880764e-08,29.875288009643555,-5.8062141761183745e-08,-19.298622131347656,-6.239861249923706e-08,2.9159464836120605,9.278301149606705e-08,-52.13013458251953,-1.1613535662036156e-06,99.61074829101562,8.44709575176239e-07,1120,0.9708200693130492,0.1630830764770507,0.3279199302196502,0.5961406826972961,0.0034081113990396,0.0151217887178063,0.0134081104770302,0.0251217894256114,0.0,0.3279199237669153,0.5296721462348657,1.0741542443673886,0.1134812526526856,11.98677536559819,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0268991831690073,0.0,0.0,2.9159464836120605,0.0,-5.8062141761183745e-08,0.0,9.278301149606705e-08,19.29863166809082,9.5367431640625e-06,-5.015027563629748,-57.14516214614928,0.0,-6.239861249923706e-08,0.0268991831690073,0.0218947129210915,0.9708200693130492,59.27122689529936
0.3125,25,9.83834457397461,71.92893981933594,38.03057098388672,16.85589599609375,direct_energy_backward_difference,-0.895458459854126,1.2383679859340193e-08,33.17436981201172,-1.4901161193847656e-08,-19.79612159729004,-2.5145709514617923e-08,3.761476516723633,-9.778887033462524e-09,-64.59868621826172,3.2186508178710938e-06,142.45416259765625,1.043081283569336e-07,1400,0.9708097577095032,0.1630830764770507,0.3306333720684051,0.5994293093681335,0.0033176697324961,0.0146936299279332,0.0133176697418093,0.0246936306357383,0.0,0.3306333838828972,0.5219809346505652,0.9544561386186606,0.1021239543937278,12.87740090351,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0274567495565861,0.0,0.0,3.761476516723633,0.0,-1.4901161193847656e-08,0.0,-9.778887033462524e-09,19.796096801757812,-2.47955322265625e-05,-5.11056297543886,-69.70924919370057,0.0,-2.5145709514617923e-08,0.0274567495565861,0.0224858696798136,0.9708097577095032,59.677518756808
0.375,30,10.93004035949707,79.76598358154297,43.13254165649414,17.467132568359375,direct_energy_backward_difference,-0.997121810913086,1.7496859072707593e-08,36.404052734375,-2.3037864593788981e-07,-20.149646759033203,3.1082890927791595e-08,4.632251262664795,1.4668330550193788e-08,-77.24819946289062,-2.738215698627755e-07,193.23489379882812,4.76837158203125e-07,1680,0.9707953929901124,0.1630830764770507,0.3332754373550415,0.6028509140014648,0.0032120342366397,0.0141498958691954,0.013212033547461,0.0241498947143554,0.0,0.333275411020787,0.5155313055209763,0.9544072379403198,0.0931714900952887,13.508558632106968,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0280801394023001,0.0,0.0,4.632251262664795,0.0,-2.3037864593788981e-07,0.0,1.4668330550193788e-08,20.149641036987305,-5.7220458984375e-06,-5.1804790189226,-82.42867848181322,0.0,3.1082890927791595e-08,0.0280801394023001,0.0228959789703285,0.9707953929901124,60.121509913585214
0.4375,35,12.06643772125244,87.44710540771484,48.228553771972656,18.182357788085938,direct_energy_backward_difference,-1.0938894748687744,-6.204354576766491e-07,39.59206771850586,9.5367431640625e-07,-20.40787696838379,1.212581992149353e-06,5.522120952606201,-2.4996697902679443e-06,-90.0333251953125,-6.9141387939453125e-06,252.036376953125,-9.92417335510254e-06,1960,0.970776617527008,0.1630830764770507,0.3358496725559234,0.6062434315681458,0.0031043470371514,0.0135671785101294,0.0131043475121259,0.0235671773552894,0.0,0.3358496765016901,0.5120465727938946,0.954371614175717,0.0893393452844927,12.209658772065517,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0285241672769188,0.0,0.0,5.522120952606201,0.0,9.5367431640625e-07,0.0,-2.4996697902679443e-06,20.407880783081055,3.814697265625e-06,-5.2327208594419234,-95.26604605475444,0.0,1.212581992149353e-06,0.0285241672769188,0.0231926854991318,0.970776617527008,60.57995122513979
0.5,40,13.246796607971191,94.95689392089844,53.29618835449219,18.8857421875,direct_energy_backward_difference,-1.185876727104187,-1.4575489331036806e-06,42.75650787353515,4.2813189793378115e-07,-20.60365867614746,2.109445631504059e-06,6.4267449378967285,-4.530767910182476e-06,-102.92332458496094,-2.1901119907852266e-05,318.9222412109375,-2.0887702703475952e-05,2240,0.9707540273666382,0.1630830764770507,0.3383611440658569,0.6095978617668152,0.0029999115504324,0.0129781132563948,0.0129999108612537,0.0229781121015548,0.0,0.3383611190398889,0.5081252763953557,0.9543444803830436,0.086926918737999,12.797987224946024,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0288514506537467,0.0,0.0,6.4267449378967285,0.0,4.2813189793378115e-07,0.0,-4.530767910182476e-06,20.6036376953125,-2.09808349609375e-05,-5.272929510235,-108.19625409519594,0.0,2.109445631504059e-06,0.0288514506537467,0.0234158510545676,0.9707540273666382,61.03380678249716
0.5625,45,14.466657638549805,102.29087829589844,58.320945739746094,19.517776489257812,direct_energy_backward_difference,-1.2733221054077148,-2.4641631171107292e-06,45.90398406982422,2.682209014892578e-07,-20.753475189208984,2.8032809495925903e-06,7.343169212341309,-6.838701665401459e-06,-115.8944091796875,-2.1696090698242188e-05,393.9422912597656,-3.5136938095092773e-05,2520,0.9707248210906982,0.1630830764770507,0.3408146798610687,0.6129095554351807,0.0029006632976233,0.0123989665880799,0.0129006626084446,0.022398967295885,0.0,0.340814690421971,0.5025107033994591,0.95432289534077,0.0866477623766089,12.102158260308808,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0291009731590747,0.0,0.0,7.343169212341309,0.0,2.682209014892578e-07,0.0,-6.838701665401459e-06,20.75353240966797,5.7220458984375e-05,-5.304246440372902,-121.1986556200604,0.0,2.8032809495925903e-06,0.0291009731590747,0.0235860938894415,0.9707248210906982,61.46834331364279
0.625,50,15.721321105957031,109.44937133789062,63.29363250732422,20.074615478515625,direct_energy_backward_difference,-1.3564964532852173,-2.726781531237066e-06,49.040283203125,-1.0011717677116397e-07,-20.870691299438477,3.0508963391184807e-06,8.269189834594727,-7.760012522339821e-06,-128.93008422851562,-3.191616269759834e-05,477.1344909667969,-4.192627966403961e-05,2800,0.9706907868385316,0.1630830764770507,0.3432149589061737,0.6161766052246094,0.0028071426786482,0.0118381138890981,0.0128071429207921,0.0218381136655807,0.0,0.3432149790387068,0.4977433046672668,0.9543067717933408,0.0865265622197798,11.997739626472251,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0292946151923388,0.0,0.0,8.269189834594727,0.0,-1.0011717677116397e-07,0.0,-7.760012522339821e-06,20.87079620361328,0.0001049041748046,-5.329080547538026,-134.25916477605364,0.0,3.0508963391184807e-06,0.0292946151923388,0.0237196904739844,0.9706907868385316,61.8724559174704
