time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,bound_linear_impulse_x,coupled_linear_impulse_x,bound_vortex_strength_x,coupled_vortex_strength_x,bound_linear_impulse_y,coupled_linear_impulse_y,bound_vortex_strength_y,coupled_vortex_strength_y,bound_linear_impulse_z,coupled_linear_impulse_z,bound_vortex_strength_z,coupled_vortex_strength_z,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0625,5,13.084038734436035,99.7266616821289,44.35303497314453,0.0,direct_energy_backward_difference,-1.1799055337905884,7.1013346314430245e-09,29.327049255371097,9.775976650416852e-08,-24.456947326660156,-2.3283064365386963e-09,1.660819411277771,1.210719347000122e-08,-26.412805557250977,1.0712357152442564e-06,27.523712158203125,-1.1920928955078125e-07,280,1.5515574216842651,0.1630830764770507,0.3197356164455414,0.588606595993042,0.0046484461054205,0.0180858243256807,0.014648444019258,0.0280858241021633,0.0,0.31973560324737,0.5791601261432395,1.0739540675502732,0.1912245036873002,11.975757847855586,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0384361863136291,0.0,0.0,1.660819411277771,0.0,9.775976650416852e-08,0.0,1.210719347000122e-08,24.45694923400879,1.9073486328125e-06,-6.979572532915697,-33.39237809016667,0.0,-2.3283064365386963e-09,0.0384361863136291,0.0263165288639851,1.5515574216842651,93.60462673223068
0.125,10,16.88535499572754,121.46820068359376,58.57143020629883,60.82106018066406,direct_energy_backward_difference,-1.55177640914917,-9.74978320300579e-09,36.38871383666992,-2.253800630569458e-07,-27.807435989379883,1.781154423952103e-08,3.423434257507324,3.812601789832115e-08,-44.619483947753906,-2.644956111907959e-06,59.325042724609375,-9.915092960000038e-07,560,1.5515613555908203,0.1630830764770507,0.3229861557483673,0.5909610986709595,0.0054243113845586,0.0234529413282871,0.0154243092983961,0.0334529429674148,0.0,0.3229861556685396,0.5524724439307922,1.0741312510752257,0.138056435375884,12.827840975145808,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0441266466863453,0.0,0.0,3.423434257507324,0.0,-2.253800630569458e-07,0.0,3.812601789832115e-08,27.80744171142578,5.7220458984375e-06,-7.475587048948968,-52.09507099670287,0.0,1.781154423952103e-08,0.0441266466863453,0.0313759916310552,1.5515613555908203,94.107361049024
0.1875,15,19.729318618774418,141.5154571533203,71.00662231445312,45.50341796875,direct_energy_backward_difference,-1.9104855060577393,4.43396857008338e-08,42.37101745605469,-2.7008354663848877e-08,-29.658863067626953,-6.996560841798782e-08,5.366968154907227,8.475035429000854e-08,-63.52501678466797,-4.4405460357666016e-06,102.91513061523438,6.30505383014679e-07,840,1.5515468120574951,0.1630830764770507,0.326235681772232,0.5940513610839844,0.0054666358046233,0.0236644707620143,0.0154666351154446,0.0336644724011421,0.0,0.3262356538325548,0.5344966223271406,0.9724495186956026,0.1207253593603935,15.045239117548778,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0440908325836062,0.0,0.0,5.366968154907227,0.0,-2.7008354663848877e-08,0.0,8.475035429000854e-08,29.65883445739746,-2.86102294921875e-05,-7.793948922419622,-71.31896570708759,0.0,-6.996560841798782e-08,0.0440908325836062,0.033909361022813,1.5515468120574951,95.01630904485174
0.25,20,22.373878479003903,161.35665893554688,83.56147003173828,42.312957763671875,direct_energy_backward_difference,-2.2243752479553223,-3.622699296101928e-08,47.936222076416016,3.646709956228733e-08,-30.829774856567383,-1.5832483768463135e-08,7.432768821716309,-1.3085082173347473e-07,-82.96361541748047,2.0210511593177216e-06,158.7207794189453,6.351619958877563e-07,1120,1.5515122413635254,0.1630830764770507,0.3294022679328918,0.5979717373847961,0.0053432309068739,0.0230469889938831,0.0153432302176952,0.0330469906330108,0.0,0.3294022533643458,0.5302917115168782,1.0745893169038228,0.1205834928581767,12.497977881526577,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0452947923913598,0.0,0.0,7.432768821716309,0.0,3.646709956228733e-08,0.0,-1.3085082173347473e-07,30.82970428466797,-7.05718994140625e-05,-8.009583413454767,-90.97319883093525,0.0,-1.5832483768463135e-08,0.0452947923913598,0.0353909632586935,1.5515122413635254,96.15213082998063
0.3125,25,25.043527603149418,180.9702606201172,96.26688385009766,42.714385986328125,direct_energy_backward_difference,-2.5095508098602295,-1.4977995306253431e-06,53.297237396240234,8.940696716308596e-08,-31.62424087524414,2.074986696243286e-06,9.58569622039795,-3.0472874641418457e-06,-102.79029083251952,-4.673004150390625e-05,226.99981689453125,-1.77919864654541e-05,1400,1.5514570474624634,0.1630830764770507,0.3324588537216186,0.602157711982727,0.0051473877392709,0.0219533145427703,0.0151473879814147,0.0319533124566078,0.0,0.3324588590966804,0.5228985997746892,0.953774786597434,0.1143106915398379,13.593970238578777,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0467011222615838,0.0,0.0,9.58569622039795,0.0,8.940696716308596e-08,0.0,-3.0472874641418457e-06,31.624086380004883,-0.0001544952392578,-8.162204713307286,-110.95249554582682,0.0,2.074986696243286e-06,0.0467011222615838,0.0363531522437591,1.5514570474624634,97.3552153181344
0.375,30,27.81015968322754,200.28591918945312,109.03327941894533,44.26611328125,direct_energy_backward_difference,-2.7705812454223633,-3.0391420295927674e-06,58.54421615600586,-5.425536073744297e-07,-32.18874740600586,2.496526576578617e-06,11.80362033843994,-5.041947588324547e-06,-122.904052734375,-3.278654912719503e-05,307.9359436035156,-2.432987093925476e-05,1680,1.5513794422149658,0.1630830764770507,0.3354027867317199,0.6063080430030823,0.0049323951825499,0.0207248870283365,0.0149323940277099,0.0307248868048191,0.0,0.3354027817912755,0.5169106184460257,0.9536498809510552,0.1090627670366477,14.40882914812309,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.04765978846699,0.0,0.0,11.80362033843994,0.0,-5.425536073744297e-07,0.0,-5.041947588324547e-06,32.188636779785156,-0.0001106262207031,-8.27400870325138,-131.17806143762638,0.0,2.496526576578617e-06,0.04765978846699,0.0370203694539478,1.5513794422149658,98.50515571449858
0.4375,35,30.69079971313477,219.26187133789065,121.79298400878906,46.090240478515625,direct_energy_backward_difference,-3.010136127471924,-5.145091563463211e-06,63.7193603515625,-5.066394805908203e-07,-32.60050582885742,3.1925737857818604e-06,14.07174015045166,-7.594004273414612e-06,-143.23269653320312,-9.751319885253906e-05,401.6643676757813,-4.2766332626342773e-05,1960,1.5512778759002686,0.1630830764770507,0.3382408320903778,0.610393762588501,0.0047193001955747,0.0194890685379505,0.0147192999720573,0.029489068314433,0.0,0.3382407851137068,0.5138846319758976,0.9535577700580732,0.1061519733079662,13.16393806878282,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0483495395630598,0.0,0.0,14.07174015045166,0.0,-5.066394805908203e-07,0.0,-7.594004273414612e-06,32.600440979003906,-6.4849853515625e-05,-8.35740280512217,-151.5900993383253,0.0,3.1925737857818604e-06,0.0483495395630598,0.0375028884131273,1.5512778759002686,99.51806735210847
0.5,40,33.685245513916016,237.8800048828125,134.5018310546875,47.9111328125,direct_energy_backward_difference,-3.2310218811035156,-6.855814717710018e-06,68.854736328125,-1.909444108605385e-06,-32.914154052734375,1.4632241800427437e-06,16.380050659179688,-4.749861545860767e-06,-163.72918701171875,-3.1640342058381066e-05,508.2925109863281,-3.503449261188507e-05,2240,1.551145076751709,0.1630830764770507,0.3409822285175323,0.614401638507843,0.004517548251897,0.018300911411643,0.0145175494253635,0.0283009111881256,0.0,0.3409822493725057,0.5105353088008255,0.9534920203298456,0.1063982984947258,13.797454251156848,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0488621765747666,0.0,0.0,16.380050659179688,0.0,-1.909444108605385e-06,0.0,-4.749861545860767e-06,32.91411209106445,-4.1961669921875e-05,-8.421987675226287,-172.15117468694504,0.0,1.4632241800427437e-06,0.0488621765747666,0.0378673280844425,1.551145076751709,100.33741618238712
0.5625,45,36.78180694580078,256.13067626953125,147.13014221191406,49.54498291015625,direct_energy_backward_difference,-3.437532901763916,1.4939345419406893e-05,73.9623794555664,-1.150369644165039e-05,-33.153507232666016,-2.6676803827285767e-05,18.721099853515625,7.921643555164337e-05,-184.3538360595703,4.291534423828125e-05,627.8968505859375,0.0003243088722229,2520,1.5509817600250244,0.1630830764770507,0.3436374366283417,0.6183256506919861,0.004332120064646,0.0175045616924762,0.0143321184441447,0.0275045614689588,0.0,0.3436374158199344,0.5054324301000984,0.953434971673062,0.1082351758950544,13.26675927498967,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0492541855201125,0.0,0.0,18.721099853515625,0.0,-1.150369644165039e-05,0.0,7.921643555164337e-05,33.153499603271484,-7.62939453125e-06,-8.472006120303464,-192.82584217987375,0.0,-2.6676803827285767e-05,0.0492541855201125,0.038144821018957,1.5509817600250244,100.92813291610788
0.625,50,39.96918487548828,274.0050354003906,159.65505981445312,50.998046875,direct_energy_backward_difference,-3.634943962097168,2.47732677962631e-05,79.05582427978516,-1.606543082743883e-05,-33.34075927734375,-3.354440559633076e-05,21.08913230895996,0.0001140611711889,-205.08108520507812,0.0001891780993901,760.5489501953125,0.0005019009113311,2800,1.5507839918136597,0.1630830764770507,0.3462168574333191,0.6221638321876526,0.0041662324219942,0.016809869557619,0.0141662321984767,0.0268098693341016,0.0,0.3462168647402099,0.5014020066014837,0.9533905919898672,0.1092364211321953,13.217003229519989,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0495608756318688,0.0,0.0,21.08913230895996,0.0,-1.606543082743883e-05,0.0,0.0001140611711889,33.34081268310547,5.340576171875e-05,-8.511709908037812,-213.59279511311593,0.0,-3.354440559633076e-05,0.0495608756318688,0.0383621759589059,1.5507839918136597,101.27181493071078
