time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,local_chord,spanwise_station_width,circulation,circulation_magnitude,relative_speed,section_lift_coefficient_from_circulation,lift_per_span,drag_per_span,section_lift_coefficient,section_force_x,section_force_y,section_force_z,span_coordinate_normalized
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1.0,0.652332603931427,-3.5593323707580566,3.5593323707580566,9.887775421142578,0.7199460382458321,247.1328427344402,47.45498883587336,4.942656854688804,-3.2380640506744385,0.0,164.12612915039062,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1.0,0.5863497853279114,-3.5833985805511475,3.5833985805511475,9.887140274047852,0.7248604715272404,248.2954821208195,47.69102954788643,4.96590964241639,-2.9168951511383057,0.0,148.22052001953125,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:2,mirror,2,-1.5022028684616089,1.5022028684616089,-1.765723466873169,-1.2386823892593384,1.0,0.5270410776138306,-3.5922813415527344,3.5922813415527344,9.886886596679688,0.7266759472611186,248.66546409118428,47.771846659964595,4.973309281823686,-2.6207327842712402,0.0,133.42774963378906,-0.3004405736923218
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:3,mirror,3,-2.002588987350464,2.002588987350464,-2.239454746246338,-1.765723466873169,1.0,0.47373127937316895,-3.589811325073242,3.589811325073242,9.886571884155273,0.7261994080731781,248.3709055917614,47.7283104125481,4.9674181118352285,-2.346809148788452,0.0,119.79085540771484,-0.40051779747009275
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:4,mirror,4,-2.452361822128296,2.452361822128296,-2.665268659591675,-2.239454746246338,1.0,0.4258139133453369,-3.5771710872650146,3.5771710872650146,9.886077880859375,0.7236785164702868,247.44494499020007,47.56960933592791,4.948898899804002,-2.0935556888580322,0.0,107.27442932128906,-0.49047236442565917
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:5,mirror,5,-2.856640338897705,2.856640338897705,-3.0480120182037354,-2.665268659591675,1.0,0.38274335861206055,-3.5536012649536133,3.5536012649536133,9.885299682617188,0.7189668252956349,245.80043499237598,47.28161407524409,4.91600869984752,-1.8587497472763062,0.0,95.78516387939453,-0.571328067779541
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:6,mirror,6,-3.2200264930725098,3.2200264930725098,-3.392040967941284,-3.0480120182037354,1.0,0.34402894973754883,-3.516038417816162,3.516038417816162,9.884082794189453,0.7114546672723406,243.20904919853862,46.82373989433966,4.864180983970773,-1.639461636543274,0.0,85.19173431396484,-0.644005298614502
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:7,mirror,7,-3.546656608581543,3.546656608581543,-3.7012720108032227,-3.392040967941284,1.0,0.3092310428619385,-3.4587490558624268,3.4587490558624268,9.882223129272461,0.6999941229048252,239.27621819730635,46.12389600955192,4.785524363946127,-1.432464838027954,0.0,75.34017181396484,-0.7093313217163086
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:8,mirror,8,-3.8402483463287354,3.8402483463287354,-3.979224443435669,-3.7012720108032227,1.0,0.2779524326324463,-3.372770309448242,3.372770309448242,9.87942123413086,0.6827870235548188,233.40189452222498,45.06916318922558,4.6680378904444995,-1.234856128692627,0.0,66.06148529052734,-0.768049669265747
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:9,mirror,9,-4.1041436195373535,4.1041436195373535,-4.229062557220459,-3.979224443435669,1.0,0.24983811378479004,-3.2448673248291016,3.2448673248291016,9.875266075134277,0.6571706119391786,224.7073523800023,43.492146288234096,4.4941470476000465,-1.043710470199585,0.0,57.17282485961914,-0.8208287239074707
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:10,mirror,10,-4.34134578704834,4.34134578704834,-4.453629493713379,-4.229062557220459,1.0,0.22456693649291992,-3.0554847717285156,3.0554847717285156,9.869178771972656,0.6191973703841994,211.8910284477854,41.140125842623036,4.2378205689557085,-0.8563874959945679,0.0,48.46473693847656,-0.8682691574096679
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:11,mirror,11,-4.554555416107178,4.554555416107178,-4.655481815338135,-4.453629493713379,1.0,0.20185232162475586,-2.774474620819092,2.774474620819092,9.86032772064209,0.5627550522506207,192.91042319732333,37.61090477728122,3.8582084639464664,-0.6700116395950317,0.0,39.66693115234375,-0.9109110832214355
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:12,mirror,12,-4.746199131011963,4.746199131011963,-4.836916923522949,-4.655481815338135,1.0,0.18143510818481445,-2.3531675338745117,2.3531675338745117,9.84709358215332,0.47794153965172964,164.17218625046635,32.19331640824698,3.283443725009327,-0.4796240031719208,0.0,30.350101470947266,-0.9492398262023926
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:13,mirror,13,-4.918458461761475,4.918458461761475,-5.0,-4.836916923522949,1.0,0.16308307647705078,-1.684300422668457,1.684300422668457,9.824747085571289,0.3428689630376411,117.10194482740856,23.189740588510364,2.3420388965481713,-0.2713497281074524,0.0,19.4663143157959,-0.9836916923522949
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:0,orig,0,0.3261663019657135,0.3261663019657135,0.0,0.652332603931427,1.0,0.652332603931427,3.559333086013794,3.559333086013794,9.887775421142578,0.7199461829205859,247.13291099439442,47.45500521323154,4.942658219887888,-3.238062858581543,0.0,164.1261749267578,0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:1,orig,1,0.9455074667930603,0.9455074667930603,0.652332603931427,1.2386823892593384,1.0,0.5863497853279114,3.5833990573883057,3.5833990573883057,9.887140274047852,0.7248605679832723,248.29545666613652,47.69102413732653,4.9659091333227305,-2.9168951511383057,0.0,148.2205047607422,0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:2,orig,2,1.5022028684616089,1.5022028684616089,1.2386823892593384,1.765723466873169,1.0,0.5270410776138306,3.592282772064209,3.592282772064209,9.886886596679688,0.7266762366366385,248.66549212815994,47.771854006842254,4.973309842563199,-2.620732069015503,0.0,133.42776489257812,0.3004405736923218
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:3,orig,3,2.002588987350464,2.002588987350464,1.765723466873169,2.239454746246338,1.0,0.47373127937316895,3.589811325073242,3.589811325073242,9.886571884155273,0.7261994080731781,248.37092134472996,47.72831376094494,4.967418426894599,-2.346809148788452,0.0,119.79086303710938,0.40051779747009275
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:4,orig,4,2.452361822128296,2.452361822128296,2.239454746246338,2.665268659591675,1.0,0.4258139133453369,3.5771708488464355,3.5771708488464355,9.886077880859375,0.7236784682370881,247.44489299525316,47.56959542195382,4.948897859905063,-2.0935568809509277,0.0,107.27440643310547,0.49047236442565917
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:5,orig,5,2.856640338897705,2.856640338897705,2.665268659591675,3.0480120182037354,1.0,0.38274335861206055,3.5536017417907715,3.5536017417907715,9.885299682617188,0.7189669217696263,245.80043440957022,47.281616817129745,4.916008688191404,-1.8587486743927002,0.0,95.78516387939453,0.571328067779541
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:6,orig,6,3.2200264930725098,3.2200264930725098,3.0480120182037354,3.392040967941284,1.0,0.34402894973754883,3.516038417816162,3.516038417816162,9.884082794189453,0.7114546672723406,243.20904941466875,46.823738877527425,4.864180988293375,-1.6394619941711426,0.0,85.19173431396484,0.644005298614502
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:7,orig,7,3.546656608581543,3.546656608581543,3.392040967941284,3.7012720108032227,1.0,0.3092310428619385,3.458747625350952,3.458747625350952,9.882223129272461,0.6999938333927477,239.27617017174992,46.12388461906071,4.785523403434999,-1.4324651956558228,0.0,75.34015655517578,0.7093313217163086
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:8,orig,8,3.8402483463287354,3.8402483463287354,3.7012720108032227,3.979224443435669,1.0,0.2779524326324463,3.372769594192505,3.372769594192505,9.87942123413086,0.6827868787577259,233.40189461139494,45.069162769713934,4.668037892227899,-1.2348562479019165,0.0,66.06148529052734,0.768049669265747
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:9,orig,9,4.1041436195373535,4.1041436195373535,3.979224443435669,4.229062557220459,1.0,0.24983811378479004,3.2448678016662598,3.2448678016662598,9.875266075134277,0.6571707085111909,224.70735218159382,43.49214722167278,4.494147043631877,-1.0437102317810059,0.0,57.17282485961914,0.8208287239074707
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:10,orig,10,4.34134578704834,4.34134578704834,4.229062557220459,4.453629493713379,1.0,0.22456693649291992,3.055485486984253,3.055485486984253,9.869178771972656,0.6191975153315661,211.891045725694,41.14012625895536,4.23782091451388,-0.8563882112503052,0.0,48.46474075317383,0.8682691574096679
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:11,orig,11,4.554555416107178,4.554555416107178,4.453629493713379,4.655481815338135,1.0,0.20185232162475586,2.774474859237671,2.774474859237671,9.86032772064209,0.56275510060978,192.91044168280297,37.610908706491216,3.858208833656059,-0.6700116395950317,0.0,39.666934967041016,0.9109110832214355
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:12,orig,12,4.746199131011963,4.746199131011963,4.655481815338135,4.836916923522949,1.0,0.18143510818481445,2.353168487548828,2.353168487548828,9.84709358215332,0.47794173334833834,164.17224760600294,32.193331129053796,3.2834449521200586,-0.4796237051486969,0.0,30.350112915039062,0.9492398262023926
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:13,orig,13,4.918458461761475,4.918458461761475,4.836916923522949,5.0,1.0,0.16308307647705078,1.6843012571334839,1.6843012571334839,9.824747085571289,0.3428691329076682,117.10197910937904,23.189748062193924,2.342039582187581,-0.27134969830513,0.0,19.466320037841797,0.9836916923522949
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1.0,0.652332603931427,-3.4390242099761963,3.4390242099761963,9.901082038879395,0.6946764397006098,36.21454884974346,2.3776215909743694,0.7242909769948692,-3.3945844173431396,0.0,23.43016242980957,-0.0652332603931427
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1.0,0.5863497853279114,-3.4591243267059326,3.4591243267059326,9.900530815124512,0.6987755285649155,36.10864040826795,2.3510836461593336,0.722172808165359,-3.053534746170044,0.0,20.996246337890625,-0.18910149335861207
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:2,mirror,2,-1.5022028684616089,1.5022028684616089,-1.765723466873169,-1.2386823892593384,1.0,0.5270410776138306,-3.4638476371765137,3.4638476371765137,9.900379180908203,0.6997403986013312,35.91127910408434,2.318097719245349,0.7182255820816869,-2.74005126953125,0.0,18.76713752746582,-0.3004405736923218
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:3,mirror,3,-2.002588987350464,2.002588987350464,-2.239454746246338,-1.765723466873169,1.0,0.47373127937316895,-3.4579803943634033,3.4579803943634033,9.900161743164062,0.6985704848208355,35.64980009855155,2.288681845023004,0.7129960019710311,-2.4507737159729004,0.0,16.744794845581055,-0.40051779747009275
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:4,mirror,4,-2.452361822128296,2.452361822128296,-2.665268659591675,-2.239454746246338,1.0,0.4258139133453369,-3.4424002170562744,3.4424002170562744,9.899736404418945,0.6954529042853484,35.29985892044878,2.2608052478782596,0.7059971784089756,-2.1835107803344727,0.0,14.902856826782227,-0.49047236442565917
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:5,mirror,5,-2.856640338897705,2.856640338897705,-3.0480120182037354,-2.665268659591675,1.0,0.38274335861206055,-3.415839433670044,3.415839433670044,9.898963928222656,0.6901407982569248,34.81630806368674,2.230062227622022,0.6963261612737348,-1.9356814622879028,0.0,13.211973190307617,-0.571328067779541
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:6,mirror,6,-3.2200264930725098,3.2200264930725098,-3.392040967941284,-3.0480120182037354,1.0,0.34402894973754883,-3.375030279159546,3.375030279159546,9.89764404296875,0.6819865948921764,34.14528608302539,2.1937001736705533,0.6829057216605078,-1.704127311706543,0.0,11.647177696228027,-0.644005298614502
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:7,mirror,7,-3.546656608581543,3.546656608581543,-3.7012720108032227,-3.392040967941284,1.0,0.3092310428619385,-3.3142521381378174,3.3142521381378174,9.895490646362305,0.6698509971016292,33.22548982076042,2.150009416325471,0.6645097964152085,-1.4858369827270508,0.0,10.188063621520996,-0.7093313217163086
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:8,mirror,8,-3.8402483463287354,3.8402483463287354,-3.979224443435669,-3.7012720108032227,1.0,0.2779524326324463,-3.224975109100342,3.224975109100342,9.892107009887695,0.6520299681102933,31.980997163211622,2.097812605026801,0.6396199432642324,-1.2778176069259644,0.0,8.816177368164062,-0.768049669265747
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:9,mirror,9,-4.1041436195373535,4.1041436195373535,-4.229062557220459,-3.979224443435669,1.0,0.24983811378479004,-3.0950191020965576,3.0950191020965576,9.886978149414062,0.6260798912112453,30.322821723048158,2.036793654780955,0.6064564344609632,-1.077347993850708,0.0,7.51604700088501,-0.8208287239074707
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:10,mirror,10,-4.34134578704834,4.34134578704834,-4.453629493713379,-4.229062557220459,1.0,0.22456693649291992,-2.9069440364837646,2.9069440364837646,9.87947940826416,0.5884812177556872,28.140024027577667,1.966620559381201,0.5628004805515533,-0.8818731904029846,0.0,6.273048400878906,-0.8682691574096679
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:11,mirror,11,-4.554555416107178,4.554555416107178,-4.655481815338135,-4.453629493713379,1.0,0.20185232162475586,-2.6346192359924316,2.6346192359924316,9.868907928466797,0.5339231564604814,25.273144748052687,1.8849974237919345,0.5054628949610538,-0.6884731650352478,0.0,5.069072723388672,-0.9109110832214355
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:12,mirror,12,-4.746199131011963,4.746199131011963,-4.836916923522949,-4.655481815338135,1.0,0.18143510818481445,-2.2376110553741455,2.2376110553741455,9.853742599487305,0.4541647060053242,21.45624823864342,1.788252267175212,0.4291249647728684,-0.49202120304107666,0.0,3.8753044605255127,-0.9492398262023926
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:13,mirror,13,-4.918458461761475,4.918458461761475,-5.0,-4.836916923522949,1.0,0.16308307647705078,-1.6227167844772339,1.6227167844772339,9.828686714172363,0.3302001237128407,15.831565117910312,1.6211551390004093,0.31663130235820625,-0.2781933844089508,0.0,2.580408811569214,-0.9836916923522949
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:0,orig,0,0.3261663019657135,0.3261663019657135,0.0,0.652332603931427,1.0,0.652332603931427,3.4390244483947754,3.4390244483947754,9.901082038879395,0.6946764878607156,36.214492029772316,2.37760764525966,0.7242898405954463,-3.394585609436035,0.0,23.430124282836914,0.0652332603931427
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:1,orig,1,0.9455074667930603,0.9455074667930603,0.652332603931427,1.2386823892593384,1.0,0.5863497853279114,3.4591245651245117,3.4591245651245117,9.900530815124512,0.6987755767277027,36.10863680373258,2.3510849584864566,0.7221727360746516,-3.0535335540771484,0.0,20.996244430541992,0.18910149335861207
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:2,orig,2,1.5022028684616089,1.5022028684616089,1.2386823892593384,1.765723466873169,1.0,0.5270410776138306,3.4638469219207764,3.4638469219207764,9.900379180908203,0.6997402541107568,35.9112188318671,2.3180853704682574,0.7182243766373421,-2.740051031112671,0.0,18.767105102539062,0.3004405736923218
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:3,orig,3,2.002588987350464,2.002588987350464,1.765723466873169,2.239454746246338,1.0,0.47373127937316895,3.4579789638519287,3.4579789638519287,9.900162696838379,0.6985701285406624,35.649682160562065,2.288655747486199,0.7129936432112413,-2.4507741928100586,0.0,16.74473762512207,0.40051779747009275
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:4,orig,4,2.452361822128296,2.452361822128296,2.239454746246338,2.665268659591675,1.0,0.4258139133453369,3.4424004554748535,3.4424004554748535,9.899736404418945,0.6954529524520005,35.29991587887498,2.2608173547654897,0.7059983175774995,-2.1835107803344727,0.0,14.902881622314453,0.49047236442565917
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:5,orig,5,2.856640338897705,2.856640338897705,2.665268659591675,3.0480120182037354,1.0,0.38274335861206055,3.4158384799957275,3.4158384799957275,9.898963928222656,0.6901406055752819,34.816215384126146,2.2300428463916027,0.696324307682523,-1.9356813430786133,0.0,13.211936950683594,0.571328067779541
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:6,orig,6,3.2200264930725098,3.2200264930725098,3.0480120182037354,3.392040967941284,1.0,0.34402894973754883,3.375030755996704,3.375030755996704,9.897643089294434,0.6819867569577713,34.14533680903436,2.1937148525742987,0.6829067361806872,-1.704126000404358,0.0,11.647195816040039,0.644005298614502
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:7,orig,7,3.546656608581543,3.546656608581543,3.392040967941284,3.7012720108032227,1.0,0.3092310428619385,3.31425142288208,3.31425142288208,9.895490646362305,0.669850852539674,33.22547799470981,2.1500057202767513,0.6645095598941962,-1.4858373403549194,0.0,10.18805980682373,0.7093313217163086
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:8,orig,8,3.8402483463287354,3.8402483463287354,3.7012720108032227,3.979224443435669,1.0,0.2779524326324463,3.2249748706817627,3.2249748706817627,9.892107009887695,0.6520299199064923,31.980980293576113,2.0978094577403774,0.6396196058715222,-1.2778174877166748,0.0,8.81617259979248,0.768049669265747
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:9,orig,9,4.1041436195373535,4.1041436195373535,3.979224443435669,4.229062557220459,1.0,0.24983811378479004,3.0950186252593994,3.0950186252593994,9.886978149414062,0.6260797947536318,30.32278831766391,2.036785578635618,0.6064557663532782,-1.077348232269287,0.0,7.516038417816162,0.8208287239074707
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:10,orig,10,4.34134578704834,4.34134578704834,4.229062557220459,4.453629493713379,1.0,0.22456693649291992,2.9069437980651855,2.9069437980651855,9.87947940826416,0.5884811694902738,28.13998423418476,1.966613729134689,0.5627996846836951,-0.881872832775116,0.0,6.2730393409729,0.8682691574096679
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:11,orig,11,4.554555416107178,4.554555416107178,4.453629493713379,4.655481815338135,1.0,0.20185232162475586,2.6346182823181152,2.6346182823181152,9.868907928466797,0.5339229631920219,25.273064303836687,1.8849782116488987,0.5054612860767338,-0.6884735822677612,0.0,5.069056034088135,0.9109110832214355
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:12,orig,12,4.746199131011963,4.746199131011963,4.655481815338135,4.836916923522949,1.0,0.18143510818481445,2.2376108169555664,2.2376108169555664,9.853742599487305,0.4541646576138472,21.456146729733366,1.788230522861821,0.4291229345946673,-0.49202123284339905,0.0,3.8752856254577637,0.9492398262023926
0.025,2,flat_plate,main_wing,segment_0,main_wing:segment_0:orig:13,orig,13,4.918458461761475,4.918458461761475,4.836916923522949,5.0,1.0,0.16308307647705078,1.6227165460586548,1.6227165460586548,9.828686714172363,0.3302000751980012,15.831503589978684,1.621142247660602,0.3166300717995737,-0.2781933546066284,0.0,2.5803985595703125,0.9836916923522949
0.0375,3,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1.0,0.652332603931427,-3.5621328353881836,3.5621328353881836,9.906410217285156,0.7191571431541997,44.10303134265166,3.716929088238049,0.8820606268530332,-3.609898090362549,0.0,28.645273208618164,-0.0652332603931427
0.0375,3,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1.0,0.5863497853279114,-3.5758605003356934,3.5758605003356934,9.905953407287598,0.7219619057979839,43.972652358568304,3.6904222588832787,0.8794530471713661,-3.2440686225891113,0.0,25.669822692871094,-0.18910149335861207
0.0375,3,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:2,mirror,2,-1.5022028684616089,1.5022028684616089,-1.765723466873169,-1.2386823892593384,1.0,0.5270410776138306,-3.5757107734680176,3.5757107734680176,9.905780792236328,0.7219442562812387,43.75163875835971,3.6589552830770966,0.8750327751671942,-2.907938003540039,0.0,22.95595932006836,-0.3004405736923218
0.0375,3,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:3,mirror,3,-2.002588987350464,2.002588987350464,-2.239454746246338,-1.765723466873169,1.0,0.47373127937316895,-3.565769672393799,3.565769672393799,9.905518531799316,0.7199561862302799,43.44507121913449,3.6281019406042616,0.8689014243826898,-2.5979039669036865,0.0,20.4888858795166,-0.40051779747009275
0.0375,3,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:4,mirror,4,-2.452361822128296,2.452361822128296,-2.665268659591675,-2.239454746246338,1.0,0.4258139133453369,-3.546116352081299,3.546116352081299,9.904993057250977,0.7160260146745595,43.01588785429689,3.5939236919417157,0.8603177570859378,-2.311368227005005,0.0,18.23467445373535,-0.49047236442565917
