time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0625,5,0.1212870553135871,3.670009136199951,1.0944936275482178,0.0,direct_energy_backward_difference,-0.0335120856761932,-7.560174708487466e-12,2.1557328701019287,-1.3140137866685107e-09,2.107820510864258,-2.5465851649641987e-11,-0.0376590751111507,-2.273736754432321e-11,1.117688775062561,-1.3817818000916304e-07,-0.7395077347755432,-5.6461431086063385e-09,280,0.0455873757600784,0.0630659535527229,0.2282727360725402,0.5880538821220398,0.0001326601050095,0.0005900483811274,0.0101326601579785,0.0105900485068559,0.0,0.2282727216503449,0.446373096316451,0.764294568554476,0.1667380027847933,2.4600589914151714,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0038492656778544,0.0,0.0038492656778544,0.0030989981346139,0.0455873757600784,39.813734801849776
0.125,10,0.7865153551101685,10.077752113342283,4.02681827545166,10.6436527967453,direct_energy_backward_difference,-0.1117134541273117,8.481038094032556e-11,6.369295120239258,4.0919985622167594e-08,5.782095909118652,-4.374669515527785e-10,-0.1179699599742889,3.2741809263825417e-11,3.7066802978515625,1.5459954738616946e-07,-1.9827958345413208,3.1432136893272404e-09,560,0.0597823187708854,0.0810093656182289,0.2656643390655517,0.5901783108711243,0.0010234576184302,0.0047571114264428,0.0110234571620821,0.0147571116685867,0.0,0.2656643536607069,0.4357541211132413,1.0540945201416028,0.1337847343046802,5.636873540698511,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0086403296794742,0.0,0.0086403296794742,0.0061538527885799,0.0597823187708854,39.80943567122842
0.1875,15,1.0577460527420044,11.005084037780762,4.933623313903809,4.339691162109375,direct_energy_backward_difference,-0.1256356239318847,5.67524693906307e-10,8.266779899597168,-5.977926775813104e-08,6.801697731018066,9.258656064048407e-10,-0.1568571031093597,-4.019966581836343e-10,5.7927045822143555,2.1047890186309817e-07,-2.0800158977508545,-2.0139850676059723e-08,840,0.0597823187708854,0.0956933125853538,0.2877341508865356,0.5922973155975342,0.0012940999586135,0.0062880767509341,0.0112940995022654,0.0162880755960941,0.0,0.2877341550375734,0.4591085125813511,0.954918419234422,0.1210807096864892,7.610437432030104,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0090317884460091,0.0,0.0090317884460091,0.0074320230112745,0.0597823187708854,39.80095396066183
0.25,20,1.243934988975525,11.863350868225098,5.664332866668701,2.979022979736328,direct_energy_backward_difference,-0.1354547291994094,6.862705959065352e-10,9.78433895111084,-6.656371454027976e-08,7.335134506225586,1.4886154531268403e-09,-0.1847875416278839,-2.927436071331613e-10,7.892451763153076,4.2578257364311873e-08,-1.2747178077697754,-8.370989235118032e-09,1120,0.0597824268043041,0.1083685830235481,0.2998571097850799,0.5944123864173889,0.0013237410457804,0.0066826976835727,0.0113237407058477,0.0166826974600553,0.0,0.2998571112419345,0.4663246530398514,1.073865347321537,0.1115990579884865,10.12125591831614,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.009339379845187,0.0,0.009339379845187,0.0081644712491372,0.0597824268043041,39.78902340963374
0.3125,25,1.4110019207000732,12.826425552368164,6.411199569702148,2.6730709075927734,direct_energy_backward_difference,-0.1458918154239654,1.928128767758608e-09,11.159857749938965,-7.450580596923828e-09,7.662749290466309,2.9103830456733704e-09,-0.2063903212547302,-2.7939677238464355e-09,10.065004348754885,1.788139343261719e-07,0.4732997417449951,-6.51925802230835e-09,1400,0.0597826652228832,0.1196837276220321,0.3079832196235657,0.596521258354187,0.0013204691931605,0.0066260150633752,0.0113204699009656,0.0166260153055191,0.0,0.3079832205016698,0.4711213007987927,0.954833394798774,0.1062448886585847,10.137026199632414,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0094813541742041,0.0,0.0094813541742041,0.0086010546283781,0.0597826652228832,39.773667858055184
0.375,30,1.5778852701187134,13.858469009399414,7.1801042556762695,2.670133590698242,direct_energy_backward_difference,-0.1569895148277282,1.1426664059399627e-09,12.468616485595703,-6.597500856742047e-08,7.881373882293701,1.3499175111064687e-09,-0.223789781332016,-2.109572960762307e-09,12.311037063598633,-7.1764972631172e-08,3.2200324535369873,-1.314401743002236e-08,1680,0.0597830228507518,0.130000814795494,0.3140996992588043,0.5986232161521912,0.0012982712360098,0.0064502628520131,0.0112982708960771,0.0164502635598182,0.0,0.3140997106918976,0.4741322738717572,0.9548188537626788,0.0920983673429104,10.173284630735065,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0099181447876617,0.0,0.0099181447876617,0.0088819133506755,0.0597830228507518,39.75502504763429
0.4375,35,1.7505336999893188,14.928701400756836,7.962708950042725,2.7623748779296875,direct_energy_backward_difference,-0.1684948801994323,3.361492417752742e-09,13.741661071777344,-1.2665987014770508e-07,8.03476619720459,-3.7834979593753815e-10,-0.2381873279809951,-6.286427378654481e-09,14.621826171875,-1.6689300537109375e-06,7.010236740112305,-6.984919309616089e-09,1960,0.0597834959626197,0.1395455002784729,0.3190575838088989,0.6007179617881775,0.0012690935982391,0.0062363012693822,0.011269093491137,0.0162363015115261,0.0,0.3190575732564439,0.4740707338657877,0.954808469799027,0.0895775438059849,10.265352877634276,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0102018059464171,0.0,0.0102018059464171,0.009077981424426,0.0597834959626197,39.733322781965306
0.5,40,1.9305603504180908,16.01634979248047,8.751764297485352,2.8804264068603516,direct_energy_backward_difference,-0.180191159248352,-3.707540940922627e-10,14.994180679321287,-2.156112088869122e-07,8.146276473999023,1.0988969734171403e-09,-0.2503600120544433,-6.507150374090997e-09,16.987449645996094,7.197712648121524e-07,11.87657070159912,-1.9834260456264026e-08,2240,0.0597840808331966,0.1484693437814712,0.3232828974723816,0.602805495262146,0.0012384119909256,0.006012609694153,0.0112384110689163,0.0160126090049743,0.0,0.3232828993150698,0.4742166628331298,0.9548007026015688,0.0839146923010813,10.238107845533923,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.010398506722413,0.0,0.010398506722413,0.0092162372419526,0.0597840808331966,39.708786215763446
0.5625,45,2.1179466247558594,17.107921600341797,9.5420503616333,2.998180389404297,direct_energy_backward_difference,-0.1919237375259399,2.1973391994833942e-09,16.23453140258789,-2.384185791015625e-07,8.229766845703125,-2.219167072325945e-09,-0.2608328759670257,-5.587935447692871e-09,19.39860725402832,7.152557373046875e-07,17.8411865234375,7.450580596923828e-09,2520,0.0597847551107406,0.1568800657987594,0.3270128667354584,0.6048856377601624,0.0012083384208381,0.0057899304665625,0.0112083386629819,0.0157899297773838,0.0,0.327012862560768,0.4726849774520226,0.9547962296113758,0.0765526583297592,9.840745883871318,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0105404751375317,0.0,0.0105404751375317,0.0093177932620723,0.0597847551107406,39.68165374813896
0.625,50,2.312056541442871,18.194501876831055,10.329858779907228,3.1057586669921875,direct_energy_backward_difference,-0.2035893350839615,-2.6682727138904742e-09,17.467151641845703,-9.634590014684365e-08,8.293519020080566,-1.274003125217859e-09,-0.2699761092662811,-8.13827227830188e-10,21.84799575805664,2.324856495761196e-06,24.920757293701172,-5.1105416787322624e-08,2800,0.0597855076193809,0.1630830764770507,0.3303900957107544,0.6069753766059875,0.0011796876788139,0.0056278347037732,0.0111796865239739,0.0156278349459171,0.0,0.3303901243369494,0.4698090863150681,0.9547897356854906,0.0782010776647434,10.533317606274032,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0106469168094918,0.0,0.0106469168094918,0.0093945292400263,0.0597855076193809,39.652171724839086
