time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.0625,5,-0.022451311111450194,0.00016446296870708467,0.0,0.082231484,0.0,-11.225656,2.007258311037541e-06,-4.423895896634123,5.487644650151169e-08,-11.225655555725098,0.08223148435354233,50.0,10.0,4.0145166220750817e-10,-0.008847791793268247,1.0975289300302338e-11,6.618909537792206e-10,-0.003236949920654297,1.1816155165433884e-11,-2.1078219413757324,2.107820549204961,0.0,280,-0.43804840375751763,0.0,-0.43804840375751763
0.125,10,-0.11561334991455079,0.001111236333847046,0.0,0.55561817,0.0,-57.806675,-6.491974856359661e-06,-17.045180576312156,-1.5762107154204674e-07,-57.80667495727539,0.555618166923523,50.0,10.0,-1.2983949712719322e-09,-0.03409036115262431,-3.152421430840935e-11,-6.243586540222168e-10,-0.0051949143409729,-8.307397365570068e-11,-5.782170295715332,5.782097228374818,0.0,560,-5.5561816692352295,0.0,-5.5561816692352295
0.1875,15,-0.1360098114013672,0.0012148290872573853,0.0,0.60741454,0.0,-68.004906,9.676374047806746e-06,-18.47294216084556,3.0401662376444705e-07,-68.0049057006836,0.6074145436286926,50.0,10.0,1.9352748095613492e-09,-0.036945884321691116,6.080332475288941e-11,-4.32431697845459e-09,-0.002953538179397583,6.258487701416015e-11,-6.801941394805908,6.801694412289274,0.0,840,-6.074145436286926,0.0,-6.074145436286926
0.25,20,-0.14668524169921876,0.0012055164575576782,0.0,0.6027582,0.0,-73.34262,-7.53094271388477e-08,-19.360574640986812,6.716590623262464e-08,-73.34262084960938,0.6027582287788391,50.0,10.0,-1.506188542776954e-11,-0.03872114928197362,1.3433181246524927e-11,6.139278411865234e-10,-0.002061659336090088,4.377216100692749e-12,-7.335595607757568,7.335134382236691,0.0,1120,-6.027582287788391,0.0,-6.027582287788391
0.3125,25,-0.15324441528320312,0.0011750397682189942,0.0,0.5875199,0.0,-76.62221,6.100762120375691e-06,-19.953228447974634,4.09824517072499e-07,-76.62220764160156,0.5875198841094971,50.0,10.0,1.2201524240751382e-09,-0.039906456895949266,8.19649034144998e-11,4.5329332351684574e-09,-0.001608446478843689,8.465722203254699e-11,-7.663443565368652,7.6627486432783085,0.0,1400,-5.875198841094971,0.0,-5.875198841094971
0.375,30,-0.15762382507324219,0.0011433205604553223,0.0,0.5716603,0.0,-78.81191,4.86151140322022e-06,-20.368690087921284,-1.2295791848582205e-07,-78.8119125366211,0.5716602802276611,50.0,10.0,9.72302280644044e-10,-0.040737380175842566,-2.459158369716441e-11,-1.5795230865478515e-09,-0.0013454631567001343,2.1047890186309813e-11,-7.882327556610107,7.881372150016809,0.0,1680,-5.716602802276611,0.0,-5.716602802276611
0.4375,35,-0.16069857788085937,0.0011152292490005493,0.0,0.5576146,0.0,-80.34929,-1.440580418599069e-05,-20.670053476088366,-3.0990535179742373e-07,-80.34928894042969,0.5576146245002747,50.0,10.0,-2.881160837198138e-09,-0.041340106952176735,-6.198107035948474e-11,2.4437904357910157e-09,-0.0011802197694778442,-1.1818483471870424e-10,-8.035992622375488,8.034768037162728,0.0,1960,-5.576146245002747,0.0,-5.576146245002747
0.5,40,-0.1629356689453125,0.0010915789604187011,0.0,0.5457895,0.0,-81.467834,-6.725327395429304e-06,-20.894553272017546,-1.2125095391612994e-07,-81.46783447265625,0.5457894802093506,50.0,10.0,-1.3450654790858607e-09,-0.041789106544035094,-2.425019078322599e-11,5.245208740234375e-10,-0.0010705024003982544,-6.249174475669861e-11,-8.147787094116211,8.146282831190472,0.0,2240,-5.457894802093506,0.0,-5.457894802093506
0.5625,45,-0.16461181640625,0.001071886420249939,0.0,0.5359432,0.0,-82.30591,9.861555516188503e-06,-21.066078085478097,5.976476505076267e-07,-82.305908203125,0.5359432101249695,50.0,10.0,1.9723111032377004e-09,-0.04213215617095619,1.1952953010152533e-10,5.549192428588867e-09,-0.000994994580745697,1.1846423149108887e-10,-8.23155403137207,8.229761198205486,0.0,2520,-5.359432101249695,0.0,-5.359432101249695
0.625,50,-0.16589361572265626,0.0010556530952453612,0.0,0.52782655,0.0,-82.94681,9.408694872092838e-07,-21.19922596064776,-1.9869499787161793e-07,-82.94680786132812,0.5278265476226807,50.0,10.0,1.8817389744185675e-10,-0.042398451921295516,-3.9738999574323584e-11,8.049607276916504e-09,-0.0009412825703620911,-9.080395102500916e-11,-8.295597076416016,8.293514192304702,0.0,2800,-5.278265476226807,0.0,-5.278265476226807
