time,step,surface,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.0625,5,flat_plate,-11.225655555725098,0.08223148435354233,-0.022451311111450194,0.00016446296870708467,224,0.0,-0.43804840375751763,-0.43804840375751763,0.08223148435354233,0.0,-11.225655555725098,2.007258311037541e-06,1.1869473088564237,5.487644650151169e-08,-0.12192298382986412,0.0,0.0,-5.3270156461507145,0.0,0.0,0.0,0.0,0.0,-0.12192298382986412,0.0,0.0,0.3777724504470825,-6.988644827288226e-07,0.0174497552216053
0.125,10,flat_plate,-57.80667495727539,0.555618166923523,-0.11561334991455079,0.001111236333847046,224,0.0,-5.5561816692352295,-5.5561816692352295,0.555618166923523,0.0,-57.80667495727539,-6.491974856359661e-06,11.850257912091676,-1.5762107154204674e-07,-0.6499999999999999,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-0.6499999999999999,0.0,0.0,-0.1503046452999115,-6.988644827288226e-07,0.0174497552216053
0.1875,15,flat_plate,-68.0049057006836,0.6074145436286926,-0.1360098114013672,0.0012148290872573853,224,0.0,-6.074145436286926,-6.074145436286926,0.6074145436286926,0.0,-68.0049057006836,9.676374047806746e-06,15.519400407739761,3.0401662376444705e-07,-1.2750000000000004,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-1.2750000000000004,0.0,0.0,-0.7753046154975891,-6.988644827288226e-07,0.0174497552216053
0.25,20,flat_plate,-73.34262084960938,0.6027582287788391,-0.14668524169921876,0.0012055164575576782,224,0.0,-6.027582287788391,-6.027582287788391,0.6027582287788391,0.0,-73.34262084960938,-7.53094271388477e-08,17.298909654956383,6.716590623262464e-08,-1.9000000000000006,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-1.9000000000000006,0.0,0.0,-1.400304913520813,-6.988644827288226e-07,0.0174497552216053
0.3125,25,flat_plate,-76.62220764160156,0.5875198841094971,-0.15324441528320312,0.0011750397682189942,224,0.0,-5.875198841094971,-5.875198841094971,0.5875198841094971,0.0,-76.62220764160156,6.100762120375691e-06,18.34479535185523,4.09824517072499e-07,-2.5250000000000012,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-2.5250000000000012,0.0,0.0,-2.0253043174743652,-6.988644827288226e-07,0.0174497552216053
0.375,30,flat_plate,-78.8119125366211,0.5716602802276611,-0.15762382507324219,0.0011433205604553223,224,0.0,-5.716602802276611,-5.716602802276611,0.5716602802276611,0.0,-78.8119125366211,4.86151140322022e-06,19.023240724270263,-1.2295791848582205e-07,-3.1500000000000017,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-3.1500000000000017,0.0,0.0,-2.6503047943115234,-6.988644827288226e-07,0.0174497552216053
0.4375,35,flat_plate,-80.34928894042969,0.5576146245002747,-0.16069857788085937,0.0011152292490005493,224,0.0,-5.576146245002747,-5.576146245002747,0.5576146245002747,0.0,-80.34928894042969,-1.440580418599069e-05,19.48984748907186,-3.0990535179742373e-07,-3.775000000000002,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-3.775000000000002,0.0,0.0,-3.2753043174743652,-6.988644827288226e-07,0.0174497552216053
0.5,40,flat_plate,-81.46783447265625,0.5457894802093506,-0.1629356689453125,0.0010915789604187011,224,0.0,-5.457894802093506,-5.457894802093506,0.5457894802093506,0.0,-81.46783447265625,-6.725327395429304e-06,19.824064772951502,-1.2125095391612994e-07,-4.400000000000002,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-4.400000000000002,0.0,0.0,-3.900304079055786,-6.988644827288226e-07,0.0174497552216053
0.5625,45,flat_plate,-82.305908203125,0.5359432101249695,-0.16461181640625,0.001071886420249939,224,0.0,-5.359432101249695,-5.359432101249695,0.5359432101249695,0.0,-82.305908203125,9.861555516188503e-06,20.071176261785116,5.976476505076267e-07,-5.025,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-5.025,0.0,0.0,-4.525305271148682,-6.988644827288226e-07,0.0174497552216053
0.625,50,flat_plate,-82.94680786132812,0.5278265476226807,-0.16589361572265626,0.0010556530952453612,224,0.0,-5.278265476226807,-5.278265476226807,0.5278265476226807,0.0,-82.94680786132812,9.408694872092838e-07,20.25811608741758,-1.9869499787161793e-07,-5.649999999999999,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-5.649999999999999,0.0,0.0,-5.150303363800049,-6.988644827288226e-07,0.0174497552216053
