time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.0625,5,-0.12252593631891737,0.001163362162555654,0.0,-1.55672,0.0,-61.24595,-4.024042538297579e-06,-17.49683515817742,3.835196851558701e-08,-61.26296815945868,0.581681081277827,50.0,10.0,-8.048085076595157e-10,-0.034993670316354836,7.670393703117402e-12,2.275407314300537e-09,-0.004370689392089844,2.0235893316566945e-11,-6.127719402313232,6.127608177151462,0.0,280,0.0,0.0,0.0
0.125,10,-0.13933253894412492,0.0012182142890081935,0.0,-1.8225816,0.0,-69.64509,-4.319704487443232e-07,-18.734541616460774,6.544280470863802e-08,-69.66626947206247,0.6091071445040968,50.0,10.0,-8.639408974886464e-11,-0.03746908323292155,1.3088560941727604e-11,-1.1026859283447266e-10,-0.002646543025970459,-1.9388971850275994e-11,-6.967993259429932,6.967695648474341,0.0,560,0.0,0.0,0.0
0.1875,15,-0.14862057364291123,0.0011990473842264954,0.0,-1.9942331,0.0,-74.28594,-6.647126306269513e-06,-19.530222072615288,5.1735081196043614e-08,-74.31028682145562,0.5995236921132477,50.0,10.0,-1.3294252612539026e-09,-0.03906044414523058,1.0347016239208723e-11,2.142786979675293e-09,-0.0019174529314041138,-4.128087311983109e-11,-7.432300567626953,7.431782450893798,0.0,840,0.0,0.0,0.0
0.25,20,-0.15449605489165272,0.0011671417637624452,0.0,-2.112702,0.0,-77.22134,2.918729149037347e-06,-20.069338359404355,5.4675762697952227e-08,-77.24802744582635,0.5835708818812226,50.0,10.0,5.837458298074694e-10,-0.04013867671880871,1.0935152539590446e-11,5.385279655456543e-09,-0.0015279873609542847,-7.102498784661293e-11,-7.725982666015625,7.725222996093573,0.0,1120,0.0,0.0,0.0
0.3125,25,-0.15848407775652673,0.001136163093634491,0.0,-2.1977718,0.0,-79.21359,4.367636281088494e-06,-20.45181413704995,4.248855003789222e-08,-79.24203887826337,0.5680815468172454,50.0,10.0,8.735272562176987e-10,-0.0409036282740999,8.497710007578444e-12,-1.609325408935547e-10,-0.0012968322038650513,-1.169508323073387e-10,-7.925301551818848,7.924284871452195,0.0,1400,0.0,0.0,0.0
0.375,30,-0.1613138194167448,0.0011090648661420599,0.0,-2.260691,0.0,-80.62713,-7.198004556840942e-07,-20.731032798590604,-1.5479867873061277e-07,-80.6569097083724,0.55453243307103,50.0,10.0,-1.4396009113681885e-10,-0.04146206559718121,-3.095973574612255e-11,1.284480094909668e-09,-0.0011484971046447753,-9.227660484611988e-11,-8.06672191619873,8.065439140454489,0.0,1680,0.0,0.0,0.0
0.4375,35,-0.16338905430283104,0.001086441138137916,0.0,-2.3082082,0.0,-81.66372,-2.695674921504576e-06,-20.940698258695193,1.0861635714855353e-07,-81.69452715141553,0.543220569068958,50.0,10.0,-5.391349843009152e-10,-0.04188139651739038,2.1723271429710707e-11,5.6415796279907225e-09,-0.001049540400505066,-8.88423528522253e-11,-8.170437812805176,8.168868658542024,0.0,1960,0.0,0.0,0.0
0.5,40,-0.1649573262570798,0.001067788836674413,0.0,-2.3448946,0.0,-82.44705,-2.9461824517795776e-06,-21.10151896852767,1.6798983655107614e-07,-82.47866312853989,0.5338944183372065,50.0,10.0,-5.892364903559156e-10,-0.04220303793705534,3.3597967310215227e-11,6.3717365264892575e-09,-0.0009795126914978027,1.2195087037980556e-10,-8.248802185058594,8.246953955591621,0.0,2240,0.0,0.0,0.0
0.5625,45,-0.16615772724924022,0.0010522429665211072,0.0,-2.3736095,0.0,-83.046616,1.718459549771012e-06,-21.226743109175004,-3.118323907414216e-08,-83.07886362462011,0.5261214832605536,50.0,10.0,3.436919099542024e-10,-0.04245348621835001,-6.236647814828432e-12,-3.331899642944336e-09,-0.0009301696419715881,1.216307282447815e-10,-8.30878734588623,8.306650016664006,0.0,2520,0.0,0.0,0.0
0.625,50,-0.16709916377901127,0.001039388816595819,0.0,-2.3964605,0.0,-83.51682,-1.0038452685989796e-05,-21.32628097065026,3.0030830892781996e-07,-83.54958188950563,0.5196944082979095,50.0,10.0,-2.0076905371979592e-09,-0.04265256194130052,6.006166178556399e-11,-1.665949821472168e-09,-0.0008941631317138671,4.185712896287441e-11,-8.355828285217285,8.353393020615155,0.0,2800,0.0,0.0,0.0
