time,step,surface,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.0625,5,flat_plate,-61.26296815945868,0.581681081277827,-0.12252593631891737,0.001163362162555654,224,0.0,0.0,0.0,-1.5567200183868408,0.0,-61.245948791503906,-4.024042538297579e-06,13.126141124899732,3.835196851558701e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.125,10,flat_plate,-69.66626947206247,0.6091071445040968,-0.13933253894412492,0.0012182142890081935,224,0.0,0.0,0.0,-1.8225816488265991,0.0,-69.64508819580078,-4.319704487443232e-07,16.087991792650428,6.544280470863802e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.1875,15,flat_plate,-74.31028682145562,0.5995236921132477,-0.14862057364291123,0.0011990473842264954,224,0.0,0.0,0.0,-1.9942331314086914,0.0,-74.28594207763672,-6.647126306269513e-06,17.612761693657376,5.1735081196043614e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.25,20,flat_plate,-77.24802744582635,0.5835708818812226,-0.15449605489165272,0.0011671417637624452,224,0.0,0.0,0.0,-2.112701892852783,0.0,-77.2213363647461,2.918729149037347e-06,18.54134301794693,5.4675762697952227e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.3125,25,flat_plate,-79.24203887826337,0.5680815468172454,-0.15848407775652673,0.001136163093634491,224,0.0,0.0,0.0,-2.1977717876434326,0.0,-79.21359252929688,4.367636281088494e-06,19.15497473475989,4.248855003789222e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.375,30,flat_plate,-80.6569097083724,0.55453243307103,-0.1613138194167448,0.0011090648661420599,224,0.0,0.0,0.0,-2.260690927505493,0.0,-80.62712860107422,-7.198004556840942e-07,19.58252822648501,-1.5479867873061277e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.4375,35,flat_plate,-81.69452715141553,0.543220569068958,-0.16338905430283104,0.001086441138137916,224,0.0,0.0,0.0,-2.3082082271575928,0.0,-81.6637191772461,-2.695674921504576e-06,19.89114987279754,1.0861635714855353e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.5,40,flat_plate,-82.47866312853989,0.5338944183372065,-0.1649573262570798,0.001067788836674413,224,0.0,0.0,0.0,-2.3448946475982666,0.0,-82.44705200195312,-2.9461824517795776e-06,20.12199813366169,1.6798983655107614e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.5625,45,flat_plate,-83.07886362462011,0.5261214832605536,-0.16615772724924022,0.0010522429665211072,224,0.0,0.0,0.0,-2.3736095428466797,0.0,-83.04661560058594,1.718459549771012e-06,20.296565642929636,-3.118323907414216e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.625,50,flat_plate,-83.54958188950563,0.5196944082979095,-0.16709916377901127,0.001039388816595819,224,0.0,0.0,0.0,-2.39646053314209,0.0,-83.5168228149414,-1.0038452685989796e-05,20.432109864836093,3.0030830892781996e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
