time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,bound_linear_impulse_x,coupled_linear_impulse_x,bound_vortex_strength_x,coupled_vortex_strength_x,bound_linear_impulse_y,coupled_linear_impulse_y,bound_vortex_strength_y,coupled_vortex_strength_y,bound_linear_impulse_z,coupled_linear_impulse_z,bound_vortex_strength_z,coupled_vortex_strength_z,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0625,5,4.327334880828857,130.40316772460938,38.982051849365234,0.0,direct_energy_backward_difference,-1.3364700078964231,3.274180926382541e-09,12.878755569458008,4.8858055379241705e-09,-12.59245491027832,-1.1292286217212677e-08,-1.3242120742797852,5.529727786779404e-09,-6.548126697540283,2.650878059284878e-07,4.42225980758667,1.3783574104309082e-07,280,0.2729155719280243,0.0639394745230674,0.2284002155065536,0.5880594253540039,0.0008324488298967,0.003519813530147,0.010832448489964,0.0135198133066296,0.0,0.2284002070980412,0.4450294799539742,0.7622606424476694,0.1620741731264948,2.2557040031820383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0263940531760454,0.0,-1.0271039339910424,-2.3513160082708273,0.0,4.8858055379241705e-09,0.0,5.529727786779404e-09,12.592453002929688,-1.9073486328125e-06,-5.5997988874802545,-12.147925585020538,0.0,-1.1292286217212677e-08,0.0263940531760454,0.0202909352427713,0.2729155719280243,237.20122358343332
0.125,10,27.96137428283691,349.1494445800781,142.50927734375,378.1446304321289,direct_energy_backward_difference,-6.67112922668457,4.231696948409081e-08,38.076927185058594,5.6345015764236463e-08,-34.524635314941406,-1.6530975699424744e-08,-4.279357433319092,-4.6566128730773926e-09,-21.70627784729004,5.736947059631348e-07,11.930766105651855,5.140900611877441e-07,560,0.3567322194576263,0.0844465270638465,0.2668333947658539,0.5902012586593628,0.006137060932815,0.0287134367972612,0.016137059777975,0.0387134365737438,0.0,0.2668334030413202,0.4331354429081108,1.0526863450061923,0.1226280995735255,5.54044231214737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0543297041207552,0.0,-2.1110839373034445,-6.390441370622536,0.0,5.6345015764236463e-08,0.0,-4.6566128730773926e-09,34.524620056152344,-1.52587890625e-05,-21.152375058186113,-42.85865290547615,0.0,-1.6530975699424744e-08,0.0543297041207552,0.0378722680508133,0.3567322194576263,236.16057438292293
0.1875,15,37.41618347167969,369.46917724609375,172.6089324951172,151.27694702148438,direct_energy_backward_difference,-7.018617153167725,5.8789737522602095e-08,49.64302444458008,7.967464625835419e-07,-40.60790252685547,-9.709037840366365e-08,-6.113288879394531,-7.532071322202682e-08,-33.94319534301758,-2.5331974029541016e-06,12.655405044555664,5.736947059631348e-07,840,0.3567351400852203,0.1008558049798011,0.2905543148517608,0.5923492312431335,0.0072519178502261,0.0349956676363945,0.01725191809237,0.0449956655502319,0.0,0.290554337088196,0.455197453953458,0.9558441867915028,0.1165300220968595,8.041711153014536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0658971045166254,0.0,-2.290012273625941,-8.403301153020472,0.0,7.967464625835419e-07,0.0,-7.532071322202682e-08,40.607906341552734,3.814697265625e-06,-36.66119381653828,-70.60438915955586,0.0,-9.709037840366365e-08,0.0658971045166254,0.0458823059804572,0.3567351400852203,233.56402986204577
0.25,20,43.844932556152344,392.5535888671875,196.5411071777344,102.8599853515625,direct_energy_backward_difference,-6.873492240905762,2.119923010468483e-07,59.035743713378906,5.438923835754395e-07,-43.782711029052734,5.122274160385132e-09,-7.735800743103027,-9.033828973770144e-08,-46.29010772705078,4.917383193969727e-07,8.05093765258789,-2.644956111907959e-07,1120,0.3567609786987304,0.1131404563784599,0.3040288388729095,0.5952141880989075,0.0070685897953808,0.0340600274503231,0.0170685909688472,0.0440600290894508,0.0,0.3040288297858621,0.4638432220586562,1.0746132677332083,0.1083234447285718,9.923764921904752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0757112182676792,0.0,-2.4007502278679325,-10.13655097097096,0.0,5.438923835754395e-07,0.0,-9.033828973770144e-08,43.78272247314453,1.1444091796875e-05,-52.888228891652155,-99.17833661870291,0.0,5.122274160385132e-09,0.0757112182676792,0.0505586809208196,0.3567609786987304,230.48143038631952
0.3125,25,49.624473571777344,421.9376831054687,221.24334716796875,92.47265625,direct_energy_backward_difference,-6.888181686401367,2.352753654122353e-07,67.60931396484375,3.203749656677246e-07,-45.731056213378906,-6.705522537231445e-08,-9.23879337310791,-4.284083843231201e-08,-59.091651916503906,-1.3113021850585938e-06,-2.146552324295044,-6.593763828277588e-07,1400,0.3568088412284851,0.1242263615131378,0.3132823705673218,0.6001385450363159,0.0068021528422832,0.03129368647933,0.0168021526187658,0.0412936881184577,0.0,0.3132823669165372,0.4706297826157561,0.952919058893283,0.1149327810533227,11.448505982239594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0682649880647659,0.0,-2.4743924722258313,-11.713185845333742,0.0,3.203749656677246e-07,0.0,-4.284083843231201e-08,45.73107147216797,1.52587890625e-05,-69.37658634661136,-128.46823826311527,0.0,-6.705522537231445e-08,0.0682649880647659,0.053143736797257,0.3568088412284851,226.9129742386754
0.375,30,55.42036437988281,454.9825439453125,246.8563537597656,92.7342529296875,direct_energy_backward_difference,-7.053330898284912,3.189779818058014e-07,75.80375671386719,1.519918441772461e-06,-47.02987289428711,-5.1688402891159064e-08,-10.657909393310549,-1.0710209608078004e-07,-72.34684753417969,7.897615432739258e-07,-18.27776336669922,-5.383044481277466e-07,1680,0.3568779826164245,0.1343388557434082,0.3203740417957306,0.6050108075141907,0.0065144072286784,0.0293045453727245,0.0165144074708223,0.0393045470118522,0.0,0.3203740523241105,0.4771856306463962,0.9524635590887828,0.1102792677823897,11.819769778822216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0681252994574606,0.0,-2.5258768640080027,-13.18378625731855,0.0,1.519918441772461e-06,0.0,-1.0710209608078004e-07,47.02988052368164,7.62939453125e-06,-85.9553793171999,-158.3022268513796,0.0,-5.1688402891159064e-08,0.0681252994574606,0.0547745968997592,0.3568779826164245,223.71472313778867
0.4375,35,61.43821716308594,490.0280151367187,273.08349609375,96.28564453125,direct_energy_backward_difference,-7.346635818481445,6.128102540969849e-07,83.82463073730469,1.3113021850585938e-06,-47.94182586669922,-9.499490261077881e-08,-12.010675430297852,-2.942979335784912e-07,-85.99833679199219,1.3113021850585938e-06,-40.60335540771485,-8.866190910339355e-07,1960,0.3569643497467041,0.1436099559068679,0.3261936008930206,0.6100630164146423,0.0062491917051374,0.0273038502782583,0.0162491910159587,0.0373038500547409,0.0,0.3261936145701579,0.4790913246040145,0.9521578384757268,0.1151487503717118,12.33416881118405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0700514979660511,0.0,-2.563217437676224,-14.573892867974076,0.0,1.3113021850585938e-06,0.0,-2.942979335784912e-07,47.94181060791016,-1.52587890625e-05,-102.5491813759,-188.54751816789215,0.0,-9.499490261077881e-08,0.0700514979660511,0.0558854358389896,0.3569643497467041,224.990184739996
0.5,40,67.72862243652344,525.9729614257812,299.6484680175781,100.646484375,direct_energy_backward_difference,-7.730032444000244,4.966277629137039e-07,91.77755737304688,1.3709068298339844e-06,-48.60593795776367,-1.0244548320770265e-07,-13.308931350708008,-3.278255462646485e-07,-99.98400115966795,8.702278137207031e-06,-69.30378723144531,-1.4901161193847656e-08,2240,0.3570591807365417,0.1521635800600052,0.3311952650547027,0.615033745765686,0.0060174474492669,0.025442911311984,0.0160174462944269,0.0354429110884666,0.0,0.3311952701969338,0.4809955169927269,0.9519388552649232,0.1191618079064698,12.89196063535332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0713875774294138,0.0,-2.5910700686044725,-15.90000141931248,0.0,1.3709068298339844e-06,0.0,-3.278255462646485e-07,48.605934143066406,-3.814697265625e-06,-119.12306454502745,-219.1070657046954,0.0,-1.0244548320770265e-07,0.0713875774294138,0.0566809832449859,0.3570591807365417,230.811506845273
0.5625,45,74.286865234375,562.1155395507812,326.3193664550781,104.931884765625,direct_energy_backward_difference,-8.156002044677734,8.314382284879684e-07,99.7028350830078,-5.140900611877441e-07,-49.103145599365234,-1.136213541030884e-07,-14.564562797546388,-1.9185245037078857e-07,-114.24794006347656,-4.600733518600464e-06,-104.50228118896484,3.1851232051849365e-07,2520,0.3571502268314361,0.1602363288402557,0.3356368243694305,0.6198585033416748,0.0058168652467429,0.0239371675997972,0.0158168636262416,0.0339371673762798,0.0,0.3356368275152312,0.4818945727196004,0.9517744528206166,0.1137913266405868,13.023282356191636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0723569680005312,0.0,-2.612322290039626,-17.17688508758601,0.0,-5.140900611877441e-07,0.0,-1.9185245037078857e-07,49.10315704345703,1.1444091796875e-05,-135.66167804972517,-249.90961811320173,0.0,-1.136213541030884e-07,0.0723569680005312,0.0572712099818671,0.3571502268314361,236.626586527152
0.625,50,81.08810424804688,597.9983520507812,352.90716552734375,108.81982421875,direct_energy_backward_difference,-8.613390922546387,7.874332368373871e-07,107.59747314453124,1.6987323760986328e-06,-49.483665466308594,-2.1513551473617554e-07,-15.78990650177002,-2.60770320892334e-07,-128.74290466308594,-5.245208740234375e-06,-146.29150390625,1.1920928955078125e-07,2800,0.3572231233119964,0.1630830764770507,0.3396761119365692,0.6245309710502625,0.0056400932371616,0.0230851396918296,0.0156400930136442,0.0330851376056671,0.0,0.3396761069925768,0.4807786363876708,0.951646817569896,0.1104438371708688,14.397192369431227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0730834519490599,0.0,-2.6288360749919804,-18.418742576762,0.0,1.6987323760986328e-06,0.0,-2.60770320892334e-07,49.483642578125,-2.288818359375e-05,-152.15901082041103,-280.90191548349696,0.0,-2.1513551473617554e-07,0.0730834519490599,0.0577209165018743,0.3572231233119964,239.76862378989523
