time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,bound_linear_impulse_x,coupled_linear_impulse_x,bound_vortex_strength_x,coupled_vortex_strength_x,bound_linear_impulse_y,coupled_linear_impulse_y,bound_vortex_strength_y,coupled_vortex_strength_y,bound_linear_impulse_z,coupled_linear_impulse_z,bound_vortex_strength_z,coupled_vortex_strength_z,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0625,5,13.08349609375,99.72322845458984,44.351566314697266,0.0,direct_energy_backward_difference,-1.1798681020736694,3.94647940993309e-08,29.327091217041016,2.839951775968075e-07,-24.456453323364254,2.1187588572502136e-08,1.6607885360717771,-1.234002411365509e-08,-26.412357330322266,1.994692979678803e-07,27.523263931274418,-4.4703483581542975e-08,280,1.5515574216842651,0.1630830764770507,0.3197355568408966,0.588606595993042,0.0046483282931149,0.0180856026709079,0.0146483285352587,0.0280856024473905,0.0,0.3197355653558458,0.579160186545064,1.073953858632445,0.1912344674992331,11.006917441473783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0384359681978821,0.0,0.0,1.6607885360717771,0.0,2.839951775968075e-07,0.0,-1.234002411365509e-08,24.456453323364254,0.0,-6.97935658789445,-33.391713918216716,0.0,2.1187588572502136e-08,0.0384359681978821,0.0263163180468356,1.5515574216842651,93.60462673223068
0.125,10,16.883726119995117,121.46131896972656,58.56739807128906,60.803680419921875,direct_energy_backward_difference,-1.5516033172607422,5.670881364494562e-08,36.387542724609375,9.96515154838562e-08,-27.805908203125,2.9453076422214508e-08,3.4232420921325684,-1.6530975699424744e-08,-44.61769485473633,-9.83476638793945e-07,59.32292175292969,2.589076757431031e-07,560,1.5515609979629517,0.1630830764770507,0.3229860067367553,0.5909610986709595,0.0054240506142377,0.0234522111713886,0.0154240503907203,0.0334522128105163,0.0,0.322985992926572,0.5524728135237766,1.0741308235687688,0.1380602206352814,11.817497067814008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0441256112419068,0.0,0.0,3.4232420921325684,0.0,9.96515154838562e-08,0.0,-1.6530975699424744e-08,27.80593490600586,2.6702880859375e-05,-7.475139630796891,-52.09283448553322,0.0,2.9453076422214508e-08,0.0441256112419068,0.0313668256957341,1.5515609979629517,94.10734614811504
0.1875,15,19.727195739746097,141.50572204589844,71.00048828125,45.495513916015625,direct_energy_backward_difference,-1.910273551940918,3.7631252780556685e-08,42.36941146850586,2.728775143623352e-07,-29.65716552734375,-7.718335837125778e-08,5.36662483215332,-1.868465915322304e-08,-63.52183532714844,-1.093745231628418e-05,102.91053771972656,3.979075700044632e-07,840,1.5515462160110474,0.1630830764770507,0.3262352347373962,0.5940513610839844,0.0054664686322212,0.0236636139452457,0.0154664684087038,0.0336636155843734,0.0,0.3262352334956328,0.53449776097994,0.9724518433002762,0.1207239542271279,13.417851109800411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0440899806562811,0.0,0.0,5.36662483215332,0.0,2.728775143623352e-07,0.0,-1.868465915322304e-08,29.65715980529785,-5.7220458984375e-06,-7.793548726753675,-71.31538405390211,0.0,-7.718335837125778e-08,0.0440899806562811,0.0339063803551988,1.5515462160110474,95.0162941439428
0.25,20,22.37120056152344,161.3442840576172,83.5533676147461,42.3040771484375,direct_energy_backward_difference,-2.2242066860198975,3.0006049200892455e-08,47.93388748168945,5.401670932769775e-07,-30.827709197998047,-3.3061951398849494e-08,7.432373523712158,6.472691893577577e-08,-82.9588394165039,2.16066837310791e-06,158.71255493164062,3.427267074584961e-07,1120,1.55151104927063,0.1630830764770507,0.3294016718864441,0.5979716181755066,0.0053431945852935,0.02304676361382,0.0153431938961148,0.0330467633903026,0.0,0.3294016754121652,0.5302937368654941,1.0745843809819822,0.1205763337514533,11.62306378362286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.045298657938838,0.0,0.0,7.432373523712158,0.0,5.401670932769775e-07,0.0,6.472691893577577e-08,30.82771110534668,1.9073486328125e-06,-8.009006950912102,-90.967846367416,0.0,-3.3061951398849494e-08,0.045298657938838,0.0353905443806778,1.55151104927063,96.15232454179704
0.3125,25,25.03996467590332,180.9548187255859,96.25646209716795,42.700225830078125,direct_energy_backward_difference,-2.509387493133545,1.2252712622284893e-08,53.29387664794922,2.868473529815674e-07,-31.621423721313477,-1.6298145055770874e-08,9.585506439208984,1.343432813882828e-07,-102.78337097167967,1.2814998626708984e-06,226.98699951171875,-1.0989606380462646e-06,1400,1.5514551401138306,0.1630830764770507,0.3324582278728485,0.6021577715873718,0.005147420335561,0.0219532046467065,0.0151474215090274,0.0319532044231891,0.0,0.3324582395809037,0.5229017475346391,0.9537758694074618,0.114291212729726,12.585596334641602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0467052849009633,0.0,0.0,9.585506439208984,0.0,2.868473529815674e-07,0.0,1.343432813882828e-07,31.621440887451172,1.71661376953125e-05,-8.161451065781987,-110.94482203746168,0.0,-1.6298145055770874e-08,0.0467052849009633,0.0363536421282515,1.5514551401138306,97.35586350767396
0.375,30,27.805593490600582,200.26739501953125,109.02057647705078,44.25006103515625,direct_energy_backward_difference,-2.770390272140503,-1.0407529771327972e-07,58.53953552246094,1.6391277313232425e-07,-32.184940338134766,7.450580596923828e-09,11.803781509399414,-5.5879354476928724e-08,-122.89450073242188,-6.9141387939453125e-06,307.916259765625,6.48200511932373e-07,1680,1.5513770580291748,0.1630830764770507,0.3354021310806274,0.6063084006309509,0.0049323881976306,0.0207252651453018,0.0149323875084519,0.0307252649217844,0.0,0.3354021393827029,0.5169149569690293,0.9536509007061011,0.1090491493311268,13.46960297353311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0476636037230491,0.0,0.0,11.803781509399414,0.0,1.6391277313232425e-07,0.0,-5.5879354476928724e-08,32.184940338134766,0.0,-8.2729596926787,-131.1674604251006,0.0,7.450580596923828e-09,0.0476636037230491,0.0370209313215149,1.5513770580291748,98.50650424675904
0.4375,35,30.68619155883789,219.24122619628903,121.7783660888672,46.089569091796875,direct_energy_backward_difference,-3.009831428527832,-1.257285475730896e-07,63.71586608886719,3.306195139884949e-07,-32.59857177734375,-3.4924596548080444e-10,14.07248878479004,-1.835869625210762e-07,-143.22177124023438,-1.9371509552001953e-07,401.6383056640625,-1.4156103134155271e-06,1960,1.5512748956680298,0.1630830764770507,0.3382401168346405,0.6103944778442383,0.0047193295322358,0.0194890741258859,0.0147193288430571,0.0294890739023685,0.0,0.3382401133374292,0.5138902747005415,0.9535601615906356,0.1061315435690936,12.390894970818852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0483513377606868,0.0,0.0,14.07248878479004,0.0,3.306195139884949e-07,0.0,-1.835869625210762e-07,32.59857940673828,7.62939453125e-06,-8.356675351021764,-151.57844659125612,0.0,-3.4924596548080444e-10,0.0483513377606868,0.0375041961513015,1.5512748956680298,99.52006407390851
0.5,40,33.67938995361328,237.8571624755859,134.48529052734375,47.89117431640625,direct_energy_backward_difference,-3.230665683746338,-5.0582457333803183e-08,68.8490982055664,-8.940696716308596e-08,-32.91007995605469,-2.60770320892334e-08,16.381467819213867,-7.916241884231567e-08,-163.7150421142578,2.7418136596679688e-06,508.2570190429687,-1.385807991027832e-06,2240,1.5511456727981567,0.1630830764770507,0.3409816026687622,0.6144025921821594,0.0045174965634942,0.0183003339916467,0.0145174963399767,0.0283003337681293,0.0,0.3409815961361995,0.5105416742342959,0.9534913482920128,0.1063714945838673,12.999227202012484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0488630941137671,0.0,0.0,16.381467819213867,0.0,-8.940696716308596e-08,0.0,-7.916241884231567e-08,32.91007614135742,-3.814697265625e-06,-8.420862814874225,-172.13590492913204,0.0,-2.60770320892334e-08,0.0488630941137671,0.0378658205942349,1.5511456727981567,100.34018775145285
0.5625,45,36.7753791809082,256.1058349609375,147.1118621826172,49.53582763671875,direct_energy_backward_difference,-3.4370977878570557,-1.8905848264694217e-07,73.95633697509766,-3.8743019104003906e-07,-33.14962387084961,-1.32247805595398e-07,18.723217010498047,7.450580596923828e-09,-184.33761596679688,8.940696716308594e-07,627.8543090820312,1.385807991027832e-06,2520,1.5509858131408691,0.1630830764770507,0.3436367511749267,0.6183267831802368,0.0043320101685822,0.0175049267709255,0.0143320094794034,0.0275049265474081,0.0,0.3436367564731174,0.5054397717051353,0.9534375668610372,0.1082152438472197,12.492779873482409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0492542238906025,0.0,0.0,18.723217010498047,0.0,-3.8743019104003906e-07,0.0,7.450580596923828e-09,33.149600982666016,-2.288818359375e-05,-8.470953862044484,-192.80856982884137,0.0,-1.32247805595398e-07,0.0492542238906025,0.0381430996246208,1.5509858131408691,100.93176128743852
0.625,50,39.9620246887207,273.9771728515625,159.63426208496094,50.986328125,direct_energy_backward_difference,-3.634423971176147,-5.762558430433273e-08,79.04943084716797,8.940696716308596e-08,-33.33699035644531,-2.454034984111786e-07,21.09181022644043,-1.9371509552001953e-07,-205.06277465820312,-1.0892748832702637e-05,760.4971923828125,4.302710294723511e-06,2800,1.5507915019989014,0.1630830764770507,0.3462161421775818,0.6221652030944824,0.0041660852730274,0.016809694468975,0.01416608504951,0.0268096942454576,0.0,0.3462161414963858,0.5014098810701126,0.9533942873712852,0.1092286122899771,12.467673339732496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0495594684034585,0.0,0.0,21.09181022644043,0.0,8.940696716308596e-08,0.0,-1.9371509552001953e-07,33.337013244628906,2.288818359375e-05,-8.510638215976185,-213.5734128741793,0.0,-2.454034984111786e-07,0.0495594684034585,0.0383599889869913,1.5507915019989014,101.27626285203398
