time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,local_chord,spanwise_station_width,circulation,circulation_magnitude,relative_speed,section_lift_coefficient_from_circulation,lift_per_span,drag_per_span,section_lift_coefficient,section_force_x,section_force_y,section_force_z,section_force_units,force_density,span_coordinate_normalized
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:0,mirror,0,-0.17844140529632568,0.17844140529632568,-0.3680071234703064,0.0,0.5350000262260437,0.1267242133617401,-0.47126805782318115,0.47126805782318115,3.9687631130218506,0.4439039600849831,16.184075901206892,2.1898875371311375,3.7813259597787696,0.2775117754936218,-0.009039593860507011,2.0509142875671387,N,1.0,-0.2773164970686199
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:1,mirror,1,-0.3051656484603882,0.3051656484603882,-0.45982396602630615,-0.1516580581665039,0.4050000011920929,0.1267242282629013,-0.4342423379421234,0.4342423379421234,3.9680376052856445,0.5404199289727494,12.05243218181256,1.5864717680510338,3.719886464918814,0.20104441046714783,-0.011617573909461498,1.5273351669311523,N,1.0,-0.47425914695176025
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:2,mirror,2,-0.4318898618221283,0.4318898618221283,-0.5516408085823059,-0.3033161163330078,0.2750000059604645,0.1267242282629013,-0.36171531677246094,0.36171531677246094,3.976351022720337,0.6615755946105086,7.4020854579890525,0.8999683572547079,3.3645842261605337,0.11404779553413391,-0.015050694346427917,0.938023567199707,N,1.0,-0.6712017505189929
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:3,mirror,3,-0.5586140155792236,0.5586140155792236,-0.6434575915336609,-0.4549742043018341,0.14500004053115845,0.12672419846057892,-0.2421579658985138,0.2421579658985138,3.990312337875366,0.8370545105238482,3.0573509900912677,0.30726003628510085,2.6356466685213498,0.0389372818171978,-0.01336728036403656,0.38744035363197327,N,1.0,-0.8681442614544103
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:orig:0,orig,0,0.17844140529632568,0.17844140529632568,0.0,0.3680071234703064,0.5350000262260437,0.1267242133617401,0.4711814522743225,0.4711814522743225,3.971411943435669,0.4435263650691729,16.185059871937998,2.190253939234163,3.781555859471029,0.27755820751190186,0.009013700298964977,2.051038980484009,N,1.0,0.2773164970686199
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:orig:1,orig,1,0.3051656484603882,0.3051656484603882,0.1516580581665039,0.45982396602630615,0.4050000011920929,0.1267242282629013,0.4339907765388489,0.4339907765388489,3.9743480682373047,0.5392492769837258,12.048530164496416,1.5864065070936308,3.718682138590216,0.20103614032268524,0.011562677100300789,1.5268406867980957,N,1.0,0.47425914695176025
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:orig:2,orig,2,0.4318898618221283,0.4318898618221283,0.3033161163330078,0.5516408085823059,0.2750000059604645,0.1267242282629013,0.3613607883453369,0.3613607883453369,3.9840033054351807,0.659657686565153,7.397874891569801,0.8999303765533725,3.362670332375084,0.1140429824590683,0.014988827519118786,0.9374899864196777,N,1.0,0.6712017505189929
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:orig:3,orig,3,0.5586140155792236,0.5586140155792236,0.4549742043018341,0.6434575915336609,0.14500004053115845,0.12672419846057892,0.2418322116136551,0.2418322116136551,3.997720718383789,0.8343793912828025,3.0553157884401534,0.3074056976004069,2.633892184829777,0.03895574063062668,0.013319943100214005,0.38718244433403015,N,1.0,0.8681442614544103
0.02,2,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:0,mirror,0,-0.17844140529632568,0.17844140529632568,-0.3680071234703064,0.0,0.5350000262260437,0.1267242133617401,-0.45221948623657227,0.45221948623657227,3.9707233905792236,0.42575115068538105,1.1798842658517708,0.08178816484755157,0.27567388037688995,0.010364540852606297,-0.009002546779811382,0.1495199054479599,N,1.0,-0.2773164970686199
0.02,2,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:1,mirror,1,-0.3051656484603882,0.3051656484603882,-0.45982396602630615,-0.1516580581665039,0.4050000011920929,0.1267242282629013,-0.4178202748298645,0.4178202748298645,3.970148801803589,0.5197059596731642,1.1651183357538681,0.05825179094293147,0.35960442355691763,0.007381913252174854,-0.011446287855505943,0.14764872193336487,N,1.0,-0.47425914695176025
0.02,2,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:2,mirror,2,-0.4318898618221283,0.4318898618221283,-0.5516408085823059,-0.3033161163330078,0.2750000059604645,0.1267242282629013,-0.34973153471946716,0.34973153471946716,3.977931261062622,0.6394032095161616,1.0595127017225012,0.013706572213483524,0.48159667216281016,0.0017369547858834267,-0.01452954113483429,0.1342659294605255,N,1.0,-0.6712017505189929
0.02,2,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:3,mirror,3,-0.5586140155792236,0.5586140155792236,-0.6434575915336609,-0.4549742043018341,0.14500004053115845,0.12672419846057892,-0.2357357144355774,0.2357357144355774,3.9902524948120117,0.8148672774484951,0.7755962060210126,-0.008177231119794806,0.6686172320882455,-0.001036253059282899,-0.01279291883111,0.09828680753707886,N,1.0,-0.8681442614544103
0.02,2,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:orig:0,orig,0,0.17844140529632568,0.17844140529632568,0.0,0.3680071234703064,0.5350000262260437,0.1267242133617401,0.452106237411499,0.452106237411499,3.9737002849578857,0.4253256590380711,1.1848486851032616,0.08279023667741493,0.2768337913600983,0.010491527616977692,0.008967974223196507,0.15014901757240295,N,1.0,0.2773164970686199
0.02,2,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:orig:1,orig,1,0.3051656484603882,0.3051656484603882,0.1516580581665039,0.45982396602630615,0.4050000011920929,0.1267242282629013,0.4174911081790924,0.4174911081790924,3.9775454998016357,0.5183308346490064,1.1679590100042108,0.05930159942847864,0.3604811748661711,0.007514949422329664,0.011372334323823452,0.14800870418548584,N,1.0,0.47425914695176025
