case,category,time_step_size,particle_spacing,n_panels_per_surface,precision,compute_device,boundary_response,accepted_steps,runtime_seconds,final_leakage_R1,final_leakage_Rinf,final_transport_R1,final_transport_Rinf,final_stage_boundary_residual,final_stage_near_wake_elapsed,final_stage_near_wake_matrix_norm,event_rows,n_particles_final,ring_particles_final,ring_centroid_x,ring_centroid_y,ring_centroid_z,max_particle_strength,surface,n_force_samples,final_lift,peak_abs_lift,integrated_lift,final_drag,intersection_events,side_bypass_events,core_overlap_events
smooth_incident_plate,smooth_incident_field,0.01,0.045,24,f64,CPU,responsive,2,17.316862666000816,0.1566085441945894,3.9980429896030625,0.1012786696093331,0.1263908209033251,6.106226635438361e-16,0.0049999999999999,0.8854384295204474,16,32,0,,,,0.04895423984484836,front_wing,2,0.9774586245789468,9.15710589723559,0.0506728226090726,0.0340507720580704,0,0,16
tandem_baseline,tandem,0.01,0.045,24,f64,CPU,responsive,2,28.09196770899871,0.1639476746684932,4.226682333855416,0.0486020920219422,0.1534327031053513,7.771561172376097e-16,0.0049999999999999,1.545978400174186,49,264,196,-0.35421195632303965,0.4899845086460052,0.14046249528132326,0.05367827707497639,front_wing,2,1.0601739700753905,9.805817788849366,0.0543299587946237,0.0366741627015709,0,0,17
tandem_baseline,tandem,0.01,0.045,24,f64,CPU,responsive,2,28.09196770899871,0.1639476746684932,4.226682333855416,0.0486020920219422,0.1534327031053513,7.771561172376097e-16,0.0049999999999999,1.545978400174186,49,264,196,-0.35421195632303965,0.4899845086460052,0.14046249528132326,0.05367827707497639,rear_wing,2,0.963217425427374,9.253802840687054,0.0510851013305721,0.042352254581585,0,0,32
timestep_half,time_step_refinement,0.005,0.045,24,f64,CPU,responsive,4,54.45691475000058,0.1638319759742666,4.224787915050629,0.0486038880622176,0.1534380535951753,6.661338147750939e-16,0.0024999999999999,1.5191849860626387,288,332,196,-0.3542482961014706,0.4899840712659669,0.14028888505572876,0.05490844112481967,front_wing,4,1.0716886008956084,18.570052567500195,0.0597411153953754,0.0383603958905346,0,0,102
timestep_half,time_step_refinement,0.005,0.045,24,f64,CPU,responsive,4,54.45691475000058,0.1638319759742666,4.224787915050629,0.0486038880622176,0.1534380535951753,6.661338147750939e-16,0.0024999999999999,1.5191849860626387,288,332,196,-0.3542482961014706,0.4899840712659669,0.14028888505572876,0.05490844112481967,rear_wing,4,0.9681730559462844,17.545946055957213,0.0560481917082989,0.0431559145532733,0,0,186
surface_refined,surface_refinement,0.01,0.045,48,f64,CPU,responsive,2,43.73933995900006,0.1454163461505509,4.338021309575254,0.0515110322035679,0.159689188295676,1.2212453270876722e-15,0.0049999999999999,3.097686378809159,65,296,196,-0.35422123889931834,0.48998589247405955,0.14042862485886035,0.03183483681185979,front_wing,2,0.8987262164330178,8.693081889318206,0.0479590405287561,0.031862921563621,0,0,25
surface_refined,surface_refinement,0.01,0.045,48,f64,CPU,responsive,2,43.73933995900006,0.1454163461505509,4.338021309575254,0.0515110322035679,0.159689188295676,1.2212453270876722e-15,0.0049999999999999,3.097686378809159,65,296,196,-0.35422123889931834,0.48998589247405955,0.14042862485886035,0.03183483681185979,rear_wing,2,0.8680670410292515,8.488296387257332,0.0467818171414329,0.0351195700887847,0,0,40
particle_refined,particle_refinement,0.01,0.03181980515339464,24,f64,CPU,responsive,2,29.73306629199942,0.1639492623988971,4.226740360989709,0.0419993735172784,0.1715020898876461,6.661338147750939e-16,0.0049999999999999,1.5459781673128026,49,320,252,-0.35075747482622516,0.48998422284012916,0.14046498691722378,0.053679626595981876,front_wing,2,1.0600443108429494,9.806081066212498,0.0543306268852772,0.0366511898478426,0,0,17
particle_refined,particle_refinement,0.01,0.03181980515339464,24,f64,CPU,responsive,2,29.73306629199942,0.1639492623988971,4.226740360989709,0.0419993735172784,0.1715020898876461,6.661338147750939e-16,0.0049999999999999,1.5459781673128026,49,320,252,-0.35075747482622516,0.48998422284012916,0.14046498691722378,0.053679626595981876,rear_wing,2,0.9632015457906232,9.25382996838276,0.0510851575708669,0.0423495684775684,0,0,32
f32_cpu,precision_backend,0.01,0.045,24,f32,CPU,responsive,2,28.294287832999544,0.1639477267502571,4.22669821666967,0.0486021015816427,0.1534326747125796,4.172325134277344e-07,0.0049999999999999,1.545978368110747,48,263,196,-0.3542119562625885,0.4899843633174896,0.14046253263950348,0.05367827042937279,front_wing,2,1.060585618019104,9.806265830993652,0.0543342572450637,0.0373398251831531,0,0,17
f32_cpu,precision_backend,0.01,0.045,24,f32,CPU,responsive,2,28.294287832999544,0.1639477267502571,4.22669821666967,0.0486021015816427,0.1534326747125796,4.172325134277344e-07,0.0049999999999999,1.545978368110747,48,263,196,-0.3542119562625885,0.4899843633174896,0.14046253263950348,0.05367827042937279,rear_wing,2,0.9658216834068298,9.256579399108888,0.0511120054125785,0.0451328381896019,0,0,31
lagged_control,two_way_response_control,0.01,0.045,24,f64,CPU,lagged,2,26.481012125001143,0.1639465913903025,4.2266941080515625,0.048599330300307,0.1534300975723636,0.0,0.0,0.0,49,264,196,-0.35429250363542336,0.48998938144187765,0.14010705321860642,0.05367959367763581,front_wing,2,1.060145479992029,9.80583753805929,0.0543299150902565,0.0366700859068695,0,0,17
lagged_control,two_way_response_control,0.01,0.045,24,f64,CPU,lagged,2,26.481012125001143,0.1639465913903025,4.2266941080515625,0.048599330300307,0.1534300975723636,0.0,0.0,0.0,49,264,196,-0.35429250363542336,0.48998938144187765,0.14010705321860642,0.05367959367763581,rear_wing,2,0.9630663636718326,9.253823931570928,0.0510844514762138,0.0423330732223378,0,0,32
