time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,pressure_jump_coefficient_type,panel_force_x,panel_force_y,panel_force_z,panel_force_units,force_density,unsteady_force_x,unsteady_force_y,unsteady_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,relative_velocity_units,bound_x,bound_y,bound_z,span_coordinate_normalized
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.4519438344764259,0.4519438344764259,-0.6415095667551116,-0.2735024336720694,0,0.16666666666666674,0.17833333333333343,-0.19806065899129957,-2.4121289368975445,circulation_proxy,0.04932431221516577,-0.00405125818730099,0.3831720401782888,N,1.0,0.04147628374169177,-2.5768535611473318e-17,0.2951190935326502,3.944720942505198,0.007892012707810927,-0.3512240177498365,m/s,0.699852030264775,-0.05625,-0.014033287680139932,-0.4928718809791813
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.4519438344764259,0.4519438344764259,-0.6415095667551116,-0.2735024336720694,1,0.5,0.1783333333333332,-0.1375644059063315,-4.151119138762163,circulation_proxy,0.09180895809029167,-0.00042102485723018575,0.6590889726452365,N,1.0,0.08410935251262013,-2.117722377993645e-17,0.5984691402376371,3.91642234283881,0.0011699760637497987,-0.49743480852404565,m/s,0.8764498358570217,-0.05625,-0.03885249068468494,-0.4928718809791813
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.4519438344764259,0.4519438344764259,-0.6415095667551116,-0.2735024336720694,2,0.8333333333333334,0.17833333333333343,-0.10440558090703454,-5.466841560000569,circulation_proxy,0.12167777947978344,-4.935858328759527e-05,0.8684423084281561,N,1.0,0.11557568362063783,-1.0260371541153054e-16,0.8223637198781432,3.9230512660363424,-7.200300210089477e-05,-0.5195219557057326,m/s,1.0530476414492682,-0.05625,-0.06367169368922992,-0.4928718809791813
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,-0.5786680538576389,0.5786680538576389,-0.7333264011651536,-0.4251604994612615,0,0.16666666666666677,0.135,-0.20857831260514773,-2.727933949581214,circulation_proxy,0.03520969559567225,-0.009834012209172462,0.32871967139457287,N,1.0,0.033065265026536596,-1.356846357959171e-17,0.23527158563242812,3.9738238111243835,0.009622841777885633,-0.09017796399653266,m/s,0.800529283920168,-0.16875,-0.02818255294441325,-0.6310722492713939
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,-0.5786680538576389,0.5786680538576389,-0.7333264011651536,-0.4251604994612615,1,0.5,0.1349999999999998,-0.11545756863027047,-4.11726423802969,circulation_proxy,0.06849844114818479,-0.0005433897809961645,0.49492168068880266,N,1.0,0.062390145889633666,5.031556219411666e-17,0.44392895503823265,3.924129091001495,0.003344371469575693,-0.47002629330834034,m/s,0.93421547320028,-0.16875,-0.04697092157402208,-0.6310722492713939
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,-0.5786680538576389,0.5786680538576389,-0.7333264011651536,-0.4251604994612615,2,0.8333333333333333,0.135,-0.08453836979741504,-5.156100805617252,circulation_proxy,0.08673294620503154,-5.37051802003498e-05,0.6200311366992212,N,1.0,0.08189279018095731,-9.718755239370333e-17,0.5826974797351457,3.9253681922047576,0.0009407511770356978,-0.5089065878887769,m/s,1.0679016624803919,-0.16875,-0.06575929020363092,-0.6310722492713939
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:2,mirror,2,-0.7053922732388518,0.7053922732388518,-0.8251432355751958,-0.5768185652504536,0,0.16666666666666663,0.09166666666666658,-0.18830626121788044,-2.7924962601060694,circulation_proxy,0.017753796185907198,-0.012944141042544528,0.22924294998066636,N,1.0,0.020269605188163776,-2.0416205750504886e-18,0.14422573504054248,4.007372755590408,0.006499027627017955,0.11957470956106107,m/s,0.9012065375755609,-0.28125,-0.04233181820868656,-0.7692726175636065
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:2,mirror,2,-0.7053922732388518,0.7053922732388518,-0.8251432355751958,-0.5768185652504536,1,0.4999999999999999,0.09166666666666681,-0.09300590567163866,-3.7330635709222375,circulation_proxy,0.04167533327216349,-0.0005886999325517709,0.30469323002061854,N,1.0,0.03703745360785542,1.8847675606136462e-17,0.2635351759955444,3.931916622145371,0.0033064489999822056,-0.44301923570515034,m/s,0.9919811105435382,-0.28125,-0.05508935246335923,-0.7692726175636065
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:2,mirror,2,-0.7053922732388518,0.7053922732388518,-0.8251432355751958,-0.5768185652504536,2,0.8333333333333331,0.09166666666666637,-0.0631642488747207,-4.453099185908885,circulation_proxy,0.050711766162335574,-5.077465579504026e-05,0.3635691977074808,N,1.0,0.0471736648897501,5.0653090569177206e-17,0.3356580668504261,3.9276507901721565,0.0014183495682137121,-0.49787858162887527,m/s,1.0827556835115155,-0.28125,-0.06784688671803188,-0.7692726175636065
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:3,mirror,3,-0.8321164926200648,0.8321164926200648,-0.9169600699852378,-0.7284766310396457,0,0.16666666666666768,0.04833333333333338,-0.13154038692687547,-2.593953750820928,circulation_proxy,0.002247152401902191,-0.012204782233876629,0.11302884664392412,N,1.0,0.007465775947775195,-2.0679374124976825e-17,0.053121756132904,4.04516084957866,0.0034442690960228626,0.3530835503826654,m/s,1.001883791230954,-0.39375000000000004,-0.05648108347295989,-0.9074729858558194
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:3,mirror,3,-0.8321164926200648,0.8321164926200648,-0.9169600699852378,-0.7284766310396457,1,0.5,0.04833333333333338,-0.06287577961306869,-2.884154369903999,circulation_proxy,0.016358450259935774,-0.0005561431537445373,0.12410309624397146,N,1.0,0.013522979017042655,-1.0664846697831244e-17,0.09622099545430238,3.9405589690445244,0.002328594724385268,-0.4006888394068205,m/s,1.0497467478867966,-0.39375000000000004,-0.06320778335269638,-0.9074729858558194
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:3,mirror,3,-0.8321164926200648,0.8321164926200648,-0.9169600699852378,-0.7284766310396457,2,0.8333333333333338,0.048333333333333166,-0.03907925809863051,-3.200838313651178,circulation_proxy,0.01899772124336205,-4.784750205546725e-05,0.1377542992095286,N,1.0,0.01693051913978169,-2.6652964588900764e-18,0.12046690327144847,3.931967009813526,0.0014318337422903342,-0.47017503349494283,m/s,1.0976097045426392,-0.39375000000000004,-0.06993448323243286,-0.9074729858558194
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:0,orig,0,0.4519438344764259,0.4519438344764259,0.2735024336720694,0.6415095667551116,0,0.16666666666666674,0.17833333333333343,0.1980599454831915,2.4121202472690086,circulation_proxy,0.049336067523527746,0.004051598735028442,0.383258391219016,N,1.0,0.04147613432451375,2.5768442781028413e-17,0.2951180303741857,3.945309719114383,-0.011633835494109974,-0.35128895447793423,m/s,0.699852030264775,0.05625,-0.014033287680139932,0.4928718809791813
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:0,orig,0,0.4519438344764259,0.4519438344764259,0.2735024336720694,0.6415095667551116,1,0.5,0.1783333333333332,0.13756248923757217,4.151086877303551,circulation_proxy,0.09181154311815178,0.00042100118107897387,0.6591070379853098,N,1.0,0.0841087519162293,2.1177039636634107e-17,0.5984648667722624,3.9167514410339117,-0.0034465286725785084,-0.497483301537537,m/s,0.8764498358570217,0.05625,-0.03885249068468494,0.4928718809791813
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:0,orig,0,0.4519438344764259,0.4519438344764259,0.2735024336720694,0.6415095667551116,2,0.8333333333333334,0.17833333333333343,0.10440526512494645,5.466804836962312,circulation_proxy,0.12167761080376015,4.9356668138947576e-05,0.8684410050290549,N,1.0,0.1155748831045181,1.0260299577226657e-16,0.8223580239099825,3.923244234065389,-0.0013887641530556034,-0.5195502142425847,m/s,1.0530476414492682,0.05625,-0.06367169368922992,0.4928718809791813
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:1,orig,1,0.5786680538576389,0.5786680538576389,0.4251604994612615,0.7333264011651536,0,0.16666666666666677,0.135,0.208573539833269,2.727871527911967,circulation_proxy,0.03522056604304071,0.009833769722897878,0.3287950906521273,N,1.0,0.03306450841399568,1.356815310061333e-17,0.23526620205446291,3.975043356629513,-0.012209922298668827,-0.09035019144702294,m/s,0.800529283920168,0.16875,-0.02818255294441325,0.6310722492713939
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:1,orig,1,0.5786680538576389,0.5786680538576389,0.4251604994612615,0.7333264011651536,1,0.5,0.1349999999999998,0.11545471237490838,4.117167222263623,circulation_proxy,0.06850005977703105,0.000543349059420719,0.494932633538054,N,1.0,0.06238868427971764,-5.0314378323761275e-17,0.44391855514329015,3.9249303010335224,-0.005174782916511215,-0.4701429862433931,m/s,0.93421547320028,0.16875,-0.04697092157402208,0.6310722492713939
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:1,orig,1,0.5786680538576389,0.5786680538576389,0.4251604994612615,0.7333264011651536,2,0.8333333333333333,0.135,0.08453741585565967,5.155992966455172,circulation_proxy,0.08673209744310756,5.370277987786041e-05,0.6200249680916093,N,1.0,0.08189102641458494,9.718549739530605e-17,0.5826849298853024,3.925908184384578,-0.002268233106199893,-0.5089839077462612,m/s,1.0679016624803919,0.16875,-0.06575929020363092,0.6310722492713939
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:2,orig,2,0.7053922732388518,0.7053922732388518,0.5768185652504536,0.8251432355751958,0,0.16666666666666663,0.09166666666666658,0.1882983720825579,2.792379267815207,circulation_proxy,0.017762444868444777,0.012942980818488704,0.22929526367932954,N,1.0,0.02026875598826341,2.041535040873932e-18,0.14421969266928317,4.008759269373014,-0.008215858120551872,0.11934725217851704,m/s,0.9012065375755609,0.28125,-0.04233181820868656,0.7692726175636065
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:2,orig,2,0.7053922732388518,0.7053922732388518,0.5768185652504536,0.8251432355751958,1,0.4999999999999999,0.09166666666666681,0.09300298812069478,3.732921690776368,circulation_proxy,0.04167640501943344,0.0005886526304130903,0.3047002004160422,N,1.0,0.037036007291191955,-1.8846917819815996e-17,0.2635248849177482,3.9329765720897383,-0.004695498821880342,-0.44317356920739776,m/s,0.9919811105435382,0.28125,-0.05508935246335923,0.7692726175636065
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:2,orig,2,0.7053922732388518,0.7053922732388518,0.5768185652504536,0.8251432355751958,2,0.8333333333333331,0.09166666666666637,0.06316272395164672,4.452941488414513,circulation_proxy,0.050710942296755435,5.077204394142645e-05,0.3635631948472062,N,1.0,0.04717194974440524,-5.0651247349898035e-17,0.33564586295716975,3.9284685384697005,-0.0025525260905761935,-0.4979949859671703,m/s,1.0827556835115155,0.28125,-0.06784688671803188,0.7692726175636065
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:3,orig,3,0.8321164926200648,0.8321164926200648,0.7284766310396457,0.9169600699852378,0,0.16666666666666768,0.04833333333333338,0.131533212242294,2.593812267277996,circulation_proxy,0.0022526346270147412,0.012203376457224902,0.11305667745263245,N,1.0,0.007465368737572817,2.0678246197728353e-17,0.05311885868175936,4.046477331913786,-0.004540382733698092,0.3528426434113655,m/s,1.001883791230954,0.39375000000000004,-0.05648108347295989,0.9074729858558194
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:3,orig,3,0.8321164926200648,0.8321164926200648,0.7284766310396457,0.9169600699852378,1,0.5,0.04833333333333338,0.06287286407738721,2.88400719248577,circulation_proxy,0.01635932836750245,0.0005560862052514346,0.12410855514833057,N,1.0,0.013522270594417097,1.0664270570927338e-17,0.09621595476540182,3.941715225303152,-0.003323682782382479,-0.40085992025083717,m/s,1.0497467478867966,0.39375000000000004,-0.06320778335269638,0.9074729858558194
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:3,orig,3,0.8321164926200648,0.8321164926200648,0.7284766310396457,0.9169600699852378,2,0.8333333333333338,0.048333333333333166,0.03907753592026558,3.200678224837462,circulation_proxy,0.018997483789662338,4.7843478082564255e-05,0.13775239278787405,N,1.0,0.016929657813724675,2.6651645585041464e-18,0.12046077461810127,3.9329812489976796,-0.0023367150995611445,-0.47032087530084365,m/s,1.0976097045426392,0.39375000000000004,-0.06993448323243286,0.9074729858558194
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.4519438344764259,0.4519438344764259,-0.6415095667551116,-0.2735024336720694,0,0.16666666666666674,0.17833333333333343,-0.1909705017030048,-0.46896108860823105,circulation_proxy,0.0064376766219744665,-0.003590977564519323,0.07435810684014162,N,1.0,-0.0014847641977978855,9.224596722279738e-19,-0.010564646217891159,3.945844743604701,0.00777622216090478,-0.3677789061378909,m/s,0.699852030264775,-0.05625,-0.014033287680139932,-0.4928718809791813
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.4519438344764259,0.4519438344764259,-0.6415095667551116,-0.2735024336720694,1,0.5,0.1783333333333332,-0.13400464269390097,-0.25371420525800614,circulation_proxy,0.004742717570107516,-0.00042907265356967,0.039692002197881326,N,1.0,-0.0027251428211483774,6.545234073532391e-19,-0.019390398718771833,3.918413143392807,0.001327523821337631,-0.495267495090965,m/s,0.8764498358570217,-0.05625,-0.03885249068468494,-0.4928718809791813
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.4519438344764259,0.4519438344764259,-0.6415095667551116,-0.2735024336720694,2,0.8333333333333334,0.17833333333333343,-0.09728104775512364,-0.072834096624358,circulation_proxy,0.0012116421999381361,-4.767812033224109e-05,0.01119064296970193,N,1.0,-0.004465591479530816,3.896320717879465e-18,-0.03177433440599047,3.925856882221889,-4.366302796710963e-05,-0.5187483004915,m/s,1.0530476414492682,-0.05625,-0.06367169368922992,-0.4928718809791813
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,-0.5786680538576389,0.5786680538576389,-0.7333264011651536,-0.4251604994612615,0,0.16666666666666677,0.135,-0.20241856716533588,-0.6919507834104153,circulation_proxy,0.001519463478652921,-0.00917232629438515,0.08374018693186384,N,1.0,-0.0009764851048965304,4.007045632681011e-19,-0.006948052549739944,3.973116314183355,0.010406914271986215,-0.10829671498072316,m/s,0.800529283920168,-0.16875,-0.02818255294441325,-0.6310722492713939
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,-0.5786680538576389,0.5786680538576389,-0.7333264011651536,-0.4251604994612615,1,0.5,0.1349999999999998,-0.11147667277817218,-0.2985588492340129,circulation_proxy,0.003954370802684924,-0.0005316021586199314,0.035503411494452214,N,1.0,-0.0019330590605255449,-1.572622791610939e-18,-0.013754429910843918,3.9256743406121135,0.003954656115936527,-0.46916449002059263,m/s,0.93421547320028,-0.16875,-0.04697092157402208,-0.6310722492713939
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,-0.5786680538576389,0.5786680538576389,-0.7333264011651536,-0.4251604994612615,2,0.8333333333333333,0.135,-0.07930318824382437,-0.11787766880037506,circulation_proxy,0.0015776131759381337,-4.9378468966152337e-05,0.013886293090201406,N,1.0,-0.0029733355956024356,3.624046440351457e-18,-0.02115638207143675,3.927694507543995,0.0011220654710070443,-0.510083234392638,m/s,1.0679016624803919,-0.16875,-0.06575929020363092,-0.6310722492713939
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:2,mirror,2,-0.7053922732388518,0.7053922732388518,-0.8251432355751958,-0.5768185652504536,0,0.16666666666666663,0.09166666666666658,-0.18343562089377008,-0.9548956791093031,circulation_proxy,-0.0026568948847750535,-0.012323766169463105,0.07908077153940136,N,1.0,-0.0005242839815561724,5.2807588207959564e-20,-0.0037304743682958323,4.0060764741319,0.007570979964806941,0.10429387047562269,m/s,0.9012065375755609,-0.28125,-0.04233181820868656,-0.7692726175636065
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:2,mirror,2,-0.7053922732388518,0.7053922732388518,-0.8251432355751958,-0.5768185652504536,1,0.4999999999999999,0.09166666666666681,-0.0896868847871421,-0.3972023649045122,circulation_proxy,0.003432289150757529,-0.0005603443027932305,0.03218689768577102,N,1.0,-0.001056310343397923,-5.172134982165644e-19,-0.007516038634854853,3.932910628771571,0.0040060831674282905,-0.4445770894736947,m/s,0.9919811105435382,-0.28125,-0.05508935246335923,-0.7692726175636065
