time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth
0.08,32,0.041422974318265915,25.132322311401367,13.702798843383789,0.0,-0.08267084509134293,2.927363311755471e-06,0.9915145039558411,-5.125621100887656e-07,0.4044710695743561,3.1500530894845724e-07,-0.001541574951261282,2.8366412152536213e-07,-0.012993338517844677,7.698807849010336e-07,-0.7066356539726257,4.045908099215012e-06,2304,0.0123330382630229,0.0010556335328146815,0.0026554949581623077,0.002055633347481489,0.003655495122075081,0.0,0.034368847734341866,0.45455925454806156,1.1644528621282155,0.1943884485313511,30.885386963177453,0,none,0.0,0.0,0.0,0.0
0.16,64,0.07242736220359802,26.273157119750977,17.74087905883789,0.38755484856665134,-0.05095173791050911,-1.2032431186526082e-05,1.5411852598190308,-6.330665200948715e-07,0.5333628058433533,1.4096067388891242e-06,0.0037626330740749836,-7.535381882917136e-07,-0.124905064702034,-1.0755666153272614e-06,-1.1520535945892334,8.559022717236076e-07,4608,0.01192109938710928,0.0009092406835407019,0.002865163143724203,0.001909240847453475,0.0038651633076369762,0.0,0.038273183105147296,0.41194792868339447,1.0304276213611905,0.17991066618811366,34.61578588056878,0,none,0.0,0.0,0.0,0.0
0.24,96,0.12960480153560638,40.44443130493164,29.610881805419922,0.7147179916501046,-0.07363110780715942,-2.743143522820901e-05,2.281045436859131,-5.025503924116492e-07,0.6563950777053833,4.2912961362162605e-06,0.001988162286579609,2.119086275342852e-07,-0.33848533034324646,-2.6704108222475043e-06,-1.4253485202789307,-6.864602255518548e-07,6912,0.011325857602059841,0.0008605641196481884,0.003417720552533865,0.0018605641089379787,0.004417720716446638,0.0,0.04185372719168876,0.3949237612514772,1.253161784386802,0.15558791342737477,30.314792008806673,0,none,0.0,0.0,0.0,0.0
0.32,128,0.21774759888648987,69.93650817871094,50.327457427978516,1.1017849668860433,-0.14621807634830475,-2.4904007659642957e-05,3.27229642868042,-4.788162186741829e-07,0.7669142484664917,5.47015224583447e-06,-0.005577257834374905,2.631953975651413e-06,-0.6412484049797058,-3.255170668126084e-06,-1.6184852123260498,-2.357999619562179e-06,9216,0.010786078870296478,0.0008363529923371971,0.004150071647018194,0.0018363530980423093,0.005150071810930967,0.0,0.045186678790322905,0.3785514813474036,1.1099432843057822,0.15362741526097212,33.6361866032111,0,none,0.0,0.0,0.0,0.0
0.4,160,0.34078073501586914,113.77587127685547,80.16110229492188,1.5379142016172407,-0.30981332063674927,-9.222781955031678e-06,4.37386417388916,-8.860179150360636e-07,0.8488914370536804,4.771791282109916e-06,-0.012463788501918316,4.07238258048892e-06,-1.0298912525177002,-2.507265890017152e-06,-1.7334026098251343,-5.929730832576752e-06,11520,0.010254980996251106,0.0008163615129888058,0.004688217770308256,0.001816361676901579,0.005688217934221029,0.0,0.04825460196959897,0.36743015058185935,0.9947454279642092,0.1499017524389229,31.195191591213803,0,none,0.0,0.0,0.0,0.0
0.48,192,0.48878344893455505,156.6868438720703,111.9163589477539,1.8500339239835748,-0.46714380383491516,2.4118744477164e-05,5.450841426849365,-9.256364137399942e-07,0.884018063545227,4.519476988207316e-06,-0.009729882702231407,1.9171951862517744e-05,-1.4943585395812988,-1.4985474990680814e-05,-1.7652356624603271,4.4325977796688676e-05,13824,0.009781569242477417,0.000794935564044863,0.004976063966751099,0.0017949356697499752,0.005976064130663872,0.0,0.05105809293133483,0.36519203788160504,1.1627393381921638,0.1284056967230071,28.937075143299857,0,none,0.0,0.0,0.0,0.0
0.56,224,0.6368861198425293,181.47183227539062,134.74282836914062,1.8512833863496765,-0.4756450951099396,-1.430809516023146e-05,6.426158905029297,-5.571055226027966e-07,0.8656567931175232,6.853354534541722e-06,0.005021846853196621,1.0515046596992761e-05,-1.9798612594604492,-6.603484052902786e-06,-1.8961181640625,-5.921519914409146e-06,16128,0.009415367618203163,0.0007727639749646187,0.005030979868024588,0.0017727639060467482,0.006030980031937361,0.0,0.0536155172124689,0.36150708301647255,0.8754386157901388,0.12236175672795571,24.498716836242103,0,none,0.0,0.0,0.0,0.0
0.64,256,0.7719504833221436,186.9896240234375,146.9098358154297,1.688304543495179,-0.3832207918167114,-2.1486395780812018e-05,7.345769882202148,-6.469781510531902e-07,0.8058589696884155,5.59003819944337e-06,0.030838271602988243,1.0005627700593323e-05,-2.4116430282592773,-3.958099114242941e-06,-2.3774640560150146,-2.1622368876705877e-05,18432,0.009120223112404346,0.0007467640098184347,0.004723188932985067,0.0017467639409005642,0.0057231890968978405,0.0,0.05596515692142755,0.35018133674249063,0.9684698176732595,0.1283527417901065,20.44810677123158,0,none,0.0,0.0,0.0,0.0
0.72,288,0.8894898295402527,185.68934631347656,153.6328125,1.4692418277263648,-0.31349319219589233,3.195038516423665e-05,8.242012977600098,-4.5956039684824646e-07,0.7200073003768921,3.6238216125639156e-06,0.06174422800540924,1.0557671885180753e-05,-2.756316661834717,-4.249477569828741e-06,-3.2468762397766113,-1.918894486152567e-05,20736,0.008840059861540794,0.0007206547306850553,0.004243228118866682,0.0017206547781825066,0.005243228282779455,0.0,0.05814270846148604,0.35529805587830576,1.3819258774108936,0.12403201098952203,19.029708347303398,0,none,0.0,0.0,0.0,0.0
0.8,320,0.980879545211792,183.70567321777344,156.14918518066406,1.1423714458942402,-0.2893572151660919,-7.892898429417983e-05,9.12582778930664,-1.278822310268879e-07,0.6208592653274536,3.6831916077062488e-06,0.09210553020238876,1.2322692782618105e-05,-3.0147287845611572,-2.632315954542719e-06,-4.419674396514893,-2.8779297281289473e-05,23040,0.008547895587980747,0.0006914222612977028,0.003690413199365139,0.001691422308795154,0.004690413363277912,0.0,0.06016059841121866,0.34769924012359543,0.703984611477604,0.1199556299689321,21.847077294536042,0,none,0.0,0.0,0.0,0.0
